total_timesteps,fps,explained_variance,nupdates,policy_entropy,value_loss,avgReward
5152000,957,0.9876106642186642,64400,0.9862810373306274,0.1853782683610916,3.4735832035541536
5160000,957,0.8325117975473404,64500,0.9352404475212097,0.013377794995903969,2.107461541891098
5168000,957,0.7289784252643585,64600,0.9557772874832153,0.01949079893529415,2.6550085857510566
5176000,958,0.8751039728522301,64700,0.8633886575698853,0.01277230679988861,2.4014740526676177
5184000,958,0.7814069241285324,64800,0.9078508615493774,0.008137946017086506,2.200692193210125
5192000,958,0.8532630503177643,64900,1.0135509967803955,0.024935368448495865,2.09736255556345
5200000,958,0.8857113122940063,65000,0.8347898721694946,0.16739781200885773,3.196786656975746
5208000,958,0.8030014485120773,65100,1.0051791667938232,0.01667945645749569,2.650399851799011
5216000,958,0.6753475069999695,65200,0.9323542714118958,0.03125960752367973,2.435805992782116
5224000,958,0.46443915367126465,65300,0.9522379636764526,0.09578932076692581,2.0355001453310253
5232000,958,0.6094372868537903,65400,0.9446307420730591,0.012811246328055859,2.4732320845127105
5240000,958,0.6619633138179779,65500,0.9371819496154785,0.03988654538989067,2.355614598095417
5248000,958,0.7767995893955231,65600,0.9773972630500793,0.03948347643017769,1.8494454875588417
5256000,958,0.67812779545784,65700,0.9005365371704102,0.06076505035161972,2.0003845542669296
5264000,959,0.3102966547012329,65800,0.9524521827697754,0.1250430941581726,2.2976154129952193
5272000,959,0.8618892729282379,65900,1.0042402744293213,0.1414010226726532,2.6210246801376345
5280000,959,0.8103189170360565,66000,1.0436512231826782,0.010366188362240791,2.130068325996399
5288000,959,0.8906214311718941,66100,0.9815484285354614,0.018829133361577988,2.477036389708519
5296000,959,0.627954363822937,66200,1.0260179042816162,0.09073299914598465,2.411544367671013
5304000,959,0.3676193356513977,66300,0.9237350225448608,0.02676616981625557,2.19061443656683
