avg reward,policy_entropy,epsilonValue,nupdates,value_loss,total_timesteps,explained_variance,fps
1.2406997868791223,1.5454339981079102,0.0007272674851696304,42200,0.01383850909769535,3376000,0.9783235676586628,1912
1.4308149513788522,1.5689185857772827,0.0007272674851696304,42300,0.008511564694344997,3384000,0.9774305447936058,1912
1.8967876680195332,1.5134913921356201,0.0007272674851696304,42400,0.012055179104208946,3392000,0.9662980698049068,1912
0.8882515329867602,1.6259119510650635,0.0007272674851696304,42500,0.01595674268901348,3400000,0.9546370767056942,1912
1.0639758423902095,1.6003074645996094,0.0007272674851696304,42600,0.0072343917563557625,3408000,0.9882827475667,1912
1.513729675114155,1.5306421518325806,0.0007272674851696304,42700,0.02066856250166893,3416000,0.9511400647461414,1912
1.2540829604491592,1.5735619068145752,0.0007272674851696304,42800,0.0071644531562924385,3424000,0.985884259454906,1912
1.5658768236637115,1.5481945276260376,0.0007272674851696304,42900,0.02157469093799591,3432000,0.9457670152187347,1913
1.196072509046644,1.606719970703125,0.0007272674851696304,43000,0.02658584713935852,3440000,0.9490525685250759,1913
1.1972376965451985,1.627384901046753,0.0007272674851696304,43100,0.021078871563076973,3448000,0.9653535932302475,1913
1.0716483984142542,1.641298532485962,0.0007272674851696304,43200,0.004460321739315987,3456000,0.9915267676115036,1913
1.3767990700900554,1.575134515762329,0.0007272674851696304,43300,0.01663936674594879,3464000,0.9717644788324833,1913
1.2369470797479152,1.6358919143676758,0.0007272674851696304,43400,0.018714668229222298,3472000,0.9308694452047348,1913
2.381796416640282,1.5157527923583984,0.0007272674851696304,43500,0.03183930739760399,3480000,0.9422674104571342,1913
1.041355632909108,1.5712664127349854,0.0007272674851696304,43600,0.009320692159235477,3488000,0.9695425406098366,1914
1.2058838872151683,1.6056915521621704,0.0007272674851696304,43700,0.002933475887402892,3496000,0.9930827268399298,1913
1.183038291707635,1.6351808309555054,0.0007272674851696304,43800,0.005863548256456852,3504000,0.9775149151682854,1913
1.1486147590912879,1.6249549388885498,0.0007272674851696304,43900,0.007076937705278397,3512000,0.9886867813766003,1913
1.4251798519864678,1.5711469650268555,0.0007272674851696304,44000,0.021600503474473953,3520000,0.928046241402626,1913
1.2895408360753209,1.6062742471694946,0.0007272674851696304,44100,0.016621524468064308,3528000,0.9684176482260227,1913
1.8553437799215318,1.530272126197815,0.0007272674851696304,44200,0.02816893719136715,3536000,0.9714629445225,1913
1.8870451973751188,1.4933959245681763,0.0007272674851696304,44300,0.026159241795539856,3544000,0.9694611374288797,1913
1.248080042563379,1.5806070566177368,0.0007272674851696304,44400,0.00861218012869358,3552000,0.983383996412158,1913
1.3125704742968083,1.6049426794052124,0.0007272674851696304,44500,0.006170711014419794,3560000,0.9855652628466487,1913
1.3311153119197114,1.5815260410308838,0.0007272674851696304,44600,0.00593640748411417,3568000,0.9879999570548534,1913
1.5234037253074348,1.562695860862732,0.0007272674851696304,44700,0.013438640162348747,3576000,0.9747561793774366,1913
1.5544384706765413,1.5985807180404663,0.0007272674851696304,44800,0.02150615118443966,3584000,0.9528368078172207,1913
1.5469694696366787,1.5995575189590454,0.0007272674851696304,44900,0.026555407792329788,3592000,0.9262293204665184,1914
2.001724752783775,1.4882993698120117,0.0007272674851696304,45000,0.00863873865455389,3600000,0.9891590783372521,1914
1.593311884906143,1.5538604259490967,0.0007272674851696304,45100,0.005804766900837421,3608000,0.9883954543620348,1913
