avg reward,learning rate,policy_entropy,total_timesteps,fps,nupdates,value_loss,explained_variance,epsilonValue
6.6331628754734995,0.001,1.0726077556610107,2944000,2053,36800,0.46738243103027344,0.9177695661783218,0.0007272674363255627
10.370771491527558,0.001,1.0007202625274658,2952000,2053,36900,0.4401624798774719,0.968371469527483,0.0007272674363255627
9.82466393262148,0.001,1.0626795291900635,2960000,2054,37000,0.21297617256641388,0.9920565001666546,0.0007272674363255627
4.036589807085693,0.001,1.343000054359436,2968000,2053,37100,0.3349112868309021,0.9593384303152561,0.0007272674363255627
5.94324205070734,0.001,1.140045404434204,2976000,2053,37200,0.3567347526550293,0.9559919014573097,0.0007272674363255627
7.675787833333016,0.001,0.9437047839164734,2984000,2053,37300,1.6019556522369385,0.8613499402999878,0.0007272674363255627
6.95118473470211,0.001,1.2257719039916992,2992000,2053,37400,0.27386561036109924,0.9656742997467518,0.0007272674363255627
10.118040850758552,0.001,1.1158545017242432,3000000,2053,37500,0.19272345304489136,0.9901674278080463,0.0007272674363255627
4.983486044406891,0.001,1.7099212408065796,3008000,2054,37600,0.3166463077068329,0.9661776497960091,0.0007272674363255627
5.782359825633466,0.001,1.4514424800872803,3016000,2054,37700,0.13672170042991638,0.989969989284873,0.0007272674363255627
10.704205842316151,0.001,1.335430383682251,3024000,2054,37800,0.3375190496444702,0.9897216502577066,0.0007272674363255627
7.206402453780174,0.001,1.3073898553848267,3032000,2053,37900,0.1168566346168518,0.9904302470386028,0.0007272674363255627
8.02730199098587,0.001,1.1653865575790405,3040000,2053,38000,0.13532871007919312,0.9858519453555346,0.0007272674363255627
6.15922319740057,0.001,1.2878615856170654,3048000,2054,38100,7.637289524078369,0.48290449380874634,0.0007272674363255627
5.935686398297548,0.001,1.288694977760315,3056000,2054,38200,0.1873796433210373,0.9816708397120237,0.0007272674363255627
6.461955489218235,0.001,1.2270089387893677,3064000,2054,38300,4.623448371887207,0.7687790393829346,0.0007272674363255627
4.690398100763559,0.001,1.295148253440857,3072000,2054,38400,0.1768728643655777,0.9887742549180984,0.0007272674363255627
7.7221077099442486,0.001,1.0166246891021729,3080000,2054,38500,0.2723248302936554,0.9704906214028597,0.0007272674363255627
4.958847830444574,0.001,1.3990341424942017,3088000,2054,38600,0.18020924925804138,0.9028162434697151,0.0007272674363255627
6.596622812747955,0.001,1.0593388080596924,3096000,2054,38700,0.24726518988609314,0.9634742103517056,0.0007272674363255627
5.256097719073296,0.001,1.2052761316299438,3104000,2054,38800,1.4031685590744019,0.6423856019973755,0.0007272674363255627
6.551715961098671,0.001,1.3349653482437134,3112000,2055,38900,0.22634367644786835,0.9859923226758838,0.0007272674363255627
6.706005090475083,0.001,1.2235028743743896,3120000,2055,39000,0.7214409112930298,0.8320384472608566,0.0007272674363255627
8.000881639122962,0.001,1.0987625122070312,3128000,2055,39100,0.10492394119501114,0.9863489177078009,0.0007272674363255627
8.197790856659413,0.001,1.151134729385376,3136000,2055,39200,0.2603118419647217,0.9760895725339651,0.0007272674363255627
9.61930028796196,0.001,1.1653757095336914,3144000,2055,39300,8.36578369140625,0.6078788340091705,0.0007272674363255627
8.328693562746048,0.001,1.103927493095398,3152000,2055,39400,0.21732895076274872,0.9807866811752319,0.0007272674363255627
5.45116967856884,0.001,1.1824324131011963,3160000,2056,39500,0.19294123351573944,0.9373760148882866,0.0007272674363255627
9.747099834680558,0.001,0.9029690623283386,3168000,2056,39600,0.17557258903980255,0.987853467464447,0.0007272674363255627
6.707948264479637,0.001,1.1805856227874756,3176000,2056,39700,0.17828401923179626,0.9765481371432543,0.0007272674363255627
4.183418952673674,0.001,1.0007908344268799,3184000,2056,39800,0.45756563544273376,0.9362648501992226,0.0007272674363255627
5.3020028352737425,0.001,1.3058347702026367,3192000,2056,39900,0.4297734797000885,0.876066692173481,0.0007272674363255627
7.303201994299888,0.001,1.0799041986465454,3200000,2056,40000,0.384359210729599,0.9480394721031189,0.0007272674363255627
10.856319165229797,0.001,0.955001175403595,3208000,2056,40100,0.4739552140235901,0.961304672062397,0.0007272674363255627
10.56474174261093,0.001,0.8887450098991394,3216000,2056,40200,0.16654136776924133,0.9857965251430869,0.0007272674363255627
4.989714155299589,0.001,0.8321881294250488,3224000,2056,40300,5.893308639526367,0.7387414574623108,0.0007272674363255627
4.596736958622932,0.001,1.141606092453003,3232000,2056,40400,0.1761152297258377,0.9741336535662413,0.0007272674363255627
6.650551444292068,0.001,1.1271073818206787,3240000,2056,40500,2.0346059799194336,0.8155138790607452,0.0007272674363255627
8.02043250799179,0.001,1.1150569915771484,3248000,2056,40600,0.19182045757770538,0.9797157198190689,0.0007272674363255627
7.577117751538753,0.001,1.025407075881958,3256000,2056,40700,1.2136496305465698,0.8477585017681122,0.0007272674363255627
8.851956909894943,0.001,0.9275792241096497,3264000,2056,40800,1.4689898490905762,0.8458584845066071,0.0007272674363255627
6.6092976704239845,0.001,0.9247316122055054,3272000,2056,40900,0.3058924674987793,0.928916871547699,0.0007272674363255627
9.586122825741768,0.001,0.9640505909919739,3280000,2056,41000,1.0678956508636475,0.9081619307398796,0.0007272674363255627
8.096308966726065,0.001,0.9934883117675781,3288000,2056,41100,0.15121309459209442,0.9908894645050168,0.0007272674363255627
7.378178755939007,0.001,1.0697777271270752,3296000,2056,41200,1.3408300876617432,0.9387248493731022,0.0007272674363255627
6.22859995663166,0.001,1.1193606853485107,3304000,2056,41300,0.4581971764564514,0.9339271858334541,0.0007272674363255627
10.962916918098927,0.001,0.7878665924072266,3312000,2056,41400,7.696942329406738,0.6668955385684967,0.0007272674363255627
5.463083276152611,0.001,1.444103479385376,3320000,2057,41500,0.12925252318382263,0.9789556246250868,0.0007272674363255627
7.790655042231083,0.001,1.0272607803344727,3328000,2056,41600,0.36192163825035095,0.9797953963279724,0.0007272674363255627
7.966267111897468,0.001,1.2013962268829346,3336000,2056,41700,0.3998469114303589,0.9694429691880941,0.0007272674363255627
5.031033258885145,0.001,1.0292848348617554,3344000,2056,41800,0.42038458585739136,0.9654216021299362,0.0007272674363255627
8.182694958569481,0.001,1.2474597692489624,3352000,2057,41900,4.691253662109375,0.6866713762283325,0.0007272674363255627
7.459082594513893,0.001,0.9976004362106323,3360000,2057,42000,0.31101661920547485,0.9568563103675842,0.0007272674363255627
8.153667505085469,0.001,0.8719488978385925,3368000,2057,42100,1.3357925415039062,0.9197545051574707,0.0007272674363255627
7.50629388615489,0.001,0.9316219091415405,3376000,2057,42200,0.17905856668949127,0.9800721276551485,0.0007272674363255627
11.13897822201252,0.001,0.8160948753356934,3384000,2057,42300,2.016719341278076,0.8316942751407623,0.0007272674363255627
9.364029493927955,0.001,0.9557135701179504,3392000,2057,42400,0.17295414209365845,0.9877063184976578,0.0007272674363255627
5.9402861403301355,0.001,0.9922181963920593,3400000,2057,42500,3.7891526222229004,0.8021783530712128,0.0007272674363255627
5.450881159305572,0.001,1.0985448360443115,3408000,2057,42600,0.18730878829956055,0.9734395071864128,0.0007272674363255627
