% time spent exploring,episodes,mean 100 episode reward,steps
1,32000,12.8,9323260
1,32100,12.4,9359419
1,32200,12.1,9394847
1,32300,12.9,9431782
1,32400,12.9,9467098
1,32500,13.3,9505560
1,32600,13.1,9540945
1,32700,12.9,9578472
1,32800,11.7,9614452
1,32900,11.5,9649651
1,33000,13.8,9691497
1,33100,13.0,9731352
1,33200,12.4,9767179
1,33300,14.4,9810219
1,33400,13.5,9850256
1,33500,11.6,9886403
1,33600,13.0,9926203
1,33700,13.1,9964585
