total_timesteps,explained_variance,value_loss,policy_entropy,fps,nupdates
81984000,0.38796740770339966,1.1888401508331299,0.999040961265564,2020,1024800
81992000,0.9727695640176535,0.17860224843025208,0.9297325015068054,2020,1024900
82000000,0.9785275012254715,0.03472352400422096,1.265639305114746,2020,1025000
82008000,0.8248952776193619,0.20331767201423645,1.1079626083374023,2020,1025100
82016000,0.9804539885371923,0.07991553843021393,1.0889945030212402,2020,1025200
82024000,0.9970026379451156,0.016423074528574944,1.1006033420562744,2020,1025300
82032000,0.9647911228239536,0.036635201424360275,1.2008826732635498,2020,1025400
82040000,0.9862881293520331,0.021368013694882393,1.1712405681610107,2020,1025500
82048000,0.9979934538714588,0.018864765763282776,1.1026268005371094,2020,1025600
82056000,0.9858668642118573,0.07663525640964508,0.9955092668533325,2020,1025700
82064000,0.9863825216889381,0.030306097120046616,1.1079065799713135,2020,1025800
82072000,0.9944755057804286,0.028842603787779808,1.2035490274429321,2020,1025900
82080000,0.9966649792622775,0.02858303114771843,1.0769110918045044,2020,1026000
82088000,0.9884308995679021,0.01660735160112381,1.1740553379058838,2020,1026100
82096000,0.9850836554542184,0.06739749014377594,1.0098646879196167,2020,1026200
82104000,0.9851063517853618,0.0530988946557045,1.0533294677734375,2020,1026300
82112000,0.9897642564028502,0.03879016265273094,1.2122304439544678,2020,1026400
82120000,0.9843678120523691,0.027055848389863968,1.193786382675171,2020,1026500
82128000,0.9486155360937119,0.37233057618141174,0.9888464212417603,2020,1026600
82136000,0.9514765180647373,0.1175055056810379,1.0132619142532349,2020,1026700
82144000,0.9857384096831083,0.06601458042860031,1.1697556972503662,2020,1026800
82152000,0.9945122790522873,0.020530764013528824,1.1135518550872803,2020,1026900
82160000,0.9916871208697557,0.035335004329681396,1.1873116493225098,2020,1027000
82168000,0.9658871255815029,0.029061514884233475,1.067913293838501,2020,1027100
82176000,0.9927887720987201,0.012568148784339428,1.0277596712112427,2020,1027200
82184000,0.9904734417796135,0.032788585871458054,1.2127811908721924,2020,1027300
82192000,0.951473493129015,0.052712999284267426,1.1632554531097412,2020,1027400
82200000,0.9835964515805244,0.026850085705518723,1.1238161325454712,2020,1027500
82208000,0.9857391845434904,0.02244807407259941,1.0549030303955078,2020,1027600
82216000,0.9877596627920866,0.02966197207570076,1.0575510263442993,2020,1027700
82224000,0.9910156214609742,0.035873085260391235,1.1154224872589111,2020,1027800
82232000,0.9807193353772163,0.023215223103761673,1.2658021450042725,2020,1027900
82240000,0.9756967034190893,0.022361483424901962,1.1429595947265625,2020,1028000
82248000,0.9944754932075739,0.0367153063416481,1.0244399309158325,2020,1028100
82256000,0.9717780370265245,0.06992541253566742,1.1686680316925049,2020,1028200
