policy_loss,learning rate,value_loss,fps,total_timesteps,nupdates,policy_entropy,epsilonValue,explained_variance,avg reward
0.0371522381901741,0.001,0.004605888854712248,2124,5032000,62900,1.5772517919540405,0.0007272674363255627,0.7874223738908768,-0.1115577314980328
0.01928086020052433,0.001,0.007796558551490307,2124,5040000,63000,1.636126160621643,0.0007272674363255627,0.915739081799984,0.023691864940337835
-0.041221536695957184,0.001,0.008525165729224682,2124,5048000,63100,1.4674805402755737,0.0007272674363255627,0.9353645965456963,0.19481063333223575
-0.05261614918708801,0.001,0.006960430648177862,2125,5056000,63200,1.5256030559539795,0.0007272674363255627,0.9061149805784225,0.18414782375330105
0.04109148308634758,0.001,0.01054282858967781,2125,5064000,63300,1.5408300161361694,0.0007272674363255627,0.8858197033405304,0.140564592089504
0.016818389296531677,0.001,0.016597887501120567,2125,5072000,63400,1.4292728900909424,0.0007272674363255627,0.8414281755685806,-0.04149473274155753
-0.0007288262131623924,0.001,0.01378141064196825,2125,5080000,63500,1.6368986368179321,0.0007272674363255627,0.9237714782357216,0.14048705017194152
-0.059972554445266724,0.001,0.008676369674503803,2125,5088000,63600,1.5047237873077393,0.0007272674363255627,0.8882614076137543,0.0744905901607126
-0.0256525669246912,0.001,0.010070901364088058,2125,5096000,63700,1.526416540145874,0.0007272674363255627,0.8673179447650909,0.0220157730858773
-0.05441512539982796,0.001,0.0034633248578757048,2125,5104000,63800,1.6495097875595093,0.0007272674363255627,0.8806777074933052,-0.04596840995945968
-0.0010913502192124724,0.001,0.008256321772933006,2125,5112000,63900,1.6239827871322632,0.0007272674363255627,0.9228342846035957,0.3785789914429188
0.04993099719285965,0.001,0.0041401321068406105,2125,5120000,64000,1.5784519910812378,0.0007272674363255627,0.9575208500027657,0.0768369704252109
-0.1457824856042862,0.001,0.01682533137500286,2125,5128000,64100,1.6390750408172607,0.0007272674363255627,0.8898220360279083,0.5594922051765024
-0.03446029871702194,0.001,0.027878832072019577,2126,5136000,64200,1.4826204776763916,0.0007272674363255627,0.78786201775074,0.12722630575299262
0.039248935878276825,0.001,0.006620553322136402,2126,5144000,64300,1.4120832681655884,0.0007272674363255627,0.9023537188768387,0.07218378803227096
-0.019695322960615158,0.001,0.01091997604817152,2126,5152000,64400,1.5543333292007446,0.0007272674363255627,0.8946056813001633,0.043680895080979096
