explained_variance,value_loss,nupdates,fps,total_timesteps,policy_entropy
-0.1818310022354126,1.6121143531222515e-08,1138100,1360,91048000,2.890367031097412
0.014698207378387451,2.330955517493294e-08,1138200,1360,91056000,2.8903675079345703
-1.3934574127197266,1.5710984513361836e-08,1138300,1360,91064000,2.8903679847717285
-5.948763370513916,4.6338957560010385e-08,1138400,1360,91072000,2.8903679847717285
-2.085064649581909,1.983908148872615e-08,1138500,1360,91080000,2.890368700027466
-3.726807117462158,4.696492084121928e-08,1138600,1360,91088000,2.890368700027466
-0.42113661766052246,1.209691902204213e-08,1138700,1360,91096000,2.890369415283203
-7.703680038452148,3.465654074830127e-08,1138800,1359,91104000,2.890369176864624
-1.3042349815368652,1.5832799959980548e-08,1138900,1359,91112000,2.890369415283203
-6.130059719085693,3.0976952558603443e-08,1139000,1359,91120000,2.8903698921203613
-1.0115463733673096,8.183886457402423e-09,1139100,1359,91128000,2.8903698921203613
-2.9763872623443604,2.2376996255957238e-08,1139200,1359,91136000,2.8903698921203613
-0.34049880504608154,1.8751812547179725e-08,1139300,1359,91144000,2.8903698921203613
-5.256922721862793,1.1496060636773109e-07,1139400,1359,91152000,2.8903703689575195
-0.2476186752319336,7.716629113474482e-09,1139500,1359,91160000,2.8903701305389404
-0.7748364210128784,4.986875357104736e-09,1139600,1359,91168000,2.8903698921203613
-0.2730921506881714,7.542490187972817e-09,1139700,1359,91176000,2.8903703689575195
0.20335441827774048,6.2942007161836955e-09,1139800,1358,91184000,2.8903703689575195
-0.033727288246154785,4.925282404144582e-09,1139900,1358,91192000,2.8903706073760986
-2.2047603130340576,4.6225103744745866e-08,1140000,1358,91200000,2.8903708457946777
-0.7646629810333252,1.5645237994021954e-08,1140100,1358,91208000,2.8903708457946777
-0.44697654247283936,9.172165249538011e-09,1140200,1358,91216000,2.8903708457946777
-8.632320404052734,3.7496057814223605e-08,1140300,1358,91224000,2.8903708457946777
-3.1690516471862793,1.5675528430847407e-08,1140400,1358,91232000,2.8903708457946777
-0.7702618837356567,1.1869014215903917e-08,1140500,1358,91240000,2.8903708457946777
-5.869351387023926,2.933054155107584e-08,1140600,1358,91248000,2.8903708457946777
-1.5089073181152344,1.1244459585668665e-08,1140700,1358,91256000,2.890371084213257
-2.3598945140838623,4.399295860935126e-08,1140800,1357,91264000,2.890371322631836
-0.10797381401062012,4.242713735891357e-09,1140900,1357,91272000,2.890371322631836
-0.45952558517456055,3.233937206914561e-08,1141000,1357,91280000,2.890371322631836
0.1388702392578125,1.9195992351228597e-08,1141100,1357,91288000,2.890371084213257
-0.9965847730636597,2.600256721052574e-08,1141200,1357,91296000,2.8903708457946777
-0.24213731288909912,3.907350887288885e-08,1141300,1357,91304000,2.890371322631836
-1.2240614891052246,1.0869451116946038e-08,1141400,1357,91312000,2.890371322631836
-0.42761850357055664,1.3180728508643824e-08,1141500,1357,91320000,2.890371322631836
-0.823272705078125,9.145649570996284e-09,1141600,1357,91328000,2.890371322631836
-0.4275979995727539,2.7159114068808776e-08,1141700,1357,91336000,2.890371322631836
-1.357487440109253,4.4490157335985714e-08,1141800,1357,91344000,2.890371322631836
-1.293954849243164,1.5481941062489568e-08,1141900,1356,91352000,2.890371322631836
-1.9599974155426025,2.054678205354321e-08,1142000,1356,91360000,2.890371322631836
-1.0310859680175781,5.398518077015524e-09,1142100,1356,91368000,2.890371322631836
-2.2115633487701416,1.7348298797514872e-08,1142200,1356,91376000,2.890371084213257
-0.6405184268951416,5.476182618480152e-09,1142300,1356,91384000,2.890371322631836
-6.648317337036133,3.114427116202023e-08,1142400,1356,91392000,2.890371322631836
-0.13010478019714355,3.1479160611525003e-08,1142500,1356,91400000,2.890371322631836
-0.7152541875839233,6.518613648864857e-09,1142600,1356,91408000,2.890371322631836
-2.8292367458343506,1.4026035444203444e-08,1142700,1356,91416000,2.890371322631836
-0.09863138198852539,1.3754456240633317e-08,1142800,1356,91424000,2.890371084213257
0.1746947169303894,1.2791656622823666e-08,1142900,1355,91432000,2.890371561050415
-0.7009110450744629,8.534819961880658e-09,1143000,1355,91440000,2.890371322631836
-2.7600066661834717,1.3097237960835173e-08,1143100,1355,91448000,2.890371322631836
-5.036893844604492,4.5785515823126843e-08,1143200,1355,91456000,2.890371322631836
-0.03957831859588623,7.087241904457642e-09,1143300,1355,91464000,2.890371322631836
-10.183419227600098,3.136324977504046e-08,1143400,1355,91472000,2.890371322631836
-0.8978371620178223,8.680627772150729e-09,1143500,1355,91480000,2.890371322631836
-1.5495390892028809,1.705064001100709e-08,1143600,1355,91488000,2.890371322631836
-0.5256297588348389,4.783025975285682e-09,1143700,1355,91496000,2.890371322631836
-4.160526752471924,1.9919330185302897e-08,1143800,1355,91504000,2.890371322631836
-1.343625783920288,1.6272910130510354e-08,1143900,1355,91512000,2.890371561050415
-10.976838111877441,3.412944238334603e-08,1144000,1354,91520000,2.890371322631836
-1.808910608291626,2.408187427249686e-08,1144100,1354,91528000,2.890371322631836
-0.42753756046295166,4.011836640671618e-09,1144200,1354,91536000,2.890371561050415
-1.4571270942687988,8.305532261942972e-09,1144300,1354,91544000,2.890371322631836
-0.5227717161178589,5.87058579526456e-09,1144400,1354,91552000,2.890371322631836
-5.388091087341309,5.288497817446114e-08,1144500,1354,91560000,2.890371322631836
-3.1280088424682617,1.920031067470518e-08,1144600,1354,91568000,2.890371561050415
-1.2364881038665771,1.6999422314256663e-08,1144700,1354,91576000,2.890371322631836
-3.8821897506713867,2.0105124676206287e-08,1144800,1354,91584000,2.890371561050415
-2.7568230628967285,2.2496960738749294e-08,1144900,1354,91592000,2.890371322631836
-1.835733413696289,8.04510413843218e-09,1145000,1353,91600000,2.890371322631836
-0.22963929176330566,4.629973737735327e-09,1145100,1353,91608000,2.890371561050415
-4.282723903656006,2.4040833324079358e-08,1145200,1353,91616000,2.890371322631836
-1.7027592658996582,1.0965372609916813e-08,1145300,1353,91624000,2.890371322631836
