nupdates,value_loss,explained_variance,avg reward,total_timesteps,policy_entropy,fps
23600,1.1723305760824587e-05,-1.1593129634857178,0.0035152618493157206,1888000,2.1972200870513916,2005
23700,2.7911684810533188e-05,-1.0713486671447754,0.003963396839390043,1896000,2.1972203254699707,2005
23800,3.1117619982978795e-06,-0.7625463008880615,0.0008544853444618639,1904000,2.197218418121338,2006
23900,4.311799420975149e-05,-0.619925856590271,0.004710049880668521,1912000,2.1972193717956543,2006
24000,3.460461130089243e-06,-1.0747904777526855,0.002037717017446994,1920000,2.1972198486328125,2005
24100,3.886053491441999e-06,-2.7530884742736816,0.002693300361352158,1928000,2.1971988677978516,2005
24200,1.0202949852100573e-05,-2.2738819122314453,0.00251010164811305,1936000,2.197221279144287,2005
24300,3.605247911764309e-05,-0.21586966514587402,0.0018302667969692266,1944000,2.19722056388855,2006
24400,3.3225383049284574e-06,-0.8266048431396484,-7.540726437582635e-06,1952000,2.1972174644470215,2006
24500,2.309284536750056e-05,-0.8316782712936401,0.007615598410484381,1960000,2.1972198486328125,2006
24600,1.2907985365018249e-05,-0.1612759828567505,0.0006453759378928225,1968000,2.1972172260284424,2005
24700,5.051509106124286e-06,0.19788718223571777,0.000346502893808065,1976000,2.1972172260284424,2005
24800,7.674588232475799e-06,0.1679457426071167,0.003025501978208922,1984000,2.1971938610076904,2005
24900,1.2221792530908715e-05,-2.137183666229248,0.0006779310933779925,1992000,2.1972174644470215,2005
25000,2.8012629627482966e-05,-0.9939993619918823,0.0020727458715555256,2000000,2.1972174644470215,2006
25100,3.956873115384951e-06,-0.4761333465576172,-0.0008236191413743654,2008000,2.1972169876098633,2006
25200,2.410122579021845e-05,-0.3125317096710205,0.004390380806580651,2016000,2.1972179412841797,2006
25300,4.2005676732514985e-06,-0.5578117370605469,9.33409195567947e-05,2024000,2.1972198486328125,2005
25400,1.450741729058791e-05,-2.9942548274993896,-0.00010026889030996244,2032000,2.1972038745880127,2005
25500,9.443470844416879e-06,-1.130289077758789,0.0062387038818997095,2040000,2.197200298309326,2005
25600,8.718853678146843e-06,0.41742777824401855,0.0012550284669487154,2048000,2.1972193717956543,2006
25700,1.9100301869912073e-05,-1.2554819583892822,-0.0008072029821050819,2056000,2.1972198486328125,2006
25800,2.930968094005948e-06,-0.13639044761657715,0.0014249180035221798,2064000,2.1972174644470215,2006
25900,5.025953214499168e-05,-1.3394098281860352,0.00011549192216762095,2072000,2.197218894958496,2007
26000,6.390203452610876e-06,-1.3464767932891846,0.00030485824681818484,2080000,2.1972200870513916,2005
26100,4.0075074139167555e-06,-0.3893778324127197,0.00017765014986252935,2088000,2.1971988677978516,2006
26200,8.916884326026775e-06,-0.5205191373825073,-0.0013555005316447932,2096000,2.1972203254699707,2006
26300,2.060074439214077e-05,-0.2252192497253418,0.006029580513859401,2104000,2.197221279144287,2006
26400,3.1035756364872213e-06,0.09353131055831909,-0.0017990644990959481,2112000,2.197218656539917,2006
26500,3.53463037754409e-05,-1.2896449565887451,0.0009662795928306878,2120000,2.19722056388855,2007
26600,6.037536422809353e-06,-0.5377647876739502,0.003617807392583927,2128000,2.197221040725708,2005
26700,5.079348738945555e-06,-0.2665390968322754,0.000601235931753763,2136000,2.197221040725708,2006
26800,6.402941835403908e-06,-0.3790832757949829,0.0023012546887912324,2144000,2.197204113006592,2006
26900,7.500858828279888e-06,-0.4656500816345215,0.00019943798492931818,2152000,2.197218656539917,2006
27000,2.712379500735551e-05,-1.0740976333618164,-0.0009218029725388988,2160000,2.1972179412841797,2006
27100,3.3430492294428404e-06,-0.21867799758911133,-0.0028819150547860772,2168000,2.1972157955169678,2007
27200,2.2196854843059555e-05,-0.5797455310821533,0.002738495903759031,2176000,2.197216749191284,2007
27300,9.333898560726084e-06,-0.39899778366088867,-0.002208053841968649,2184000,2.197218418121338,2006
27400,1.0069164090964478e-05,-1.7905247211456299,0.001706425801239675,2192000,2.1971793174743652,2007
27500,4.727843406726606e-05,-0.3134394884109497,0.0015702439984124795,2200000,2.197183609008789,2007
27600,2.555282844696194e-05,-2.3733184337615967,-0.0021120066339790355,2208000,2.1972174644470215,2007
27700,1.4128223483567126e-05,-1.465984582901001,-0.00013069149281363934,2216000,2.1972196102142334,2007
27800,2.2137562609714223e-06,-0.09204983711242676,0.0007178040757935377,2224000,2.1972179412841797,2007
