learning rate,nupdates,policy_entropy,explained_variance,total_timesteps,fps,value_loss,avg reward
0.001,7900,1.0986080169677734,-0.24262630939483643,632000,1868,8.6087438830873e-06,-0.003443608137604315
0.001,8000,1.0986075401306152,-0.6611412763595581,640000,1869,9.681008123152424e-06,-0.0038999806087304024
0.001,8100,1.0985801219940186,-0.4125889539718628,648000,1871,1.1574428754101973e-05,0.0022973300659941743
0.001,8200,1.0985920429229736,-0.12852752208709717,656000,1868,6.8649933382403105e-06,0.0007106849247065838
0.001,8300,1.0985876321792603,-0.4875720739364624,664000,1870,9.263998435926624e-06,-0.0034882847541666704
0.001,8400,1.0985851287841797,-1.9457128047943115,672000,1871,8.291807716886979e-06,0.010572858236264438
0.001,8500,1.0985898971557617,-0.25114405155181885,680000,1872,8.291460289910901e-06,-9.214000310748815e-05
0.001,8600,1.0985978841781616,-0.8754837512969971,688000,1869,7.409181762341177e-06,0.0029976425138897866
0.001,8700,1.0985887050628662,-0.6699203252792358,696000,1870,8.69023733685026e-06,-0.003379331926407758
0.001,8800,1.0986076593399048,-0.5159574747085571,704000,1871,6.919134648342151e-06,-0.00307844774761179
0.001,8900,1.0986106395721436,-0.624788761138916,712000,1872,8.907527444534935e-06,-0.0073983956579468215
0.001,9000,1.0985949039459229,-1.1213257312774658,720000,1870,9.056408089236356e-06,0.00020360196385809103
0.001,9100,1.0986013412475586,-0.28996968269348145,728000,1871,8.283655915874988e-06,-0.0008485832018777728
0.001,9200,1.0985958576202393,-0.9921067953109741,736000,1872,7.67885194363771e-06,-0.003412994717109541
0.001,9300,1.0985761880874634,-1.385119915008545,744000,1873,6.916692655067891e-06,-0.00258282405694672
0.001,9400,1.0985491275787354,-0.7263206243515015,752000,1874,1.1271707990090363e-05,-0.006081600864126813
0.001,9500,1.0985971689224243,-1.3835070133209229,760000,1872,9.965171557269059e-06,0.012798969639698043
0.001,9600,1.0986031293869019,-0.0817413330078125,768000,1872,1.1017489669029601e-05,-0.000951872878431459
0.001,9700,1.0986109972000122,-1.145329236984253,776000,1873,9.902290912577882e-06,0.012088991410564631
0.001,9800,1.0985721349716187,-0.5577472448348999,784000,1874,8.05422223493224e-06,0.003242977091758803
0.001,9900,1.0985907316207886,-0.47222983837127686,792000,1872,1.1993373846053146e-05,0.004855391084129223
0.001,10000,1.0985642671585083,-0.38372695446014404,800000,1873,8.82597487361636e-06,-7.325919841605355e-05
0.001,10100,1.0985543727874756,-0.6567342281341553,808000,1874,8.637041901238263e-06,0.0017490909420303069
