% time spent exploring,steps,mean 100 episode reward,episodes
1,3529928,13.7,24200
1,3560784,12.5,24300
1,3592537,13.1,24400
1,3625493,14.6,24500
1,3656685,11.5,24600
1,3691148,13.0,24700
1,3721225,12.5,24800
1,3751482,12.2,24900
1,3786256,13.6,25000
1,3817612,12.8,25100
1,3851463,13.3,25200
1,3882957,10.6,25300
1,3917089,13.3,25400
1,3947679,12.5,25500
1,3979758,13.7,25600
1,4011320,13.1,25700
1,4043669,13.5,25800
1,4074301,12.4,25900
1,4107110,13.9,26000
1,4138735,12.9,26100
1,4169847,13.4,26200
1,4206880,14.7,26300
1,4243959,14.2,26400
1,4279289,14.0,26500
1,4318921,14.7,26600
1,4353723,15.1,26700
1,4373594,7.0,26800
1,4408632,12.6,26900
1,4443820,14.2,27000
1,4473480,11.4,27100
1,4511751,14.7,27200
1,4537170,9.1,27300
1,4560203,7.6,27400
1,4597213,15.5,27500
1,4629259,12.0,27600
1,4665787,13.6,27700
1,4706023,14.9,27800
1,4738040,11.0,27900
1,4773493,14.2,28000
1,4808617,14.9,28100
1,4836206,9.6,28200
1,4871954,14.5,28300
1,4889367,6.1,28400
1,4909976,7.9,28500
1,4945485,13.4,28600
1,4966560,8.0,28700
1,5003480,14.7,28800
1,5015284,3.7,28900
1,5049390,12.8,29000
1,5082532,13.9,29100
1,5114485,10.7,29200
1,5143378,11.4,29300
1,5171723,11.1,29400
1,5199944,10.2,29500
1,5229258,9.8,29600
1,5255669,9.4,29700
1,5285855,10.7,29800
1,5315803,11.0,29900
1,5346910,11.6,30000
1,5377080,11.9,30100
1,5409552,13.6,30200
1,5444185,14.7,30300
1,5477013,14.3,30400
1,5512048,13.8,30500
1,5545059,13.4,30600
1,5578528,14.2,30700
1,5615689,14.8,30800
1,5648895,14.3,30900
1,5685981,16.6,31000
1,5719311,13.6,31100
1,5753234,14.4,31200
1,5787825,14.2,31300
1,5814167,9.2,31400
1,5851550,15.8,31500
1,5888766,13.9,31600
1,5928631,15.4,31700
1,5969816,15.4,31800
1,6014635,15.5,31900
1,6046166,12.6,32000
1,6075811,11.0,32100
1,6105421,12.2,32200
1,6143252,14.7,32300
1,6180753,12.3,32400
1,6217122,13.8,32500
1,6251813,11.3,32600
1,6284060,13.9,32700
1,6308691,8.2,32800
1,6339214,11.6,32900
1,6370283,7.1,33000
1,6384870,3.4,33100
1,6402954,4.3,33200
1,6427138,7.4,33300
1,6448955,8.5,33400
1,6482072,14.0,33500
1,6515149,14.5,33600
1,6554502,14.1,33700
1,6592829,13.8,33800
1,6626880,10.1,33900
1,6662709,15.7,34000
1,6701367,14.7,34100
1,6734100,12.6,34200
1,6770900,14.5,34300
1,6815066,11.7,34400
1,6862017,14.1,34500
1,6897613,15.4,34600
1,6930883,14.0,34700
1,6967158,14.0,34800
1,7004413,15.4,34900
1,7047956,15.9,35000
1,7071638,7.6,35100
1,7111032,14.3,35200
1,7134665,5.8,35300
1,7149194,4.9,35400
1,7201754,15.0,35500
1,7231308,9.8,35600
1,7273095,15.6,35700
1,7309905,11.9,35800
1,7333776,8.6,35900
1,7357116,7.6,36000
1,7407611,17.8,36100
1,7453008,11.9,36200
1,7502866,16.6,36300
1,7531895,10.8,36400
1,7557495,8.6,36500
1,7591179,15.4,36600
1,7615255,6.9,36700
1,7657347,13.7,36800
1,7692314,13.9,36900
1,7724151,13.2,37000
1,7761298,13.8,37100
1,7793736,14.0,37200
1,7824655,13.6,37300
1,7854943,13.0,37400
1,7890188,14.3,37500
1,7919326,11.4,37600
1,7953231,14.1,37700
1,7984853,12.1,37800
1,8012300,10.4,37900
1,8047265,6.6,38000
1,8082424,14.0,38100
1,8111537,11.7,38200
1,8146133,13.2,38300
1,8179669,14.9,38400
1,8207806,10.1,38500
1,8255728,16.6,38600
1,8295041,14.7,38700
1,8332683,13.8,38800
1,8376751,17.0,38900
1,8424888,15.6,39000
1,8456466,10.3,39100
1,8500415,15.2,39200
1,8555394,17.4,39300
1,8608029,17.0,39400
1,8648914,16.7,39500
1,8674608,8.7,39600
1,8711354,14.7,39700
1,8740655,10.1,39800
1,8793398,16.7,39900
1,8832493,14.1,40000
1,8867729,14.8,40100
1,8904329,13.1,40200
1,8944024,14.6,40300
1,8981640,14.3,40400
1,9012172,8.6,40500
1,9059692,16.5,40600
1,9100678,14.4,40700
1,9140574,14.4,40800
1,9180656,14.8,40900
1,9225301,14.3,41000
1,9275761,15.5,41100
1,9315664,13.9,41200
1,9350207,13.1,41300
1,9381782,11.2,41400
1,9414381,9.5,41500
1,9458076,15.2,41600
1,9490794,13.5,41700
1,9540975,16.4,41800
1,9566566,8.8,41900
1,9605037,13.4,42000
1,9644822,15.6,42100
1,9682768,11.7,42200
1,9710315,8.3,42300
1,9745518,14.6,42400
1,9788342,14.7,42500
1,9820135,13.3,42600
1,9858530,15.6,42700
1,9894062,12.6,42800
1,9932969,14.5,42900
1,9966909,13.6,43000
1,9998591,13.7,43100
