total_timesteps,avg reward,fps,policy_entropy,value_loss,nupdates,explained_variance
1584000,-0.0018886754529376048,2025,2.1972155570983887,5.373984549805755e-06,19800,-0.18851935863494873
1592000,-0.005004501796793193,2025,2.197206974029541,4.578176231007092e-05,19900,-2.0345582962036133
1600000,0.00045384714958345284,2024,2.197213888168335,6.207927071955055e-06,20000,-0.12215840816497803
1608000,0.0031406884139869363,2024,2.197187662124634,6.433524049498374e-06,20100,-0.31832635402679443
1616000,-0.00018351304324824014,2024,2.1972146034240723,7.532486961281393e-06,20200,-1.075495958328247
1624000,-0.001852809933188837,2025,2.197208881378174,3.9321737858699635e-05,20300,-0.2428286075592041
1632000,0.0010970975164127593,2025,2.197213888168335,4.014145815744996e-06,20400,0.1532943844795227
1640000,0.005390496679319767,2025,2.1972129344940186,4.941616134601645e-05,20500,-1.175255298614502
1648000,-1.0407243007648503e-05,2024,2.1972148418426514,1.3798169675283134e-05,20600,-1.37156081199646
1656000,0.0003515848190545512,2023,2.1972153186798096,5.924658580624964e-06,20700,-0.7965750694274902
1664000,0.0001829795237426879,2024,2.197206735610962,9.346406841359567e-06,20800,0.09475922584533691
1672000,0.001902228251856286,2024,2.197216033935547,1.1518218343553599e-05,20900,-1.170766830444336
1680000,0.0006745852351059511,2025,2.1972153186798096,2.895845682360232e-05,21000,-0.34884870052337646
1688000,0.0010925459833742933,2025,2.1972179412841797,3.509093176035094e-06,21100,-0.5618623495101929
1696000,-0.0021921093175478745,2025,2.1972148418426514,2.016936196014285e-05,21200,-0.790306568145752
1704000,-0.0024937852396760716,2024,2.197216272354126,1.2401507774484344e-05,21300,-0.10292577743530273
1712000,-0.0017632220010455057,2024,2.197214126586914,6.868600848974893e-06,21400,-0.8535332679748535
1720000,0.0029837780151410697,2024,2.197211265563965,1.292798242502613e-05,21500,-1.3919363021850586
1728000,-0.003106554222546265,2024,2.197216510772705,6.634600140387192e-06,21600,-0.8513340950012207
1736000,0.0009845627428148873,2025,2.197216033935547,3.2659991120453924e-05,21700,0.005473494529724121
1744000,-0.003445595660559775,2025,2.197218894958496,3.3988471841439605e-06,21800,0.21371859312057495
1752000,-0.00035541736669983945,2025,2.197211742401123,3.978785389335826e-05,21900,-0.6437829732894897
1760000,0.0011383121625804904,2024,2.197216510772705,5.901503300265176e-06,22000,-1.675295114517212
1768000,-0.002952732171979733,2024,2.197202444076538,3.85842440664419e-06,22100,0.08323836326599121
1776000,-0.0004920267541820067,2024,2.1972177028656006,6.817886514909333e-06,22200,-1.2122688293457031
1784000,0.002369179548259126,2025,2.1972131729125977,3.797223689616658e-05,22300,-0.6983938217163086
1792000,-0.0006419853841180157,2025,2.197216510772705,3.363233645359287e-06,22400,-0.08074665069580078
1800000,-0.0003269320262916153,2025,2.1972107887268066,2.4738936190260574e-05,22500,-1.0724806785583496
1808000,0.0018561029104603223,2023,2.197219133377075,1.0520065188757144e-05,22600,-1.8730738162994385
1816000,-2.631220850162208e-05,2023,2.1972174644470215,6.416653832275188e-06,22700,-0.3626166582107544
1824000,0.0004590512133518132,2023,2.197208881378174,8.728771717869677e-06,22800,-0.7375781536102295
1832000,0.002240259377140319,2024,2.1972200870513916,8.36013896332588e-06,22900,-0.04658210277557373
1840000,0.003936454714857973,2024,2.1972150802612305,3.468605791567825e-05,23000,-1.1105973720550537
1848000,0.00021595027537841817,2024,2.1972203254699707,3.145312803098932e-06,23100,-0.4430661201477051
1856000,0.002928003578563221,2025,2.197218418121338,2.5803441531024873e-05,23200,-0.1745150089263916
1864000,0.0011292468203464522,2023,2.1972227096557617,9.778754247236066e-06,23300,-0.38386690616607666
1872000,0.00014196362026268615,2024,2.1972227096557617,9.787103408598341e-06,23400,-0.9658483266830444
1880000,0.004197540066979854,2024,2.197201728820801,7.0572450567851774e-06,23500,0.16550397872924805
1888000,-0.00023343015927821398,2024,2.1972217559814453,7.74369345890591e-06,23600,-0.07508432865142822
1896000,0.0016116404061904178,2024,2.197218656539917,2.370603397139348e-05,23700,-0.5718096494674683
1904000,-0.00016907466088014189,2025,2.197221279144287,3.953561645175796e-06,23800,-0.8215988874435425
1912000,0.0035151773732650326,2025,2.197218656539917,3.774515789700672e-05,23900,-2.7524595260620117
1920000,0.0011937503046283381,2024,2.197220802307129,4.244442607159726e-06,24000,-0.9635519981384277
1928000,0.0029499884865799688,2024,2.197190999984741,3.214508524251869e-06,24100,-1.133465051651001
1936000,-0.0003719821056989758,2025,2.197221279144287,9.795980076887645e-06,24200,-0.43960511684417725
1944000,-0.0010623536269122268,2025,2.197219133377075,2.5311945137218572e-05,24300,-0.1984555721282959
1952000,-0.0051512477919459345,2025,2.1972217559814453,3.1355684768641368e-06,24400,0.3553926944732666
1960000,-0.0024330430245754543,2026,2.197218179702759,1.897735637612641e-05,24500,-2.059934139251709
1968000,0.0025202093267580493,2025,2.1972227096557617,1.1866466593346559e-05,24600,-0.2457824945449829
1976000,0.0003564853963325731,2025,2.1972217559814453,6.118048077041749e-06,24700,-1.177962064743042
1984000,0.007008167173262336,2025,2.1972105503082275,9.197255167237017e-06,24800,-0.4268602132797241
1992000,0.00032459200342600526,2025,2.19722056388855,6.122248123574536e-06,24900,-0.4592475891113281
2000000,-0.0014452072398853488,2025,2.197216510772705,3.7828449421795085e-05,25000,-0.9973793029785156
2008000,-0.0033206166507170564,2025,2.1972193717956543,3.5736054542212514e-06,25100,-0.19212377071380615
2016000,-0.0018717563587415497,2026,2.197216510772705,2.9716751669184305e-05,25200,-0.155869722366333
2024000,-0.0005469975567393703,2025,2.197221040725708,4.845068360737059e-06,25300,-0.12440037727355957
