nupdates,fps,explained_variance,policy_entropy,total_timesteps,value_loss,avg reward,learning rate
85900,1822,-2.0425705909729004,1.0986095666885376,6872000,1.2884853504147031e-06,0.0013861419607565039,0.001
86000,1823,-1.738440990447998,1.0986111164093018,6880000,9.530155580250721e-07,0.0033234963164431976,0.001
86100,1823,-0.7727134227752686,1.098609209060669,6888000,1.0172570910071954e-06,0.0026551546790869905,0.001
86200,1823,0.0045435428619384766,1.0986096858978271,6896000,8.876311881067522e-07,0.001190371955453884,0.001
86300,1822,-0.46289265155792236,1.098548173904419,6904000,1.5301460507544107e-06,0.004840255292947404,0.001
86400,1823,-0.686147928237915,1.0985966920852661,6912000,1.593998831594945e-06,0.002138017203833442,0.001
86500,1823,-0.8532994985580444,1.0986064672470093,6920000,1.174290559902147e-06,0.002407724326076277,0.001
86600,1823,-0.9306228160858154,1.098611831665039,6928000,1.250677428288327e-06,0.0011121240447664604,0.001
86700,1822,-0.7612097263336182,1.098611831665039,6936000,1.1243755579926074e-06,-0.0006994800595748529,0.001
86800,1823,-0.2667194604873657,1.098611831665039,6944000,1.5297439404093893e-06,-0.0018107114166923566,0.001
86900,1823,-0.45917797088623047,1.0986120700836182,6952000,1.0967978596454486e-06,-0.0022083682531956585,0.001
87000,1823,0.059687256813049316,1.09861159324646,6960000,1.7505462892586365e-06,-0.003224741361918859,0.001
87100,1823,-0.7429895401000977,1.0986086130142212,6968000,9.047695357367047e-07,-0.0006184769022411274,0.001
87200,1823,-0.8497296571731567,1.0986120700836182,6976000,1.4907249124007649e-06,0.00029437309476634257,0.001
87300,1823,-1.3058958053588867,1.098611831665039,6984000,1.4582072935809265e-06,0.0007753216126729967,0.001
87400,1823,-0.12316858768463135,1.0986106395721436,6992000,1.8349558104091557e-06,-0.0016123039389640327,0.001
87500,1823,-0.8491939306259155,1.09861159324646,7000000,1.2348700693110004e-06,0.003272581116470974,0.001
87600,1823,-1.5114727020263672,1.0986113548278809,7008000,1.6029073321988108e-06,-0.0011210819880943745,0.001
87700,1823,-0.7642395496368408,1.0986106395721436,7016000,1.171512280961906e-06,0.0010997890473845473,0.001
87800,1823,-0.27498745918273926,1.098610520362854,7024000,1.498638084740378e-06,0.0019401074927372975,0.001
87900,1823,-0.4707627296447754,1.098609447479248,7032000,1.4424213077290915e-06,0.00010413867512397701,0.001
88000,1823,-0.8374065160751343,1.0986113548278809,7040000,9.68319682215224e-07,0.0012873947209527613,0.001
88100,1823,-1.25850510597229,1.098611831665039,7048000,1.2404599374349345e-06,-0.0005432024904621358,0.001
88200,1823,-1.3852756023406982,1.09861159324646,7056000,1.176525984192267e-06,-0.0001486594024754595,0.001
88300,1823,-0.8323715925216675,1.098611831665039,7064000,1.8322486994293286e-06,7.63365465672905e-05,0.001
88400,1823,-0.12081038951873779,1.098610281944275,7072000,9.344947216050059e-07,-0.0008296833729900755,0.001
88500,1823,-0.8850643634796143,1.0986028909683228,7080000,1.1478680335130775e-06,-0.00244684029603377,0.001
88600,1823,-0.020842313766479492,1.0986089706420898,7088000,9.347075433652208e-07,-0.0015168343186815036,0.001
88700,1823,-0.936051607131958,1.0986038446426392,7096000,8.169807301783294e-07,0.000764990585275882,0.001
88800,1823,-0.4184218645095825,1.09860360622406,7104000,1.4220329376257723e-06,0.0009390500099470955,0.001
88900,1823,-0.5750333070755005,1.0986071825027466,7112000,1.3846336059941677e-06,0.00113166930314037,0.001
89000,1823,-0.7195920944213867,1.0986080169677734,7120000,1.2942351759193116e-06,0.0018189035489740491,0.001
89100,1823,-0.7488739490509033,1.0986087322235107,7128000,1.4833076420472935e-06,0.0029102825887093787,0.001
89200,1823,-0.7914819717407227,1.0986101627349854,7136000,1.262507453247963e-06,0.00353472182614496,0.001
89300,1823,-1.0571410655975342,1.098610758781433,7144000,1.3821188531437656e-06,0.0027210696091060525,0.001
89400,1823,-1.164032220840454,1.098610281944275,7152000,1.2102061646146467e-06,0.0015531378390733152,0.001
89500,1823,-0.2118614912033081,1.0986104011535645,7160000,1.543879761811695e-06,0.0031827310347580353,0.001
89600,1823,-0.8638197183609009,1.0986089706420898,7168000,9.63949560173205e-07,-0.0017600462924747262,0.001
89700,1823,-0.7002357244491577,1.0986093282699585,7176000,1.3992382719152374e-06,-8.926227026222478e-05,0.001
89800,1823,-0.4083576202392578,1.0986098051071167,7184000,8.49521143209131e-07,0.0001274426351301372,0.001
89900,1823,-1.597625970840454,1.0986071825027466,7192000,1.1701724815793568e-06,-0.002095932199335948,0.001
90000,1823,-1.1397619247436523,1.0986058712005615,7200000,8.45054273668211e-07,0.0012695783014351036,0.001
90100,1823,-0.5093791484832764,1.0986095666885376,7208000,1.4861582258163253e-06,0.0006124695451035223,0.001
90200,1823,-0.4646425247192383,1.0986108779907227,7216000,1.560995087857009e-06,0.0020262581123461133,0.001
90300,1823,-0.37171685695648193,1.0986111164093018,7224000,1.6529950244148495e-06,0.0023838340319343844,0.001
