nupdates,value_loss,policy_entropy,explained_variance,total_timesteps,avg reward,fps
25700,67.11280822753906,7.706489719087856e-17,0.836892768740654,2056000,-31.291971325315536,1892
25800,17.718385696411133,1.559898362375236e-19,0.9584855362772942,2064000,38.087147450447084,1891
25900,2.8523504734039307,1.5138995445867203e-36,0.8474514037370682,2072000,-5.69848971478641,1891
26000,0.9770603179931641,0.0,0.9438640214502811,2080000,-3.4673204354941847,1891
26100,5.960477352142334,0.0,0.9267932400107384,2088000,16.858696848154068,1892
26200,2.1904959678649902,0.0,0.8537409454584122,2096000,10.768126010894775,1893
26300,99.90565490722656,9.034815473404493e-27,0.9208642914891243,2104000,-74.16059634685516,1893
26400,189.31759643554688,9.738979506743531e-14,0.9457463063299656,2112000,107.14032229185105,1894
26500,4.438939094543457,4.0199618089420906e-24,0.9448856189846992,2120000,-13.783310274034738,1894
26600,240.0592803955078,0.0,0.8756620064377785,2128000,73.36070613861084,1894
26700,75.71554565429688,0.0,0.9633111134171486,2136000,-54.081625604629515,1894
26800,199.97557067871094,0.0,0.9038281887769699,2144000,-120.81676136255264,1895
26900,138.02395629882812,6.086478763917868e-32,0.9607482329010963,2152000,-86.55376627631486,1894
27000,44.50831985473633,5.051918902639421e-16,0.9565802291035652,2160000,-63.98958690203726,1895
27100,442.59649658203125,0.0,0.7665243744850159,2168000,-88.77014120817185,1894
27200,14.758023262023926,0.0,0.9157952889800072,2176000,22.6170564442873,1895
27300,78.01454162597656,0.0,0.9360529854893684,2184000,67.74736332297326,1895
27400,89.66553497314453,0.0,0.27242761850357056,2192000,-23.822422641515733,1896
27500,140.9073944091797,0.0,0.949734665453434,2200000,-81.99388215541839,1896
27600,276.8213195800781,0.0,0.8205191195011139,2208000,117.30122375488281,1896
27700,68.43656921386719,0.0,0.9164587929844856,2216000,53.37148096561432,1896
27800,49.6439208984375,0.0,0.9331706538796425,2224000,-60.29106034040451,1896
27900,223.19949340820312,0.0,0.9460890255868435,2232000,164.01523501873015,1896
28000,2.458385944366455,0.0,0.9299323335289955,2240000,-12.241940707713365,1896
28100,153.540283203125,0.0,0.9574152305722237,2248000,95.7045832157135,1896
28200,821.2869262695312,1.2176475386028438e-37,0.2783297300338745,2256000,50.34322447776795,1896
28300,1.3938260078430176,0.0,0.9571355618536472,2264000,-5.975645498558879,1896
28400,32.525054931640625,2.72494456469638e-13,0.9673932269215584,2272000,51.880574715137485,1896
28500,0.9302387237548828,0.0,0.9732364602386951,2280000,12.748803234100341,1897
28600,285.046142578125,2.4022608688093628e-29,0.9383068457245827,2288000,-122.20801913142205,1897
28700,44.92967224121094,0.02407696470618248,0.9814589433372021,2296000,-57.40641772598028,1897
28800,133.19276428222656,1.0022247305537211e-25,0.9223104417324066,2304000,75.50085147619248,1897
28900,27.5234375,0.0,0.9673128090798855,2312000,-45.796499291434884,1897
29000,1.7532682418823242,2.4374576241825707e-05,0.9884360069409013,2320000,20.50807082802057,1897
29100,11.813667297363281,0.11523900181055069,0.8075954020023346,2328000,15.958991515636445,1897
29200,209.6910400390625,2.152095775892482e-12,0.7911432683467865,2336000,81.30292031168938,1897
29300,44.12332534790039,3.4310560306522603e-15,0.9240874722599983,2344000,-45.58035875670612,1896
29400,73.51692962646484,0.0,0.9261451736092567,2352000,-71.37366197109222,1896
29500,3.6780247688293457,3.5406442329112186e-32,0.9865280278027058,2360000,-22.873960178345442,1896
29600,0.4619079530239105,0.0,0.9765395857393742,2368000,5.459196647256613,1896
29700,4.875475883483887,0.0,0.9649909138679504,2376000,-15.840158922132105,1896
29800,7.8027825355529785,1.8278468738586184e-09,0.9897683700546622,2384000,56.09087238311768,1896
29900,63.570396423339844,3.084623159801288e-23,0.8208624571561813,2392000,32.42319365441799,1896
30000,6.9485626220703125,3.92446504026544e-29,0.9886361565440893,2400000,-40.269874098151924,1896
30100,286.93450927734375,0.0,0.46296101808547974,2408000,39.56916151046753,1897
30200,3.580235242843628,6.931841767254809e-07,0.8767589628696442,2416000,13.475023406744004,1897
30300,120.1460189819336,0.04442243278026581,0.9748745933175087,2424000,-142.59189074635506,1897
30400,23.243074417114258,2.994952308615732e-14,0.8348933160305023,2432000,22.371981620788574,1897
30500,1.659811019897461,4.274423481831491e-09,0.9899487476795912,2440000,-19.836845284700395,1897
30600,2.664355754852295,0.0,0.7352180182933807,2448000,-7.3476558238267895,1897
30700,1.7822182178497314,0.0,0.9800231102854013,2456000,15.971455803513527,1897
30800,272.475830078125,0.0,0.7751145213842392,2464000,72.23363639712333,1898
30900,116.5037612915039,0.0,0.9324631989002228,2472000,73.05247178077698,1898
31000,197.76327514648438,0.0,0.9235100895166397,2480000,102.55687313079834,1898
31100,1377.349609375,0.0,0.5479620397090912,2488000,-138.5598204612732,1898
31200,1263.772705078125,0.0,0.7717897593975067,2496000,-162.37988027334214,1898
31300,54.144798278808594,0.0,0.9611709155142307,2504000,70.92737846374511,1898
31400,75.20988464355469,0.0,0.9509940855205059,2512000,-76.7614875793457,1898
31500,16.128108978271484,0.0,0.933086633682251,2520000,-24.713116102060305,1898
31600,15.051065444946289,0.0,0.9870174890384078,2528000,-63.831201928853986,1899
31700,0.6349471807479858,0.0,0.9335044175386429,2536000,4.4369791755918415,1899
31800,70.15425109863281,0.0,0.9889681367203593,2544000,-156.8877222061157,1899
31900,35.142086029052734,0.0,0.9698042925447226,2552000,-37.362842227518556,1899
32000,12.962997436523438,0.0,0.9560673907399178,2560000,35.49608085751534,1899
32100,463.34625244140625,0.0,0.5451842248439789,2568000,-62.01636700630188,1899
32200,58.04453659057617,0.0,0.9487044475972652,2576000,75.75437796115875,1899
32300,336.94488525390625,0.0,0.8252312391996384,2584000,-80.17113064676523,1899
32400,9.671113967895508,0.0,0.9769564922899008,2592000,-28.018849364109336,1899
32500,18.162023544311523,0.0,0.964836873114109,2600000,-41.91448835316114,1900
32600,5.9515485763549805,0.0,0.9890973381698132,2608000,26.9610489115119,1900
32700,410.10906982421875,0.0,0.9084030017256737,2616000,-167.7777349114418,1900
32800,2.1291260719299316,0.0,0.9648464843630791,2624000,-11.459342128410935,1900
32900,79.73109436035156,0.0,0.9678699970245361,2632000,104.12465739250183,1900
33000,8.376483917236328,0.0,0.9212948828935623,2640000,21.741906583309174,1900
33100,119.76393127441406,0.0,0.9422320201992989,2648000,-78.74356784522533,1901
33200,276.54461669921875,2.2836419068955355e-15,0.6695005893707275,2656000,-50.083446949906644,1901
33300,15.096717834472656,4.397255441678028e-24,0.9241412654519081,2664000,19.7351457208395,1901
33400,15.798994064331055,9.42254908876971e-16,0.9271167889237404,2672000,35.83322400152683,1901
33500,89.87361145019531,5.226856707868377e-12,0.957186859101057,2680000,-66.86452481402084,1901
33600,450.5113830566406,0.0,0.5769387483596802,2688000,70.68140053749084,1902
