fps,policy_entropy,nupdates,total_timesteps,value_loss,avg reward,explained_variance
1895,1.6647777557373047,5300,424000,0.019639063626527786,1.1995807152241469,0.9495496675372124
1894,1.6817991733551025,5400,432000,0.01880527287721634,1.393737456575036,0.9523818530142307
1894,1.6961435079574585,5500,440000,0.028114523738622665,1.2549803130328656,0.938817959278822
1895,1.6669832468032837,5600,448000,0.02358873002231121,1.055607283487916,0.9611853733658791
1894,1.6859519481658936,5700,456000,0.009648273698985577,1.2558648999780417,0.9723562560975552
1896,1.6496177911758423,5800,464000,0.005753810983151197,1.6352128707803786,0.9947191402316093
1895,1.7305110692977905,5900,472000,0.001996335107833147,1.0187937092036008,0.9910873891785741
1894,1.6769641637802124,6000,480000,0.014922978356480598,1.4156035002321006,0.962886244058609
1893,1.6748781204223633,6100,488000,0.013044486753642559,1.0672521747881547,0.9532080963253975
1894,1.6328837871551514,6200,496000,0.0135629428550601,1.6628068275749683,0.9706075917929411
1893,1.668947458267212,6300,504000,0.008043025620281696,1.0276496368460357,0.9818093180656433
1893,1.630258321762085,6400,512000,0.01356494426727295,1.5325306456536054,0.976657073944807
1893,1.6666429042816162,6500,520000,0.007244345732033253,0.9836203378625215,0.9708258472383022
1895,1.6179403066635132,6600,528000,0.015710577368736267,1.2656258934643119,0.9742759205400944
1896,1.6711403131484985,6700,536000,0.02686133049428463,1.2306856084614992,0.9368287995457649
1897,1.703345537185669,6800,544000,0.003215447533875704,0.8319627945777028,0.987796769477427
1898,1.7176430225372314,6900,552000,0.010424542240798473,0.9562966607511043,0.9638341963291168
1900,1.6566362380981445,7000,560000,0.005821585655212402,1.4746397042647004,0.9929862627759576
1900,1.651895523071289,7100,568000,0.014841308817267418,1.4741333082783967,0.9722529593855143
1902,1.725669503211975,7200,576000,0.019871428608894348,1.05828155442141,0.9459179267287254
1904,1.6858524084091187,7300,584000,0.009920567274093628,1.8364203453063965,0.9869962008669972
1905,1.744411826133728,7400,592000,0.012233608402311802,1.0655578586272896,0.9526829570531845
1907,1.7262394428253174,7500,600000,0.0363149419426918,1.405382183380425,0.8990085646510124
1907,1.6932275295257568,7600,608000,0.041320908814668655,1.4785432715900242,0.9465460404753685
1908,1.631143569946289,7700,616000,0.015669051557779312,1.5759017418138683,0.9806780684739351
1906,1.6877729892730713,7800,624000,0.029930543154478073,1.268938777782023,0.9488800279796124
1906,1.6800775527954102,7900,632000,0.003348605241626501,1.5140533556230367,0.9941608719527721
1907,1.7191245555877686,8000,640000,0.011747302487492561,0.8918682442978024,0.9558860622346401
1908,1.6637365818023682,8100,648000,0.03798255696892738,1.228027917444706,0.9493434950709343
1907,1.5819190740585327,8200,656000,0.018942905589938164,2.043298002704978,0.9635676890611649
1908,1.6130329370498657,8300,664000,0.009364387951791286,1.6425391465425492,0.9708348829299212
1908,1.6765581369400024,8400,672000,0.005578942131251097,1.292971815634519,0.9892756631597877
1909,1.685614824295044,8500,680000,0.010754665359854698,1.1489277565618976,0.9796022921800613
1909,1.5719387531280518,8600,688000,0.015935447067022324,2.3487819992005825,0.9756667651236057
1910,1.6218993663787842,8700,696000,0.021788496524095535,1.2510356603190302,0.9458628073334694
1909,1.5985201597213745,8800,704000,0.007633766625076532,1.590020363405347,0.984125355258584
1909,1.6867120265960693,8900,712000,0.011275905184447765,0.9840551315341145,0.9753112252801657
1909,1.6743545532226562,9000,720000,0.006764426827430725,1.0136222661938519,0.9882035683840513
1909,1.6603529453277588,9100,728000,0.017580565065145493,1.1956784914247691,0.9615173526108265
1908,1.6364917755126953,9200,736000,0.02097431942820549,1.1168499287217855,0.96056754514575
1909,1.6427972316741943,9300,744000,0.009818748570978642,1.2167880799621345,0.9767012801021338
1909,1.6568437814712524,9400,752000,0.008778328076004982,1.362674807710573,0.9805301558226347
1908,1.637956976890564,9500,760000,0.005604074336588383,1.3441448759287595,0.9886328661814332
1909,1.6288130283355713,9600,768000,0.015079816803336143,1.702048310637474,0.9764196425676346
1910,1.7281665802001953,9700,776000,0.08313284069299698,1.1072103843092918,0.7039772570133209
1912,1.6540822982788086,9800,784000,0.009718824177980423,1.036081620492041,0.9696021620184183
1911,1.7031643390655518,9900,792000,0.007676797918975353,1.2623670523986221,0.9663467705249786
1912,1.6543099880218506,10000,800000,0.06962718814611435,1.7879182863980532,0.8861582949757576
1912,1.6390327215194702,10100,808000,0.017551254481077194,1.3535032146144659,0.969991210848093
1913,1.6314716339111328,10200,816000,0.011910246685147285,1.4965740274637938,0.967397328466177
1915,1.5808297395706177,10300,824000,0.009783469140529633,1.431709732254967,0.9867827957496047
1915,1.5919291973114014,10400,832000,0.02543998323380947,1.2786304101347923,0.951342411339283
