explained_variance,total_timesteps,value_loss,fps,nupdates,policy_entropy
0.9847017228603363,8192000,0.030801132321357727,2051,102400,1.4201042652130127
0.9413135759532452,8200000,0.07870461046695709,2051,102500,1.3849502801895142
0.9910692488774657,8208000,0.017232432961463928,2051,102600,1.353506088256836
0.9685417525470257,8216000,0.05742161348462105,2051,102700,1.4889541864395142
0.9837542604655027,8224000,0.03177813068032265,2051,102800,1.3643693923950195
0.9585094563663006,8232000,0.05575307086110115,2051,102900,1.3339719772338867
0.9531961046159267,8240000,0.06419675052165985,2052,103000,1.4420979022979736
0.9683396071195602,8248000,0.04825722798705101,2052,103100,1.442281723022461
0.9815520625561476,8256000,0.04393112659454346,2052,103200,1.4377920627593994
0.9565484561026096,8264000,0.04897328466176987,2052,103300,1.4153311252593994
0.9664763398468494,8272000,0.09174615144729614,2052,103400,1.4277559518814087
0.9632512852549553,8280000,0.04462594538927078,2052,103500,1.5075390338897705
0.9635613821446896,8288000,0.08479278534650803,2052,103600,1.3270671367645264
0.9806732963770628,8296000,0.031449005007743835,2052,103700,1.5506374835968018
0.9791229013353586,8304000,0.02706555649638176,2052,103800,1.5376960039138794
0.9745123852044344,8312000,0.022345593199133873,2052,103900,1.4704731702804565
0.9751889649778605,8320000,0.041847698390483856,2052,104000,1.3783907890319824
0.9937674077227712,8328000,0.006886387709528208,2052,104100,1.501673936843872
0.9481025449931622,8336000,0.07027082145214081,2052,104200,1.3893871307373047
0.978494031354785,8344000,0.034688010811805725,2052,104300,1.4431698322296143
0.9475536942481995,8352000,0.0738459900021553,2052,104400,1.4073584079742432
0.9820223748683929,8360000,0.028584158048033714,2053,104500,1.5628687143325806
0.958493422716856,8368000,0.09135408699512482,2053,104600,1.4515941143035889
0.9587885364890099,8376000,0.06732379645109177,2053,104700,1.5124772787094116
0.9802864175289869,8384000,0.04562752693891525,2053,104800,1.5664803981781006
0.989225847646594,8392000,0.026521110907197,2053,104900,1.5165905952453613
0.9865253819152713,8400000,0.017736662179231644,2053,105000,1.55210280418396
0.9695200324058533,8408000,0.047288525849580765,2053,105100,1.4784128665924072
0.9627115651965141,8416000,0.04176482558250427,2053,105200,1.4627987146377563
0.9840561933815479,8424000,0.0372525155544281,2053,105300,1.4648487567901611
0.9848437774926424,8432000,0.02319246530532837,2053,105400,1.4307749271392822
0.9812230821698904,8440000,0.024615520611405373,2053,105500,1.4484481811523438
0.967560525983572,8448000,0.057026129215955734,2053,105600,1.5181658267974854
0.9797120373696089,8456000,0.025817956775426865,2053,105700,1.2794954776763916
0.9754702616482973,8464000,0.05178872495889664,2053,105800,1.4670902490615845
0.9312438815832138,8472000,0.1390221267938614,2053,105900,1.4892994165420532
0.9886899776756763,8480000,0.032538823783397675,2053,106000,1.3292642831802368
0.9463295452296734,8488000,0.07431642711162567,2054,106100,1.3882129192352295
0.9910981943830848,8496000,0.01191740483045578,2054,106200,1.423895001411438
0.9828114863485098,8504000,0.03374373912811279,2054,106300,1.4574006795883179
0.9728489443659782,8512000,0.07420927286148071,2054,106400,1.3004461526870728
0.9918777998536825,8520000,0.027587642893195152,2054,106500,1.4233810901641846
0.9726010710000992,8528000,0.030113432556390762,2054,106600,1.4403055906295776
0.9814313258975744,8536000,0.05314482003450394,2054,106700,1.3860092163085938
0.9554553963243961,8544000,0.06143057346343994,2054,106800,1.438113808631897
0.9955998123623431,8552000,0.019390199333429337,2054,106900,1.5153312683105469
0.988634635694325,8560000,0.027790123596787453,2054,107000,1.396620512008667
0.9557910412549973,8568000,0.08852405101060867,2054,107100,1.313692331314087
0.9899905826896429,8576000,0.018535902723670006,2054,107200,1.396925449371338
0.9906926527619362,8584000,0.01406300999224186,2054,107300,1.453792929649353
0.9832687359303236,8592000,0.04357246682047844,2054,107400,1.356339693069458
0.9902156163007021,8600000,0.023114781826734543,2054,107500,1.522672414779663
0.9863973939791322,8608000,0.02479371428489685,2054,107600,1.5232806205749512
0.9927815990522504,8616000,0.024312639608979225,2054,107700,1.369780421257019
0.9660807363688946,8624000,0.05572739243507385,2054,107800,1.490579605102539
0.9892964567989111,8632000,0.021410923451185226,2054,107900,1.5289525985717773
0.9900932097807527,8640000,0.023661309853196144,2055,108000,1.449506402015686
0.9862450426444411,8648000,0.02013874240219593,2055,108100,1.5538116693496704
0.9506085366010666,8656000,0.07884062826633453,2055,108200,1.4278911352157593
0.9821657575666904,8664000,0.025366490706801414,2055,108300,1.5205600261688232
