value_loss,explained_variance,total_timesteps,policy_entropy,nupdates,fps
3.498404566926183e-06,-1.865652084350586,4568000,2.8903656005859375,57100,1732
3.6781893868464977e-06,-1.8019740581512451,4576000,2.890366792678833,57200,1732
5.171214525034884e-06,-0.6448309421539307,4584000,2.8903651237487793,57300,1732
2.4551848127885023e-06,-0.5804935693740845,4592000,2.8903636932373047,57400,1732
1.9511098798830062e-06,-0.2927570343017578,4600000,2.890364170074463,57500,1732
4.390417871036334e-06,-2.252490997314453,4608000,2.8903660774230957,57600,1732
6.225254765013233e-06,-1.1420657634735107,4616000,2.8903679847717285,57700,1732
3.6494088817562442e-06,-0.2805701494216919,4624000,2.8903660774230957,57800,1732
3.0965252335590776e-06,-0.13072776794433594,4632000,2.8903660774230957,57900,1732
3.3160881685034838e-06,-2.1464381217956543,4640000,2.8903656005859375,58000,1732
4.400093985168496e-06,-1.425123691558838,4648000,2.8903660774230957,58100,1732
4.398188139020931e-06,-1.3662376403808594,4656000,2.890366315841675,58200,1732
2.1859457319806097e-06,-0.07960093021392822,4664000,2.8903656005859375,58300,1732
7.831864422769286e-06,-0.8687283992767334,4672000,2.890366315841675,58400,1732
3.163827159369248e-06,-0.7657780647277832,4680000,2.890366315841675,58500,1732
3.9909054976305924e-06,-1.0332179069519043,4688000,2.8903660774230957,58600,1733
2.5752954115887405e-06,-1.553302526473999,4696000,2.8903656005859375,58700,1733
3.893145276379073e-06,-0.808601975440979,4704000,2.890367031097412,58800,1733
6.59490888210712e-06,-1.2501766681671143,4712000,2.890367269515991,58900,1733
4.084486590727465e-06,-0.09298872947692871,4720000,2.8903651237487793,59000,1733
5.460166903503705e-06,-1.7606704235076904,4728000,2.8903541564941406,59100,1733
5.990653789922362e-06,-0.8170362710952759,4736000,2.8903567790985107,59200,1733
2.966166448459262e-06,-0.7082532644271851,4744000,2.890359401702881,59300,1733
3.157095761707751e-06,-0.8884366750717163,4752000,2.8903629779815674,59400,1733
4.107282620680053e-06,-0.5971987247467041,4760000,2.8903632164001465,59500,1733
2.5473070763837313e-06,-0.8559410572052002,4768000,2.8903632164001465,59600,1733
5.827571385452757e-06,-0.5410263538360596,4776000,2.890364170074463,59700,1733
1.956890628207475e-06,-2.680083990097046,4784000,2.8903636932373047,59800,1733
2.7001101443602238e-06,-1.73640775680542,4792000,2.8903632164001465,59900,1732
