mean 100 episode reward,% time spent exploring,steps,episodes
5.8,1,2415538,10400
6.2,1,2442330,10500
6.2,1,2468323,10600
5.6,1,2492558,10700
6.6,1,2519784,10800
6.0,1,2546509,10900
6.8,1,2574554,11000
5.8,1,2600365,11100
5.4,1,2624120,11200
5.8,1,2649207,11300
6.2,1,2676122,11400
5.6,1,2701082,11500
5.2,1,2724772,11600
5.3,1,2747945,11700
5.5,1,2773117,11800
5.2,1,2796212,11900
5.1,1,2820990,12000
5.4,1,2846578,12100
5.3,1,2871397,12200
5.7,1,2897102,12300
5.7,1,2922867,12400
5.7,1,2949323,12500
5.5,1,2972848,12600
5.7,1,3000023,12700
5.9,1,3024704,12800
4.7,1,3046907,12900
4.8,1,3068848,13000
6.2,1,3094710,13100
5.2,1,3118036,13200
5.5,1,3140606,13300
5.7,1,3164885,13400
5.2,1,3187079,13500
5.6,1,3208749,13600
4.9,1,3229669,13700
5.8,1,3255370,13800
5.1,1,3277436,13900
5.9,1,3303564,14000
5.8,1,3328432,14100
5.6,1,3352893,14200
4.9,1,3375227,14300
5.6,1,3400154,14400
5.3,1,3423035,14500
5.2,1,3445888,14600
4.6,1,3467293,14700
4.6,1,3489462,14800
6.1,1,3515848,14900
5.8,1,3539364,15000
5.4,1,3562287,15100
5.8,1,3588184,15200
4.6,1,3611068,15300
5.2,1,3634056,15400
5.0,1,3656645,15500
5.3,1,3679005,15600
5.7,1,3704542,15700
4.6,1,3725568,15800
5.8,1,3751736,15900
4.6,1,3773190,16000
5.1,1,3798341,16100
4.9,1,3822196,16200
5.6,1,3847278,16300
4.6,1,3870074,16400
4.8,1,3894097,16500
5.3,1,3919008,16600
4.6,1,3942690,16700
4.7,1,3965157,16800
5.0,1,3988231,16900
5.4,1,4012400,17000
5.3,1,4034991,17100
6.4,1,4062291,17200
5.8,1,4085816,17300
6.4,1,4113660,17400
6.0,1,4137162,17500
5.9,1,4163159,17600
6.1,1,4188729,17700
5.7,1,4211797,17800
6.7,1,4238294,17900
6.0,1,4263038,18000
6.6,1,4289471,18100
6.3,1,4314882,18200
6.4,1,4339898,18300
5.6,1,4363724,18400
5.7,1,4387405,18500
6.2,1,4412417,18600
5.8,1,4436038,18700
4.5,1,4455960,18800
5.8,1,4479724,18900
5.2,1,4500784,19000
7.0,1,4528678,19100
6.0,1,4553407,19200
5.3,1,4575917,19300
6.0,1,4599951,19400
5.2,1,4622059,19500
5.2,1,4644057,19600
6.1,1,4667928,19700
5.9,1,4691316,19800
5.7,1,4716636,19900
5.6,1,4740168,20000
4.9,1,4761113,20100
4.4,1,4781896,20200
5.4,1,4806438,20300
5.1,1,4828772,20400
4.8,1,4850781,20500
5.7,1,4874385,20600
5.0,1,4899258,20700
4.8,1,4921364,20800
5.6,1,4943171,20900
5.6,1,4965768,21000
5.4,1,4990189,21100
4.7,1,5011355,21200
5.7,1,5035309,21300
5.2,1,5059069,21400
5.0,1,5079678,21500
5.4,1,5103168,21600
5.1,1,5125168,21700
5.0,1,5147948,21800
4.8,1,5168357,21900
5.3,1,5190941,22000
4.6,1,5212480,22100
4.9,1,5236202,22200
5.6,1,5260568,22300
5.7,1,5283665,22400
5.5,1,5308101,22500
4.6,1,5329254,22600
5.0,1,5354149,22700
4.4,1,5376418,22800
4.2,1,5399308,22900
5.0,1,5421137,23000
4.6,1,5442176,23100
5.3,1,5465817,23200
5.0,1,5489562,23300
4.7,1,5512214,23400
5.6,1,5537329,23500
5.0,1,5559688,23600
4.9,1,5582076,23700
5.2,1,5605829,23800
5.0,1,5626889,23900
4.8,1,5648433,24000
5.1,1,5671073,24100
5.6,1,5696243,24200
5.0,1,5719788,24300
4.8,1,5743376,24400
4.8,1,5765612,24500
5.5,1,5790515,24600
4.9,1,5812783,24700
5.4,1,5836253,24800
5.1,1,5859943,24900
5.0,1,5883801,25000
4.4,1,5904921,25100
4.6,1,5925559,25200
5.7,1,5948923,25300
4.5,1,5970582,25400
5.5,1,5995438,25500
5.0,1,6017586,25600
4.9,1,6041478,25700
5.2,1,6064754,25800
4.3,1,6084633,25900
5.5,1,6110534,26000
4.9,1,6134138,26100
4.9,1,6156694,26200
4.4,1,6177622,26300
4.8,1,6199651,26400
5.1,1,6222494,26500
5.8,1,6248436,26600
4.9,1,6271683,26700
5.0,1,6294637,26800
4.6,1,6317508,26900
4.7,1,6339771,27000
4.2,1,6361066,27100
4.6,1,6383278,27200
4.4,1,6404652,27300
4.0,1,6424965,27400
4.8,1,6447939,27500
4.4,1,6468978,27600
4.5,1,6490088,27700
4.7,1,6513169,27800
4.5,1,6534091,27900
3.9,1,6555185,28000
4.0,1,6574863,28100
4.1,1,6593697,28200
4.1,1,6612146,28300
4.8,1,6634032,28400
4.3,1,6653847,28500
4.7,1,6674339,28600
4.9,1,6696591,28700
5.3,1,6719898,28800
4.8,1,6741201,28900
5.1,1,6764334,29000
5.5,1,6788242,29100
5.2,1,6811431,29200
5.2,1,6834001,29300
4.9,1,6855860,29400
4.8,1,6878430,29500
5.4,1,6901560,29600
5.1,1,6924044,29700
4.8,1,6946834,29800
5.3,1,6970262,29900
4.4,1,6991235,30000
4.4,1,7013316,30100
4.4,1,7035933,30200
4.9,1,7058167,30300
4.9,1,7083074,30400
4.4,1,7103999,30500
4.2,1,7125803,30600
4.8,1,7147817,30700
4.3,1,7170463,30800
4.2,1,7191848,30900
4.3,1,7213849,31000
4.0,1,7234145,31100
4.0,1,7255547,31200
4.2,1,7276992,31300
4.8,1,7297736,31400
4.8,1,7318891,31500
5.0,1,7342540,31600
5.0,1,7364464,31700
4.0,1,7384032,31800
4.3,1,7404349,31900
4.7,1,7425951,32000
4.2,1,7445033,32100
5.2,1,7467642,32200
5.4,1,7491360,32300
4.2,1,7511513,32400
4.3,1,7532623,32500
4.6,1,7555387,32600
