nupdates,explained_variance,value_loss,fps,policy_entropy,total_timesteps,avg reward
47800,0.9289810061454773,11522.6064453125,1930,0.0,3824000,3867.961978149414
47900,0.3045211434364319,11973.2392578125,1930,0.0,3832000,699.5596527099609
48000,0.8774519115686417,51336.5078125,1930,0.0,3840000,-9328.892303466797
48100,0.9116455614566803,3195.83935546875,1930,0.0,3848000,-1899.0218063354491
48200,0.09154260158538818,784158.4375,1930,0.0,3856000,-4620.491442871094
48300,0.8805496618151665,38610.1015625,1930,0.0,3864000,6702.611535644532
48400,0.8986215889453888,35715.4453125,1930,0.0,3872000,-6594.409857177734
48500,-0.4390084743499756,25516.75,1930,0.0,3880000,-1511.2486068725586
48600,0.6627227067947388,54553.51171875,1930,0.0,3888000,-7059.204968261719
48700,-0.12507033348083496,103636.890625,1930,0.0,3896000,2377.3415817260743
48800,0.949788399040699,388.97662353515625,1930,0.0,3904000,715.3065475463867
48900,-2.365546941757202,70723.828125,1930,0.0,3912000,3639.7072662353517
49000,0.7222634553909302,85675.1875,1930,0.0,3920000,8221.023083496093
49100,0.9331914409995079,20435.71484375,1930,0.0,3928000,-4826.775329589844
49200,0.7547499537467957,43229.1171875,1930,0.0,3936000,-5674.067120361328
49300,-0.19667494297027588,223258.15625,1930,0.0,3944000,-2881.1610733032226
49400,0.387137770652771,36176.26953125,1930,0.0,3952000,1317.3188285827637
49500,0.07825076580047607,394569.3125,1930,0.0,3960000,3631.5302551269533
49600,0.6008431017398834,124115.734375,1930,0.0,3968000,6796.3009582519535
49700,-0.14083445072174072,378091.125,1930,0.0,3976000,3705.6145782470703
49800,-0.17036080360412598,789012.375,1930,0.0,3984000,-7551.668072509766
49900,0.9346220642328262,34601.20703125,1930,0.0,3992000,-7672.44067993164
50000,0.870994046330452,56124.35546875,1931,0.0,4000000,-7843.898229980468
50100,0.7724691033363342,6185.10791015625,1931,0.0,4008000,2556.352703857422
50200,-0.026825547218322754,36843.3515625,1931,0.0,4016000,1923.634750366211
