total_timesteps,policy_entropy,learning rate,explained_variance,nupdates,fps,avg reward,value_loss
152000,1.7878583669662476,0.0007,0.46157580614089966,1900,1911,-1.6166726693511009,0.008534038439393044
160000,1.7830806970596313,0.0007,0.1490945816040039,2000,1918,-1.5407597422599792,0.028248269110918045
168000,1.7628713846206665,0.0007,0.20018088817596436,2100,1923,-3.035432681441307,0.057449501007795334
176000,1.778679609298706,0.0007,0.32404625415802,2200,1928,-1.4204508930444717,0.03408733382821083
184000,1.7718493938446045,0.0007,0.40733611583709717,2300,1925,-1.4997933432459831,0.0066453940235078335
192000,1.7611215114593506,0.0007,0.6773258149623871,2400,1930,-1.7324356079101562,0.007312196306884289
200000,1.7786293029785156,0.0007,0.4169429540634155,2500,1937,-1.7585095450282098,0.05103592947125435
208000,1.786895990371704,0.0007,0.29419052600860596,2600,1946,-1.4526770263910294,0.006215655244886875
216000,1.7760471105575562,0.0007,0.4625313878059387,2700,1951,-1.7492648407816886,0.03373913839459419
224000,1.7812614440917969,0.0007,0.38976478576660156,2800,1949,-1.500431327521801,0.028760399669408798
232000,1.7607593536376953,0.0007,0.40558284521102905,2900,1951,-1.9463508486747743,0.020564470440149307
240000,1.778017282485962,0.0007,0.48426371812820435,3000,1944,-1.8278537660837173,0.02865045890212059
248000,1.7748197317123413,0.0007,0.7661772966384888,3100,1943,-1.8111907690763474,0.005572029389441013
256000,1.7743810415267944,0.0007,0.5891012251377106,3200,1939,-1.850569623708725,0.020783282816410065
264000,1.7814115285873413,0.0007,0.6360430419445038,3300,1938,-2.066893072426319,0.00943503063172102
272000,1.7863013744354248,0.0007,0.6630503833293915,3400,1939,-1.7800910532474519,0.010190467350184917
280000,1.7754119634628296,0.0007,0.7505926042795181,3500,1938,-2.486726215481758,0.01223278883844614
288000,1.7908014059066772,0.0007,0.7353738248348236,3600,1941,-1.5155151456594467,0.010602831840515137
296000,1.7891887426376343,0.0007,0.6948612630367279,3700,1940,-1.1124301180243492,0.011200564913451672
304000,1.7859268188476562,0.0007,0.5912870764732361,3800,1942,-1.8925114199519157,0.010102814063429832
312000,1.7857286930084229,0.0007,0.7657008916139603,3900,1942,-1.6301571369171142,0.009335697628557682
320000,1.7811005115509033,0.0007,0.5729425251483917,4000,1940,-1.8857712611556052,0.02281886897981167
328000,1.7842336893081665,0.0007,0.8367484211921692,4100,1942,-1.727723790705204,0.0034726914018392563
336000,1.7874788045883179,0.0007,0.699159175157547,4200,1942,-1.7469894245266915,0.03612779453396797
344000,1.7827026844024658,0.0007,0.9231284111738205,4300,1944,-1.8823996521532536,0.0049617053009569645
352000,1.782616376876831,0.0007,0.5819288492202759,4400,1944,-2.154144048690796,0.04908466711640358
360000,1.781667709350586,0.0007,0.9455896019935608,4500,1941,-2.5439065620303154,0.006338025443255901
368000,1.7713199853897095,0.0007,0.8514722585678101,4600,1938,-2.5934557199478148,0.009173162281513214
376000,1.7722082138061523,0.0007,0.7950244694948196,4700,1935,-2.115786702930927,0.010047252289950848
384000,1.7689470052719116,0.0007,0.9303422495722771,4800,1933,-2.439971722662449,0.0035792230628430843
392000,1.7677415609359741,0.0007,0.8458184450864792,4900,1930,-2.5282425791025163,0.004302980378270149
400000,1.7744401693344116,0.0007,0.8310728222131729,5000,1930,-2.5167863607406615,0.007726836949586868
408000,1.7716633081436157,0.0007,0.5867993533611298,5100,1929,-1.7341214373707772,0.01208791695535183
416000,1.7790558338165283,0.0007,0.9169246479868889,5200,1932,-1.2754908919334411,0.00681903725489974
424000,1.7656421661376953,0.0007,0.8486469388008118,5300,1933,-2.104231273382902,0.018572034314274788
432000,1.7727264165878296,0.0007,0.9191989600658417,5400,1935,-1.4050069183111191,0.004948590882122517
440000,1.769296646118164,0.0007,0.5521149635314941,5500,1936,-2.2015518113970756,0.02881021425127983
448000,1.761111855506897,0.0007,0.943845234811306,5600,1938,-2.4963819444179536,0.0034809287171810865
