Bayesian
Episode Number, Mean Reward, Total Steps, e
5700,23.77,137205,0.7383880000021588
5800,25.96,139801,0.730600000002223
5900,19.77,141778,0.724669000002272
6000,25.02,144280,0.7171630000023339
6100,22.61,146541,0.7103800000023899
6200,21.87,148728,0.703819000002444
6300,24.93,151221,0.6963400000025057
6400,23.01,153522,0.6894370000025627
6500,24.67,155989,0.6820360000026238
6600,25.94,158583,0.674254000002688
6700,24.91,161074,0.6667810000027496
6800,26.12,163686,0.6589450000028143
6900,25.37,166223,0.6513340000028771
7000,24.45,168668,0.6439990000029376
7100,26.24,171292,0.6361270000030026
7200,26.62,173954,0.6281410000030685
7300,28.76,176830,0.6195130000031397
7400,28.02,179632,0.611107000003209
7500,31.02,182734,0.6018010000032858
7600,31.81,185915,0.5922580000033646
7700,34.9,189405,0.581788000003451
7800,36.5,193055,0.5708380000035413
7900,40.28,197083,0.5587540000036411
8000,42.6,201343,0.5459740000037465
8100,44.14,205757,0.5327320000038558
8200,47.59,210516,0.5184550000039736
8300,47.12,215228,0.5043190000040902
8400,51.46,220374,0.48888100000421764
8500,54.77,225851,0.4724500000043532
8600,53.35,231186,0.4564450000044853
8700,54.79,236665,0.4400080000046209
8800,55.29,242194,0.4234210000047578
8900,58.29,248023,0.4059340000049021
9000,57.9,253813,0.38856400000504543
9100,61.59,259972,0.3700870000051979
9200,56.77,265649,0.35305600000533843
9300,61.65,271814,0.33456100000549105
9400,63.3,278144,0.31557100000564775
9500,64.95,284639,0.29608600000580854
9600,67.07,291346,0.27596500000597457
9700,60.94,297440,0.25768300000612543
9800,64.26,303866,0.23840500000617723
9900,61.6,310026,0.21992500000615875


Random

100,23.15,2327
200,20.71,4398
300,19.99,6397
400,20.03,8400
500,22.51,10651
600,24.56,13107
700,21.59,15266
800,19.95,17261
900,23.44,19605
1000,22.97,21902
1100,22.19,24121
1200,21.16,26237
1300,22.72,28509
1400,21.23,30632
1500,23.17,32949
1600,23.03,35252
1700,20.79,37331
1800,21.03,39434
1900,20.87,41521
2000,22.83,43804
2100,23.5,46154
2200,22.12,48366
2300,21.4,50506
2400,20.02,52508
2500,22.86,54794
2600,25.63,57357
2700,20.51,59408
2800,21.67,61575
2900,20.97,63672
3000,22.36,65908
3100,26.19,68527
3200,22.47,70774
3300,21.57,72931
3400,21.07,75038
3500,21.97,77235
3600,21.31,79366
3700,24.0,81766
3800,21.74,83940
3900,23.86,86326
4000,22.41,88567
4100,22.96,90863
4200,22.65,93128
4300,18.5,94978
4400,24.02,97380
4500,22.32,99612
4600,20.67,101679
4700,23.61,104040
4800,20.21,106061
4900,22.83,108344
5000,20.9,110434
5100,23.27,112761
5200,20.39,114800
5300,25.06,117306
5400,22.41,119547
5500,22.57,121804
5600,20.58,123862
5700,23.94,126256
5800,23.52,128608
5900,21.41,130749
6000,24.04,133153
6100,22.13,135366
6200,23.6,137726
6300,23.71,140097
6400,23.61,142458
6500,21.6,144618
6600,23.33,146951
6700,25.15,149466
6800,21.08,151574
6900,22.97,153871
7000,21.49,156020
7100,23.34,158354
