fps,explained_variance,nupdates,value_loss,total_timesteps,policy_entropy,learning rate,epsilonValue,avg reward,policy_loss
1842,-0.24605441093444824,7600,9.16194221645128e-06,608000,1.098564863204956,0.001,0.0007272674363255627,-0.0016284903522318928,-0.001093984697945416
1844,-0.5804660320281982,7700,8.791639629635029e-06,616000,1.0985606908798218,0.001,0.0007272674363255627,-0.00014397126906260383,0.0013935163151472807
1840,-0.2469085454940796,7800,6.5172680479008704e-06,624000,1.0985157489776611,0.001,0.0007272674363255627,0.00957930504810065,-7.820302562322468e-05
1840,-1.7106447219848633,7900,6.8237468440202065e-06,632000,1.0985957384109497,0.001,0.0007272674363255627,0.004306765117507894,0.0008397699566558003
1841,-0.1789860725402832,8000,6.0772918004659005e-06,640000,1.098575234413147,0.001,0.0007272674363255627,0.0030498626038024668,0.001080647693015635
1840,-1.4817531108856201,8100,1.133744626713451e-05,648000,1.0985662937164307,0.001,0.0007272674363255627,0.00035141839762218294,0.00025184720288962126
1838,0.19101357460021973,8200,6.182518063724274e-06,656000,1.0985692739486694,0.001,0.0007272674363255627,-0.002227660959943023,0.0018563267076388001
1839,-0.8870726823806763,8300,1.3325241525308229e-05,664000,1.0985547304153442,0.001,0.0007272674363255627,0.002780742592221941,-0.00035460339859128
1841,-1.3505735397338867,8400,5.46104183740681e-06,672000,1.098565697669983,0.001,0.0007272674363255627,0.0062670232728123665,0.00015834032092243433
1841,-0.27585268020629883,8500,5.89842738918378e-06,680000,1.098580002784729,0.001,0.0007272674363255627,-0.00047810135038162116,0.0006848849589005113
1839,-0.5081446170806885,8600,6.9729489950987045e-06,688000,1.0985947847366333,0.001,0.0007272674363255627,-0.003209533522613128,-0.00019169057486578822
1840,-1.3026645183563232,8700,8.120699931168929e-06,696000,1.0985898971557617,0.001,0.0007272674363255627,5.8356129380854326e-05,-0.001056920038536191
1842,-0.6039503812789917,8800,5.927347501710756e-06,704000,1.0986058712005615,0.001,0.0007272674363255627,0.0006042269048634807,0.0011151164071634412
1843,-1.6314404010772705,8900,1.010374126053648e-05,712000,1.0986032485961914,0.001,0.0007272674363255627,-0.001494503888534382,0.0009567119413986802
1841,-0.705508828163147,9000,1.3335504263523035e-05,720000,1.0985703468322754,0.001,0.0007272674363255627,0.0025906191026479064,-0.0008126851171255112
1842,-1.2893638610839844,9100,1.1889816960319877e-05,728000,1.098577857017517,0.001,0.0007272674363255627,0.0026367062903773332,-0.0014304795768111944
