nupdates,policy_entropy,total_timesteps,fps,explained_variance,value_loss
36400,2.8903534412384033,2912000,1723,-1.0365922451019287,5.420281468104804e-06
36500,2.8903512954711914,2920000,1723,-1.503108263015747,6.779124760214472e-06
36600,2.890354871749878,2928000,1723,-1.6372044086456299,7.0219257395365275e-06
36700,2.8903579711914062,2936000,1723,-1.129455804824829,8.412030183535535e-06
36800,2.8903591632843018,2944000,1723,-0.6275839805603027,5.295134542393498e-06
36900,2.8903603553771973,2952000,1723,-0.6312007904052734,5.707965556212002e-06
37000,2.89036226272583,2960000,1723,-1.8194475173950195,6.9713228185719345e-06
37100,2.8903629779815674,2968000,1723,-0.49755382537841797,9.309909728472121e-06
37200,2.8903613090515137,2976000,1723,-0.7813328504562378,6.0568445405806415e-06
37300,2.890362501144409,2984000,1723,-0.2794290781021118,3.3216692827409133e-06
37400,2.89036226272583,2992000,1723,-1.8371169567108154,3.469295961622265e-06
37500,2.890363931655884,3000000,1723,-0.967239499092102,6.073928489058744e-06
37600,2.8903632164001465,3008000,1723,-0.9321792125701904,1.3805687558487989e-05
37700,2.890359878540039,3016000,1723,-0.581498384475708,6.81950632497319e-06
37800,2.8903567790985107,3024000,1723,-1.2621219158172607,5.1721940508286934e-06
37900,2.890355348587036,3032000,1723,-0.8140029907226562,1.1114596418337896e-05
38000,2.8903563022613525,3040000,1723,-0.5408728122711182,5.5935734053491615e-06
38100,2.890352487564087,3048000,1723,-1.5223164558410645,7.977330824360251e-06
38200,2.8903517723083496,3056000,1723,-2.265772581100464,4.696193173003849e-06
38300,2.8903560638427734,3064000,1723,-0.65879225730896,6.618207407882437e-06
38400,2.890357732772827,3072000,1723,-0.9456928968429565,9.675090950622689e-06
38500,2.8903584480285645,3080000,1723,-1.526726245880127,1.100703411793802e-05
38600,2.8903579711914062,3088000,1722,-0.9065375328063965,1.1067098057537805e-05
38700,2.8903605937957764,3096000,1722,-0.6888880729675293,5.227565907262033e-06
38800,2.8903591632843018,3104000,1722,-0.9307945966720581,9.405109267390799e-06
38900,2.890359401702881,3112000,1722,-1.365659236907959,9.298108125221916e-06
39000,2.8903613090515137,3120000,1722,-0.4346311092376709,3.2653369999025017e-06
39100,2.8903627395629883,3128000,1722,-0.7276580333709717,6.845637017249828e-06
39200,2.8903629779815674,3136000,1722,-0.9798110723495483,4.687800810643239e-06
39300,2.8903651237487793,3144000,1722,-1.1067264080047607,6.306505383690819e-06
39400,2.8903648853302,3152000,1722,-0.7901031970977783,6.241522441996494e-06
39500,2.890364170074463,3160000,1722,-3.8800435066223145,6.708070486638462e-06
39600,2.8903627395629883,3168000,1722,-1.249833106994629,4.81752613268327e-06
39700,2.8903636932373047,3176000,1723,-0.898972749710083,7.319903488678392e-06
39800,2.890343189239502,3184000,1723,-0.5029783248901367,7.451711098838132e-06
39900,2.890347480773926,3192000,1723,-0.3257145881652832,8.328360308951233e-06
40000,2.890352249145508,3200000,1723,-0.31547534465789795,5.190230240259552e-06
40100,2.8903536796569824,3208000,1723,-0.19388866424560547,4.080449343746295e-06
40200,2.8903541564941406,3216000,1723,-0.9394276142120361,5.0546659622341394e-06
40300,2.890354633331299,3224000,1723,-0.7429356575012207,4.5138003770262e-06
40400,2.890355348587036,3232000,1723,-1.3672339916229248,8.66242862684885e-06
40500,2.8903567790985107,3240000,1723,-0.1458292007446289,4.846526280744001e-06
40600,2.890359401702881,3248000,1723,-1.0070931911468506,3.987163836427499e-06
40700,2.8903605937957764,3256000,1723,0.16753095388412476,5.352464086172404e-06
40800,2.8903636932373047,3264000,1723,-1.1268105506896973,6.9782718128408305e-06
40900,2.8903627395629883,3272000,1723,-0.398479700088501,5.0245339480170514e-06
41000,2.8903615474700928,3280000,1723,-1.063582181930542,3.584227670216933e-06
41100,2.890357494354248,3288000,1723,-0.6750835180282593,1.33723706312594e-05
41200,2.8903603553771973,3296000,1723,-0.29478156566619873,6.708875389449531e-06
41300,2.8903613090515137,3304000,1723,-0.2240999937057495,3.966307758673793e-06
41400,2.89036226272583,3312000,1724,-0.5008295774459839,3.6970827750337776e-06
41500,2.8903636932373047,3320000,1724,-1.2172014713287354,5.806536591990152e-06
41600,2.8903632164001465,3328000,1724,-0.5115476846694946,1.0426941116747912e-05
41700,2.8903632164001465,3336000,1724,-0.655048131942749,7.110867500159657e-06
41800,2.890364408493042,3344000,1725,-0.3365429639816284,7.895691851445008e-06
41900,2.8903651237487793,3352000,1725,-0.3613940477371216,7.397001354547683e-06
42000,2.8903660774230957,3360000,1725,-0.5340956449508667,1.3098497220198624e-05
42100,2.8903651237487793,3368000,1725,-2.1060352325439453,8.494267603964545e-06
42200,2.8903648853302,3376000,1725,-1.3714396953582764,7.372549589490518e-06
42300,2.8903651237487793,3384000,1725,-0.4918280839920044,3.342246145621175e-06
42400,2.8903660774230957,3392000,1725,-0.8267351388931274,4.744278157886583e-06
42500,2.8903660774230957,3400000,1726,-0.9845882654190063,6.858283995825332e-06
42600,2.8903653621673584,3408000,1726,-0.7552822828292847,4.175521553406725e-06
42700,2.890367031097412,3416000,1726,-0.37979447841644287,7.267914952535648e-06
42800,2.8903660774230957,3424000,1726,-0.09976327419281006,6.876385214127367e-06
42900,2.890366315841675,3432000,1726,-0.36250507831573486,6.764064892195165e-06
43000,2.8903651237487793,3440000,1725,-0.5403968095779419,1.3061694517091382e-05
43100,2.890364170074463,3448000,1725,-0.5534180402755737,6.8310282586026005e-06
43200,2.8903634548187256,3456000,1725,-0.6823004484176636,5.6025191952358e-06
43300,2.89036226272583,3464000,1725,-0.6580365896224976,5.75494414079003e-06
43400,2.8903615474700928,3472000,1726,-0.16076147556304932,6.359155122481752e-06
43500,2.890361785888672,3480000,1726,0.010664939880371094,4.6330178520292975e-06
43600,2.89036226272583,3488000,1726,-0.037304043769836426,1.2846672689192928e-05
43700,2.8903589248657227,3496000,1726,-0.5501114130020142,2.2822353002993623e-06
43800,2.8903603553771973,3504000,1726,-0.4785158634185791,8.007676115084905e-06
43900,2.8903591632843018,3512000,1726,-0.19100546836853027,4.476875801628921e-06
44000,2.890359401702881,3520000,1727,-0.5731929540634155,6.54646737530129e-06
44100,2.89036226272583,3528000,1727,-0.5125365257263184,6.882445632072631e-06
44200,2.89036226272583,3536000,1727,-0.5614931583404541,4.82039376947796e-06
44300,2.89036226272583,3544000,1727,-4.2308454513549805,3.4370987123111263e-06
44400,2.89035964012146,3552000,1727,-0.6776914596557617,2.290489192091627e-06
44500,2.89036226272583,3560000,1727,-0.9028502702713013,3.2430987175757764e-06
44600,2.8903636932373047,3568000,1727,-1.1706013679504395,7.483929039153736e-06
44700,2.8903651237487793,3576000,1727,-0.295501708984375,5.6457947721355595e-06
44800,2.890362501144409,3584000,1726,-0.3451651334762573,2.5343829292978626e-06
44900,2.890364408493042,3592000,1726,-1.6899547576904297,3.635401981227915e-06
45000,2.8903656005859375,3600000,1726,-0.8838241100311279,6.402750386769185e-06
45100,2.8903636932373047,3608000,1726,-0.13370203971862793,3.0742223771085264e-06
45200,2.890364170074463,3616000,1726,-1.0847339630126953,4.619870196620468e-06
45300,2.8903656005859375,3624000,1726,-0.5925447940826416,3.5248872336524073e-06
45400,2.8903651237487793,3632000,1726,-1.0544798374176025,4.670261205319548e-06
45500,2.890364170074463,3640000,1726,-1.844318151473999,1.1993675798294134e-05
45600,2.8903660774230957,3648000,1726,-0.21245503425598145,6.6974753281101584e-06
45700,2.8903660774230957,3656000,1726,-0.3015110492706299,6.139723154774401e-06
45800,2.890364170074463,3664000,1726,-2.612511157989502,7.760050721117295e-06
45900,2.890364408493042,3672000,1726,-0.08768713474273682,2.0924937871313887e-06
46000,2.8903660774230957,3680000,1726,-0.2955636978149414,7.733086022199132e-06
46100,2.8903660774230957,3688000,1726,-1.0761384963989258,3.247935410399805e-06
46200,2.8903658390045166,3696000,1726,-0.9468894004821777,9.116579349210951e-06
46300,2.890364170074463,3704000,1725,-1.3440093994140625,7.105335043888772e-06
46400,2.8903656005859375,3712000,1725,-0.38822150230407715,7.963186362758279e-06
46500,2.890367031097412,3720000,1725,-0.7343485355377197,3.439453621467692e-06
46600,2.8903660774230957,3728000,1725,-0.2526512145996094,4.0717368392506614e-06
46700,2.8903656005859375,3736000,1725,-0.4535456895828247,4.7359667405544315e-06
46800,2.8903536796569824,3744000,1725,-0.2490004301071167,7.4950498856196646e-06
46900,2.8903563022613525,3752000,1725,-0.38026726245880127,6.450454293371877e-06
47000,2.8903584480285645,3760000,1725,-0.6315895318984985,1.0443092833156697e-05
47100,2.890359401702881,3768000,1725,-0.9256013631820679,3.497857051115716e-06
47200,2.890360116958618,3776000,1725,-2.375185489654541,5.6956328080559615e-06
47300,2.890362501144409,3784000,1725,-1.546968698501587,5.86051237405627e-06
47400,2.890364646911621,3792000,1725,-0.6963772773742676,7.2803327384463046e-06
47500,2.8903656005859375,3800000,1725,-1.6189148426055908,4.332464413892012e-06
47600,2.8903627395629883,3808000,1725,-2.0885009765625,3.1743863928568317e-06
47700,2.8903632164001465,3816000,1725,-0.2930067777633667,5.641303232550854e-06
47800,2.8903636932373047,3824000,1725,-1.3989622592926025,6.384843345585978e-06
47900,2.8903632164001465,3832000,1724,-0.3458845615386963,4.945110958942678e-06
48000,2.890364408493042,3840000,1724,-0.6129611730575562,3.724871248778072e-06
48100,2.8903648853302,3848000,1724,-0.6378606557846069,3.2206294235948008e-06
48200,2.8903656005859375,3856000,1724,-0.4207385778427124,4.9095970098278485e-06
48300,2.8903656005859375,3864000,1725,-1.158348560333252,5.557077201956417e-06
48400,2.8903660774230957,3872000,1725,-0.2859610319137573,1.0543200914980844e-05
48500,2.8903648853302,3880000,1725,-1.2173871994018555,4.889725914836163e-06
48600,2.8903443813323975,3888000,1725,-0.5867905616760254,6.991690952418139e-06
48700,2.890349864959717,3896000,1725,-1.5665075778961182,5.224592314334586e-06
48800,2.890352725982666,3904000,1725,-1.7744457721710205,4.111529960937332e-06
48900,2.8903536796569824,3912000,1725,-0.38111352920532227,5.349279490474146e-06
49000,2.8903565406799316,3920000,1725,-1.906639575958252,3.615785772126401e-06
49100,2.89035964012146,3928000,1725,-1.142498254776001,4.061777417518897e-06
49200,2.8903613090515137,3936000,1725,-0.9289380311965942,4.167109182162676e-06
49300,2.890362501144409,3944000,1725,-1.5717313289642334,4.906864887743723e-06
49400,2.8903632164001465,3952000,1725,-2.2034060955047607,3.473693823252688e-06
49500,2.8903653621673584,3960000,1725,-0.5790996551513672,3.7938516470603645e-06
49600,2.8903675079345703,3968000,1725,-1.2900426387786865,3.864442533085821e-06
49700,2.8903679847717285,3976000,1725,-0.7882192134857178,8.241921023000032e-06
49800,2.8903679847717285,3984000,1724,-1.2560772895812988,6.178620424179826e-06
49900,2.890368938446045,3992000,1724,-0.555739164352417,7.87501903687371e-06
50000,2.890369415283203,4000000,1724,-0.64564049243927,9.36382457439322e-06
50100,2.890368700027466,4008000,1724,-0.9344472885131836,6.321771707007429e-06
50200,2.890368938446045,4016000,1724,-1.3650579452514648,2.5671358798717847e-06
50300,2.890369415283203,4024000,1724,-0.5267081260681152,4.114973307878245e-06
50400,2.8903679847717285,4032000,1724,-1.446774959564209,4.917758360534208e-06
50500,2.890368938446045,4040000,1724,-0.3084985017776489,4.942497525917133e-06
50600,2.8903698921203613,4048000,1724,-0.8168293237686157,4.88372779727797e-06
50700,2.890369415283203,4056000,1724,-1.1089117527008057,8.049279131228104e-06
50800,2.8903698921203613,4064000,1724,-0.4535940885543823,5.138197138876421e-06
50900,2.890368938446045,4072000,1724,-1.4760663509368896,3.887517323164502e-06
51000,2.890368938446045,4080000,1724,-0.6022695302963257,4.377111508802045e-06
51100,2.890367031097412,4088000,1724,-0.7147276401519775,4.159729996899841e-06
51200,2.890366315841675,4096000,1724,-0.6087141036987305,2.6442980924912263e-06
51300,2.890366792678833,4104000,1725,-1.3232498168945312,5.197815426072339e-06
51400,2.8903660774230957,4112000,1725,-0.45059335231781006,3.3351723232044606e-06
