value_loss,total_timesteps,fps,policy_entropy,nupdates,explained_variance
0.04464072361588478,7104000,1562,1.0620321035385132,88800,0.3523240089416504
0.00822212640196085,7112000,1563,1.030848741531372,88900,0.8910059779882431
0.10791230201721191,7120000,1563,0.8874081373214722,89000,0.5790835916996002
0.013376958668231964,7128000,1563,0.9014352560043335,89100,0.792638897895813
0.08723907172679901,7136000,1564,1.022416114807129,89200,0.4929272532463074
0.08797767013311386,7144000,1564,1.0262517929077148,89300,0.6502110362052917
0.0067413486540317535,7152000,1564,1.045331597328186,89400,0.8707909733057022
0.005229563917964697,7160000,1565,1.0026987791061401,89500,0.8830166682600975
0.014050629921257496,7168000,1565,0.9678012728691101,89600,0.7997970879077911
0.007649336941540241,7176000,1565,0.9414116144180298,89700,0.9021104872226715
0.04177263379096985,7184000,1566,0.9584752321243286,89800,0.6786324679851532
0.06347175687551498,7192000,1566,0.8797969818115234,89900,0.7126275599002838
0.08950237929821014,7200000,1566,1.0431729555130005,90000,0.4009935259819031
0.09139047563076019,7208000,1566,0.9028410911560059,90100,0.5556237399578094
0.02211945876479149,7216000,1567,1.011849045753479,90200,0.7232898771762848
0.023182477802038193,7224000,1567,1.1316145658493042,90300,0.9048061817884445
0.02281893789768219,7232000,1567,0.9530324935913086,90400,0.3121851086616516
0.014612150378525257,7240000,1567,1.1017316579818726,90500,0.9123739525675774
0.010695120319724083,7248000,1568,1.0516490936279297,90600,0.835253894329071
0.013435320928692818,7256000,1568,0.9904875755310059,90700,0.8999034687876701
0.05318223312497139,7264000,1568,0.9702950716018677,90800,0.6390257179737091
0.01064438559114933,7272000,1569,0.8946489095687866,90900,0.7171985805034637
0.004518471192568541,7280000,1569,0.9286711812019348,91000,0.720476359128952
0.009693890810012817,7288000,1569,1.0535871982574463,91100,0.813275158405304
0.03813361003994942,7296000,1570,1.016450047492981,91200,0.8187764137983322
0.14288555085659027,7304000,1570,0.9217007756233215,91300,0.6548565924167633
0.0071187750436365604,7312000,1570,0.8612518310546875,91400,0.7540158927440643
0.03451261669397354,7320000,1570,1.0015318393707275,91500,0.717968761920929
0.013523949310183525,7328000,1571,0.9369021654129028,91600,0.7865674048662186
0.023083020001649857,7336000,1571,0.9842249751091003,91700,0.6003610789775848
0.12060900777578354,7344000,1571,0.8467512130737305,91800,0.4427493214607239
0.0995834544301033,7352000,1572,1.0027742385864258,91900,0.3617144227027893
0.027921566739678383,7360000,1572,0.9881793856620789,92000,0.9938017358072102
0.009928124025464058,7368000,1572,1.0958737134933472,92100,0.909408375620842
0.010485703125596046,7376000,1573,0.9623303413391113,92200,0.8037145435810089
0.157161682844162,7384000,1573,0.9670494794845581,92300,0.39426660537719727
0.009392294101417065,7392000,1573,0.9485853910446167,92400,0.7871192693710327
0.005356634967029095,7400000,1574,0.9987480044364929,92500,0.8570329248905182
0.02784907817840576,7408000,1574,1.0034101009368896,92600,0.9903595894575119
0.06776628643274307,7416000,1574,0.807073712348938,92700,0.8770997077226639
0.05572665482759476,7424000,1575,0.8077861666679382,92800,0.9804694056510925
0.17940443754196167,7432000,1575,0.9943116903305054,92900,0.955089870840311
0.1176849976181984,7440000,1575,1.0152918100357056,93000,0.8624088615179062
0.007936122827231884,7448000,1575,0.8809383511543274,93100,0.7930824756622314
