nupdates,policy_entropy,total_timesteps,avg reward,explained_variance,fps,value_loss
8700,1.6696083545684814,696000,1.3465809404850007,0.9353167712688446,1908,0.011407198384404182
8800,1.6611964702606201,704000,1.6627784661948681,0.9770281258970499,1908,0.017069943249225616
8900,1.7264318466186523,712000,0.9443597775418311,0.9702632296830416,1907,0.009340984746813774
9000,1.6699466705322266,720000,1.3552025307901203,0.9163075089454651,1908,0.05206428840756416
9100,1.6051400899887085,728000,1.5499228481203318,0.986540081910789,1909,0.00926782563328743
9200,1.5882986783981323,736000,1.6519011553376912,0.8912976905703545,1909,0.04360697418451309
9300,1.5831621885299683,744000,1.760336330719292,0.9695668667554855,1910,0.0269576795399189
9400,1.6835839748382568,752000,1.162355943536386,0.8880128338932991,1911,0.02722727134823799
9500,1.635095238685608,760000,1.3469979416579008,0.9772265534847975,1911,0.012395481579005718
9600,1.6364864110946655,768000,1.488405803218484,0.9809046182781458,1912,0.01699892058968544
9700,1.7122762203216553,776000,1.0943200415931642,0.979400435462594,1913,0.01099512167274952
9800,1.6367191076278687,784000,1.8175606764853,0.9357100129127502,1913,0.04162188619375229
9900,1.639000654220581,792000,1.650662275776267,0.9908098047599196,1912,0.004527679644525051
10000,1.6808383464813232,800000,1.1732042968273162,0.9695611074566841,1913,0.008330538868904114
10100,1.6499407291412354,808000,1.4839092932641507,0.9773439429700375,1913,0.014330148696899414
10200,1.7000362873077393,816000,1.3552722588181496,0.9806143790483475,1913,0.007153063081204891
10300,1.7375215291976929,824000,1.3302142180502414,0.8579682260751724,1912,0.043282441794872284
10400,1.6937329769134521,832000,1.5593592204153537,0.9797648321837187,1913,0.01328800618648529
10500,1.7035846710205078,840000,1.209545333404094,0.9338363334536552,1913,0.02705974318087101
10600,1.700172781944275,848000,1.4967726398259402,0.9688178710639477,1913,0.021550048142671585
10700,1.6595569849014282,856000,1.2782368067651988,0.9869899330660701,1914,0.0074723511934280396
10800,1.7125632762908936,864000,1.3498664285987616,0.9520890414714813,1915,0.017760630697011948
10900,1.7413161993026733,872000,1.3595939422026277,0.9361902326345444,1915,0.03340558335185051
11000,1.6898972988128662,880000,0.9004263850394636,0.917925700545311,1914,0.03308239206671715
11100,1.707471489906311,888000,0.7809133225237019,0.9823316633701324,1914,0.005001315847039223
11200,1.673069953918457,896000,1.2720320729538799,0.9786390513181686,1913,0.01418855506926775
11300,1.6240489482879639,904000,1.247357471473515,0.9093155935406685,1914,0.027722250670194626
11400,1.6836681365966797,912000,1.0967228669673204,0.9480346888303757,1913,0.013111474923789501
11500,1.6953319311141968,920000,1.271862706169486,0.9788821637630463,1912,0.010812037624418736
11600,1.7550729513168335,928000,1.2732458962127566,0.9895360628142953,1910,0.004879365675151348
11700,1.6994022130966187,936000,1.03437867667526,0.9791086483746767,1911,0.008487039245665073
11800,1.6372661590576172,944000,1.7386135670705698,0.9950187038630247,1910,0.0032243479508906603
11900,1.6982234716415405,952000,0.7825331746134907,0.9133320748806,1910,0.01806442253291607
12000,1.6524217128753662,960000,1.3826633132994175,0.9627347812056541,1910,0.01821635290980339
12100,1.6715190410614014,968000,1.3747560443356632,0.9786230865865946,1910,0.011839841492474079
