fps,policy_entropy,nupdates,explained_variance,value_loss,total_timesteps,learning rate,avg reward
1732,2.890368938446045,83000,-1.0093460083007812,1.5482385151699418e-06,6640000,0.001,-0.0007258854669998982
1732,2.890368938446045,83100,-0.6331360340118408,1.3420943787423312e-06,6648000,0.001,0.0006904735197167611
1732,2.890369415283203,83200,-0.47784626483917236,8.686189403306344e-07,6656000,0.001,0.0015360550651621451
1733,2.890369415283203,83300,-0.6575963497161865,8.983423640529509e-07,6664000,0.001,-0.0006897999960528978
1732,2.890369415283203,83400,-0.4648134708404541,1.2050614941472304e-06,6672000,0.001,-0.0004939047139032482
1733,2.8903698921203613,83500,-1.1711771488189697,1.7821796518546762e-06,6680000,0.001,-0.0006889535809023073
1732,2.890369415283203,83600,-0.5724600553512573,1.961947646123008e-06,6688000,0.001,-6.193752174112887e-05
1732,2.890369176864624,83700,-1.1233634948730469,1.994080321310321e-06,6696000,0.001,-0.0008878248096152675
1733,2.890369415283203,83800,-1.298868179321289,8.30860130918154e-07,6704000,0.001,0.0002488543503773144
1732,2.890368938446045,83900,-1.2363438606262207,4.0673802459423314e-07,6712000,0.001,0.0007292502394193434
1732,2.8903698921203613,84000,-0.7277381420135498,1.1209956483071437e-06,6720000,0.001,-0.0004970091071299976
1732,2.8903698921203613,84100,-0.42010605335235596,9.43097234085144e-07,6728000,0.001,-4.7883702791295946e-05
1732,2.8903050422668457,84200,-0.1027212142944336,1.0657818165782373e-06,6736000,0.001,0.0001705070386378793
1732,2.8903167247772217,84300,-2.5063650608062744,1.6595834040344926e-06,6744000,0.001,0.0010315034397081035
1732,2.890322208404541,84400,-0.7070322036743164,8.27797691727028e-07,6752000,0.001,0.0012193608867164586
1732,2.890331745147705,84500,-0.7358478307723999,1.1529348284966545e-06,6760000,0.001,0.0006649980088695884
1732,2.89033579826355,84600,-0.5255377292633057,7.756167974548589e-07,6768000,0.001,0.00014950423155823955
1732,2.890340805053711,84700,-1.155071496963501,9.788030865820474e-07,6776000,0.001,-0.0005497760329262746
1732,2.8903465270996094,84800,-1.1388731002807617,4.5399534087664506e-07,6784000,0.001,0.00046978032303286455
1732,2.8903486728668213,84900,-1.341939926147461,1.3955639133200748e-06,6792000,0.001,-0.0006905062009536778
1732,2.8903517723083496,85000,-1.3406128883361816,1.0093135642819107e-06,6800000,0.001,-0.0009955346533388365
1732,2.890355348587036,85100,-1.2806236743927002,7.912104820206878e-07,6808000,0.001,-0.00041238733001591754
1732,2.890357494354248,85200,-1.3072888851165771,1.4002951047586976e-06,6816000,0.001,-0.0007949010774609633
1732,2.890359401702881,85300,-4.63994836807251,6.633935072386521e-07,6824000,0.001,0.00010150493599212496
1732,2.890362024307251,85400,-2.7254226207733154,9.348377716378309e-07,6832000,0.001,-0.0007263580893322796
1732,2.8903629779815674,85500,-0.6245592832565308,9.595394203643082e-07,6840000,0.001,-0.001141958688822342
1732,2.890364408493042,85600,-0.6226632595062256,5.888480814064678e-07,6848000,0.001,0.0008228110670643219
1732,2.8903648853302,85700,-0.1345221996307373,7.524612328779767e-07,6856000,0.001,0.0007813953256118111
1732,2.890367031097412,85800,-1.076889991760254,1.2279158454475692e-06,6864000,0.001,-0.0008042062893082403
1732,2.8903675079345703,85900,-1.8616375923156738,1.2084195759598515e-06,6872000,0.001,-0.0002561309675456869
1732,2.8903682231903076,86000,-1.2806992530822754,5.208199809203506e-07,6880000,0.001,-0.00026276354160472695
1732,2.8903684616088867,86100,-1.0632095336914062,1.5736919749542722e-06,6888000,0.001,0.0006660979544903967
1732,2.8903684616088867,86200,-0.553335428237915,1.49227548718045e-06,6896000,0.001,0.0007016267924882414
1732,2.8903684616088867,86300,-1.8764045238494873,8.192307063836779e-07,6904000,0.001,0.0005173458882040905
1732,2.8903684616088867,86400,-0.33768999576568604,7.581148224744538e-07,6912000,0.001,-0.0009032714933482566
1732,2.8903679847717285,86500,-0.5059829950332642,2.435177520965226e-06,6920000,0.001,-5.73538372918847e-05
1732,2.890368938446045,86600,-0.2977062463760376,1.3929702618042938e-06,6928000,0.001,-3.094738362960925e-05
1732,2.890369176864624,86700,-2.628915786743164,1.0137066510651493e-06,6936000,0.001,-8.79061631735567e-05
1732,2.890368938446045,86800,-0.3637664318084717,9.672228316048859e-07,6944000,0.001,0.00010431231366965221
1732,2.890368700027466,86900,-0.7799148559570312,8.662888149046921e-07,6952000,0.001,-0.00020395565034050377
