nupdates,total_timesteps,policy_entropy,explained_variance,fps,value_loss
14900,1192000,1.3542221784591675,0.9888786282390356,1239,0.0010392294498160481
15000,1200000,1.3585878610610962,0.9925152971409261,1240,0.000973650545347482
15100,1208000,1.3634774684906006,0.9827967565506697,1240,0.0018211702117696404
15200,1216000,1.3551862239837646,0.9948904593475163,1240,0.0008295716834254563
15300,1224000,1.3503559827804565,0.997639334294945,1240,0.0004897023318335414
15400,1232000,1.353113055229187,0.9958080505020916,1240,0.0006256310152821243
15500,1240000,1.3503191471099854,0.997503389371559,1240,0.0004096802731510252
15600,1248000,1.3469574451446533,0.9535264112055302,1240,0.006328507326543331
15700,1256000,1.3531482219696045,0.9575508087873459,1241,0.0024878322146832943
15800,1264000,1.3548295497894287,0.9404539801180363,1241,0.005229814909398556
15900,1272000,1.3589662313461304,0.9806033913046122,1241,0.0022429756354540586
16000,1280000,1.3527971506118774,0.9311820641160011,1241,0.010922040790319443
16100,1288000,1.3529813289642334,0.9943784447386861,1241,0.0006248268764466047
16200,1296000,1.3707077503204346,0.9926345287822187,1242,0.000505139643792063
16300,1304000,1.3577625751495361,0.9830303508788347,1242,0.0019285120069980621
16400,1312000,1.357173204421997,0.9839536491781473,1242,0.0011215677950531244
16500,1320000,1.3492780923843384,0.9964490493293852,1242,0.0005382120725698769
16600,1328000,1.3643263578414917,0.9960313295014203,1243,0.0003197962942067534
16700,1336000,1.355233907699585,0.9567129425704479,1243,0.010351349599659443
16800,1344000,1.3666226863861084,0.8396552950143814,1243,0.018894949927926064
16900,1352000,1.3611575365066528,0.9759872797876596,1243,0.0033811330795288086
17000,1360000,1.370162844657898,0.9357200041413307,1243,0.0022110091522336006
17100,1368000,1.3657147884368896,0.9190353825688362,1243,0.0104850884526968
17200,1376000,1.3568861484527588,0.9316727295517921,1243,0.009453771635890007
17300,1384000,1.3628789186477661,0.9864848926663399,1242,0.0008103245054371655
17400,1392000,1.3563231229782104,0.9755517188459635,1243,0.0026514260098338127
17500,1400000,1.3488585948944092,0.8771445080637932,1242,0.015723759308457375
17600,1408000,1.3617174625396729,0.9835826121270657,1242,0.0024225530214607716
17700,1416000,1.3593592643737793,0.9775703269988298,1242,0.002715786686167121
17800,1424000,1.3723026514053345,0.9277296960353851,1242,0.00494740903377533
17900,1432000,1.3742249011993408,0.9414323046803474,1243,0.008948969654738903
18000,1440000,1.3647196292877197,0.9799769762903452,1243,0.0018788545858114958
18100,1448000,1.372316598892212,0.9255905747413635,1243,0.004802072886377573
18200,1456000,1.3629220724105835,0.964853473007679,1244,0.004873047582805157
18300,1464000,1.3688606023788452,0.9817958381026983,1244,0.0020276422146707773
18400,1472000,1.3583927154541016,0.8430668711662292,1244,0.01245293952524662
18500,1480000,1.3687902688980103,0.9833812937140465,1244,0.001742445514537394
18600,1488000,1.3746364116668701,0.9530039988458157,1245,0.007840286009013653
18700,1496000,1.3577359914779663,0.9927734974771738,1246,0.0009045481565408409
18800,1504000,1.3722156286239624,0.9809968527406454,1246,0.0018498024437576532
18900,1512000,1.3681609630584717,0.7958063334226608,1246,0.022479087114334106
19000,1520000,1.37319016456604,0.9880256410688162,1246,0.001123889465816319
19100,1528000,1.3727657794952393,0.9693382102996111,1246,0.00492225494235754
19200,1536000,1.3757975101470947,0.9877622211351991,1247,0.0009497198043391109
19300,1544000,1.367527723312378,0.9829970356076956,1247,0.002676859265193343
19400,1552000,1.3733913898468018,0.9638796225190163,1247,0.004016834311187267
19500,1560000,1.353478193283081,0.9855843372642994,1247,0.001993948593735695
19600,1568000,1.3674802780151367,0.9791017957031727,1248,0.0023215068504214287
19700,1576000,1.3646619319915771,0.9952860744670033,1248,0.0007314883405342698
19800,1584000,1.3697926998138428,0.9804565776139498,1249,0.0030190024990588427
19900,1592000,1.3681409358978271,0.9969485190231353,1249,0.0005408969591371715
20000,1600000,1.3744733333587646,0.9289131164550781,1249,0.006219193805009127
20100,1608000,1.3656508922576904,0.9777443390339613,1249,0.002463639248162508
20200,1616000,1.360992670059204,0.9397485293447971,1250,0.008201581425964832
20300,1624000,1.362216591835022,0.7475884258747101,1250,0.02472909912467003
20400,1632000,1.3708889484405518,0.9228551685810089,1250,0.010065669193863869
20500,1640000,1.3674490451812744,0.9596141800284386,1250,0.004403550643473864
20600,1648000,1.3571383953094482,0.9146724119782448,1250,0.010740905068814754
20700,1656000,1.3756694793701172,0.989568542689085,1251,0.0013410733081400394
20800,1664000,1.361427664756775,0.8512947410345078,1251,0.018000999465584755
20900,1672000,1.3717455863952637,0.9541441798210144,1251,0.004566342104226351
21000,1680000,1.3780349493026733,0.863722488284111,1251,0.012945994734764099
21100,1688000,1.368269443511963,0.9882830278947949,1252,0.0009010987123474479
21200,1696000,1.369836449623108,0.9387295581400394,1252,0.006725408136844635
21300,1704000,1.3768118619918823,0.9755079504102468,1252,0.00514809787273407
21400,1712000,1.363451600074768,0.8590844422578812,1253,0.013619634322822094
21500,1720000,1.3625056743621826,0.9928796445019543,1253,0.0008158845594152808
21600,1728000,1.3508108854293823,0.960015133023262,1253,0.0021677128970623016
21700,1736000,1.3468315601348877,0.9107578098773956,1253,0.005959212314337492
21800,1744000,1.3359134197235107,0.9571182280778885,1253,0.003368604462593794
21900,1752000,1.3573681116104126,0.9567047096788883,1253,0.003108599688857794
22000,1760000,1.3570187091827393,0.8368056118488312,1254,0.005886668339371681
22100,1768000,1.3554140329360962,0.9843436256051064,1254,0.002013611840084195
22200,1776000,1.3554651737213135,0.9077877774834633,1255,0.008686626330018044
22300,1784000,1.3522987365722656,0.9660862311720848,1255,0.002675070660188794
22400,1792000,1.3533523082733154,0.9804863631725311,1256,0.002710387110710144
22500,1800000,1.3552775382995605,0.993859332986176,1257,0.0005742903449572623
22600,1808000,1.3628801107406616,0.9748012218624353,1257,0.0015672832960262895
22700,1816000,1.3496387004852295,0.9840796943753958,1257,0.0009646917460486293
22800,1824000,1.3378442525863647,0.96540891751647,1257,0.005108491517603397
22900,1832000,1.338397741317749,0.639552652835846,1258,0.04215849190950394
23000,1840000,1.3635014295578003,0.9718543160706758,1259,0.0034428380895406008
23100,1848000,1.3303020000457764,0.9720655661076307,1259,0.0026495824567973614
23200,1856000,1.3058125972747803,0.9841295462101698,1259,0.0016262115677818656
23300,1864000,1.331322431564331,0.9889687970280647,1260,0.0014130774652585387
23400,1872000,1.3455402851104736,0.9192505106329918,1260,0.007784565445035696
23500,1880000,1.3436301946640015,0.9539096057415009,1261,0.006018630228936672
23600,1888000,1.3451155424118042,0.8815320804715157,1261,0.008678432554006577
23700,1896000,1.3537156581878662,0.9475526511669159,1262,0.005201862193644047
23800,1904000,1.3434501886367798,0.953651025891304,1262,0.004850173369050026
23900,1912000,1.3494575023651123,0.9650174602866173,1262,0.004741203971207142
24000,1920000,1.3517725467681885,0.8250050097703934,1262,0.014851341024041176
24100,1928000,1.3221911191940308,0.9325495734810829,1263,0.005508942063897848
24200,1936000,1.354596734046936,0.8894438669085503,1263,0.008549194782972336
24300,1944000,1.345373511314392,0.8555042445659637,1263,0.006888906471431255
24400,1952000,1.3436553478240967,0.9282580390572548,1264,0.010886589996516705
24500,1960000,1.3389842510223389,0.9109458327293396,1264,0.009289423003792763
24600,1968000,1.3446534872055054,0.7592167109251022,1264,0.03315948694944382
24700,1976000,1.3553498983383179,0.866998016834259,1264,0.019459450617432594
24800,1984000,1.3237179517745972,0.7410199642181396,1264,0.014966917224228382
24900,1992000,1.3242582082748413,0.8593145161867142,1264,0.01738078147172928
25000,2000000,1.3462727069854736,0.7318154871463776,1265,0.016538748517632484
25100,2008000,1.345725655555725,0.9255103319883347,1265,0.00485392939299345
25200,2016000,1.3559987545013428,0.927965559065342,1266,0.007108876947313547
25300,2024000,1.3365767002105713,0.9506378099322319,1266,0.00690242787823081
25400,2032000,1.336288332939148,0.9711254760622978,1266,0.003419607412070036
25500,2040000,1.3578155040740967,0.9394194297492504,1266,0.005672379396855831
25600,2048000,1.3461230993270874,0.8309140652418137,1267,0.018477771431207657
25700,2056000,1.3457342386245728,0.9338470622897148,1267,0.005503036547452211
25800,2064000,1.3331904411315918,0.9447816200554371,1268,0.005720094311982393
25900,2072000,1.3326297998428345,0.8371399492025375,1268,0.019239094108343124
26000,2080000,1.3404178619384766,0.9350014850497246,1268,0.002476729452610016
26100,2088000,1.3331019878387451,0.9121920242905617,1269,0.009117743000388145
26200,2096000,1.3227834701538086,0.8306471109390259,1270,0.010333615355193615
26300,2104000,1.3159013986587524,0.964820384979248,1270,0.005938798654824495
26400,2112000,1.3381788730621338,0.9348439946770668,1270,0.00719223078340292
26500,2120000,1.3407771587371826,0.9426643028855324,1270,0.008958998136222363
26600,2128000,1.3173428773880005,0.9809468779712915,1270,0.0023159184493124485
26700,2136000,1.3348690271377563,0.8998651057481766,1270,0.012131267227232456
26800,2144000,1.3242003917694092,0.9810487516224384,1271,0.002796994522213936
26900,2152000,1.3290989398956299,0.7158186137676239,1271,0.03993675485253334
27000,2160000,1.3543803691864014,0.9720553327351809,1271,0.004636333789676428
27100,2168000,1.3354947566986084,0.9630628004670143,1272,0.003024898935109377
27200,2176000,1.3490869998931885,0.804613009095192,1272,0.016221994534134865
27300,2184000,1.3433127403259277,0.7159339487552643,1272,0.03707035258412361
27400,2192000,1.345435380935669,0.9157210662961006,1273,0.010624589398503304
27500,2200000,1.3121293783187866,0.9470155313611031,1273,0.0061944834887981415
27600,2208000,1.3554445505142212,0.9096379578113556,1273,0.011696058325469494
27700,2216000,1.3306020498275757,0.98232426866889,1273,0.0018759671365842223
27800,2224000,1.324021816253662,0.9627469033002853,1274,0.0045069376938045025
27900,2232000,1.3367750644683838,0.9409701563417912,1274,0.0078104836866259575
28000,2240000,1.3457763195037842,0.8429314643144608,1275,0.020860346034169197
28100,2248000,1.314105749130249,0.7706986963748932,1275,0.018590347841382027
28200,2256000,1.3231674432754517,0.9266268908977509,1276,0.007018260657787323
28300,2264000,1.289208173751831,0.8061257004737854,1276,0.017733555287122726
28400,2272000,1.3345388174057007,0.9827367346733809,1276,0.0019244914874434471
28500,2280000,1.3339179754257202,0.8299538344144821,1276,0.009068833664059639
28600,2288000,1.3331366777420044,0.8882910460233688,1277,0.009939474985003471
28700,2296000,1.3116031885147095,0.9478847421705723,1277,0.004786312114447355
28800,2304000,1.280426263809204,0.8940801098942757,1277,0.005476078484207392
