episodes,mean 100 episode reward,% time spent exploring,steps
34200,13.2,1,8828699
34300,11.7,1,8864897
34400,13.1,1,8905491
34500,12.1,1,8943009
34600,10.4,1,8975802
34700,11.9,1,9012495
34800,12.6,1,9050909
34900,13.6,1,9091640
35000,11.9,1,9126714
35100,12.8,1,9164907
35200,11.0,1,9200435
35300,9.0,1,9229746
35400,11.0,1,9263494
35500,11.1,1,9298171
35600,11.9,1,9333427
35700,11.6,1,9371121
35800,11.3,1,9406467
35900,11.9,1,9442947
36000,11.0,1,9477418
36100,11.3,1,9512469
36200,10.2,1,9544944
36300,10.8,1,9579002
36400,12.0,1,9616103
36500,13.4,1,9657403
36600,11.0,1,9691094
36700,13.1,1,9728965
36800,11.6,1,9763917
36900,12.3,1,9800610
37000,12.2,1,9835938
37100,11.3,1,9869667
37200,11.5,1,9903559
37300,12.8,1,9941453
37400,12.1,1,9977811
37500,12.6,1,10016018
37600,12.0,1,10054145
37700,11.5,1,10090438
37800,11.1,1,10124931
37900,11.0,1,10158434
38000,11.0,1,10193073
38100,11.1,1,10227630
38200,12.3,1,10266471
38300,11.0,1,10300352
38400,11.8,1,10338044
38500,12.4,1,10375249
38600,13.3,1,10414489
38700,13.8,1,10455034
38800,11.6,1,10490893
38900,15.0,1,10535592
39000,12.9,1,10574647
39100,11.6,1,10612291
39200,12.4,1,10652606
39300,11.7,1,10692435
39400,12.1,1,10731627
39500,11.3,1,10769281
39600,11.7,1,10806732
39700,11.4,1,10841467
39800,11.7,1,10875754
39900,11.5,1,10909447
40000,12.3,1,10945689
40100,12.5,1,10984841
40200,10.3,1,11018884
40300,10.8,1,11053708
40400,11.5,1,11090934
40500,10.4,1,11128824
40600,12.2,1,11166949
40700,11.2,1,11203540
40800,10.1,1,11235218
40900,8.6,1,11262503
41000,9.4,1,11292992
41100,8.6,1,11321491
41200,7.7,1,11347204
41300,8.3,1,11375524
41400,8.1,1,11400634
41500,8.2,1,11427138
41600,9.2,1,11456168
41700,9.2,1,11485195
41800,10.1,1,11516416
41900,11.4,1,11552090
42000,11.2,1,11588324
42100,11.3,1,11625523
42200,11.6,1,11664075
42300,11.8,1,11701387
42400,13.2,1,11739938
42500,13.5,1,11780626
42600,12.7,1,11819012
42700,13.5,1,11861238
42800,13.3,1,11900558
42900,14.4,1,11944596
43000,14.1,1,11987157
43100,11.6,1,12023624
43200,12.9,1,12062363
43300,12.5,1,12098576
43400,13.8,1,12138766
43500,12.0,1,12175121
43600,12.7,1,12211572
43700,13.3,1,12252212
43800,12.9,1,12289259
43900,12.6,1,12325891
44000,13.8,1,12364644
44100,14.4,1,12407385
44200,15.1,1,12452032
44300,14.0,1,12492816
44400,14.3,1,12535039
44500,16.3,1,12582004
44600,15.0,1,12626494
44700,10.6,1,12662054
44800,12.5,1,12701359
44900,13.5,1,12742321
45000,13.0,1,12782812
45100,11.3,1,12817269
45200,8.9,1,12847385
45300,9.4,1,12875392
45400,9.1,1,12906348
45500,10.3,1,12940532
45600,12.5,1,12978920
45700,12.7,1,13019035
45800,11.2,1,13053246
45900,14.0,1,13094977
46000,12.2,1,13133298
46100,13.4,1,13176319
46200,11.9,1,13213702
46300,9.5,1,13243123
46400,9.3,1,13273728
46500,11.9,1,13309491
46600,11.0,1,13343378
46700,8.9,1,13372223
46800,9.3,1,13402199
46900,8.3,1,13430778
47000,9.7,1,13460908
47100,9.4,1,13494317
47200,8.6,1,13525271
47300,10.0,1,13561973
47400,8.2,1,13591555
47500,8.4,1,13620054
47600,8.6,1,13648893
47700,7.7,1,13674328
47800,8.6,1,13702369
47900,8.0,1,13731428
48000,8.1,1,13759560
48100,9.0,1,13789811
48200,10.6,1,13826679
48300,9.6,1,13859248
48400,9.4,1,13891114
48500,10.1,1,13925127
48600,12.8,1,13965649
48700,9.5,1,13999457
