policy_entropy,explained_variance,total_timesteps,fps,nupdates,value_loss,avg reward
0.0,-0.2624474763870239,7664000,1591,95800,3950.950439453125,-253.70415730476378
0.0,-21.082094192504883,7672000,1591,95900,1053.8792724609375,-454.572339630127
0.0,-1.5248970985412598,7680000,1592,96000,1715.5693359375,-314.3860221862793
0.0,-1.5685858726501465,7688000,1592,96100,18995.390625,1066.4816650390626
0.0,-0.2100757360458374,7696000,1592,96200,5260.38525390625,-366.10900964736936
0.0,-0.6330801248550415,7704000,1591,96300,9617.0185546875,-337.76512145996094
0.0,-1.5341300964355469,7712000,1592,96400,10396.80078125,794.2282188415527
0.0,-0.00483393669128418,7720000,1592,96500,37385.57421875,652.3431884765625
0.0,0.6506457626819611,7728000,1592,96600,103.6955337524414,-421.8860553741455
0.0,0.3661958575248718,7736000,1592,96700,93.93236541748047,402.48025093078616
0.0,-14.993887901306152,7744000,1592,96800,121.49382019042969,114.55140190124511
0.0,-0.120871901512146,7752000,1592,96900,2197.591796875,-242.1125814437866
0.0,0.0480535626411438,7760000,1592,97000,9018.248046875,340.9433702468872
0.0,-0.2714763879776001,7768000,1592,97100,54.345909118652344,-52.60412001609802
0.0,-7.647955894470215,7776000,1592,97200,217.7711639404297,157.85632667541503
0.0,-30.00269889831543,7784000,1592,97300,4027.074951171875,959.357455444336
0.0,0.11280161142349243,7792000,1592,97400,589.7647094726562,139.03538446426393
0.0,0.9094201251864433,7800000,1592,97500,9.695680618286133,115.12744760513306
0.0,-2.3780951499938965,7808000,1592,97600,20535.46484375,969.7622154235839
0.0,-1.6014227867126465,7816000,1592,97700,13013.72265625,-871.665283203125
0.0,-11.427706718444824,7824000,1592,97800,2038.151611328125,-675.0423347473145
0.0,0.8505360335111618,7832000,1592,97900,10.04141902923584,-120.24487543106079
0.0,0.15938276052474976,7840000,1592,98000,399.77838134765625,850.9631958007812
0.0,-0.3268454074859619,7848000,1592,98100,14765.087890625,-589.1659540176391
0.0,-72.79107666015625,7856000,1592,98200,7716.05224609375,918.6240455627442
0.0,-45.10103225708008,7864000,1592,98300,3709.54638671875,-434.833081817627
0.0,-60.872623443603516,7872000,1592,98400,991.1428833007812,324.3787269592285
0.0,-1.0175375938415527,7880000,1592,98500,3536.02490234375,-284.63272285461426
0.0,-1.6773772239685059,7888000,1592,98600,546.2610473632812,-171.04062576293944
0.0,-1.698563575744629,7896000,1592,98700,11312.7822265625,569.3057945251464
0.0,-2.1345207691192627,7904000,1592,98800,562.7158813476562,-151.65652828216554
0.0,-0.22093498706817627,7912000,1592,98900,3228.87646484375,-269.08872299194337
0.0,-2.452094078063965,7920000,1592,99000,7562.5625,582.1515670776367
0.0,0.17540740966796875,7928000,1592,99100,766.199462890625,-157.19012598991395
0.0,0.03867161273956299,7936000,1593,99200,8678.1376953125,331.290743637085
