total_timesteps,nupdates,fps,policy_entropy,value_loss,avgReward,explained_variance
1944000,24300,907,1.3514431715011597,0.004404778126627207,0.21307611834490672,0.9291369616985321
1952000,24400,907,1.3242888450622559,0.011442618444561958,0.4756731442525052,0.9310873597860336
1960000,24500,907,1.364071249961853,0.008006359450519085,0.27985874547157435,0.8902669921517372
1968000,24600,907,1.3349186182022095,0.004617352969944477,0.3199993329879362,0.9468132853507996
1976000,24700,907,1.3344711065292358,0.02221951261162758,0.9333717059344053,0.8208679109811783
1984000,24800,907,1.360538125038147,0.01857706904411316,0.26871447486337274,0.5913335680961609
1992000,24900,907,1.3435840606689453,0.01363576389849186,0.4057407246902585,0.7132379412651062
2000000,25000,907,1.3566932678222656,0.0017368991393595934,0.2866984239197336,0.9841685649007559
2008000,25100,908,1.3310763835906982,0.00924757868051529,0.32982757603749635,0.8543722778558731
2016000,25200,908,1.3402049541473389,0.02534700557589531,0.6802822751924396,0.8039797097444534
2024000,25300,908,1.3221981525421143,0.0063764662481844425,0.5355884519405663,0.9291318356990814
2032000,25400,908,1.3272759914398193,0.01903526857495308,0.48134218230843545,0.8662911206483841
2040000,25500,908,1.337303638458252,0.0035191234201192856,0.43247890705242753,0.9680425263941288
2048000,25600,908,1.276585340499878,0.0033347674179822206,0.7078823667950929,0.9765135962516069
2056000,25700,908,1.3417994976043701,0.0036876641679555178,0.4549072161782533,0.9723440837115049
