total_timesteps,fps,nupdates,explained_variance,policy_entropy,value_loss
4976000,1759,62200,-0.49871861934661865,2.8903629779815674,2.845700919351657e-06
4984000,1759,62300,-0.18980491161346436,2.890364170074463,3.8060079532442614e-06
4992000,1759,62400,-0.3078787326812744,2.890364646911621,3.14851286020712e-06
5000000,1759,62500,-0.1743755340576172,2.8903634548187256,3.988899607065832e-06
5008000,1759,62600,-0.9186805486679077,2.8903651237487793,2.476103873050306e-06
5016000,1759,62700,-0.6452136039733887,2.890364646911621,2.2890926629770547e-06
5024000,1759,62800,-1.1693916320800781,2.890364170074463,3.269942226324929e-06
5032000,1759,62900,-1.6714708805084229,2.8903636932373047,4.491065737965982e-06
5040000,1759,63000,-0.4292287826538086,2.8903613090515137,2.433126155665377e-06
5048000,1759,63100,-0.45941197872161865,2.890364170074463,3.1484935334447073e-06
5056000,1759,63200,-0.7511168718338013,2.890364408493042,3.1588012916472508e-06
5064000,1759,63300,-0.22503411769866943,2.8903651237487793,2.5349143015773734e-06
5072000,1759,63400,-0.40623342990875244,2.890364170074463,2.1969140107103158e-06
5080000,1759,63500,-0.32077765464782715,2.8903653621673584,4.5379397306533065e-06
5088000,1759,63600,-0.37827014923095703,2.8903660774230957,4.194878329144558e-06
5096000,1760,63700,-2.1539106369018555,2.890364408493042,2.620478880999144e-06
5104000,1760,63800,-0.5858743190765381,2.8903656005859375,2.3540908387076342e-06
5112000,1760,63900,-0.5042879581451416,2.8903651237487793,2.970804871438304e-06
5120000,1760,64000,-0.28737568855285645,2.8903656005859375,1.0933721341643832e-06
5128000,1760,64100,-0.4697350263595581,2.890366315841675,3.3141745916509535e-06
5136000,1760,64200,-0.17787420749664307,2.890366315841675,3.3333690225845203e-06
5144000,1760,64300,0.09498435258865356,2.890366315841675,5.256934855424333e-06
5152000,1760,64400,-0.134346604347229,2.8903660774230957,2.591325028333813e-06
5160000,1760,64500,-0.9493025541305542,2.890366792678833,2.7183705242350698e-06
5168000,1760,64600,-0.90800940990448,2.8903656005859375,6.188386123540113e-06
5176000,1760,64700,-1.247866153717041,2.890366554260254,2.501669314369792e-06
5184000,1760,64800,0.03959387540817261,2.8903660774230957,2.910294597313623e-06
5192000,1760,64900,-1.1720597743988037,2.8903656005859375,2.232042561445269e-06
5200000,1760,65000,-2.6914174556732178,2.890367269515991,2.1688845208700513e-06
5208000,1760,65100,-0.7737059593200684,2.890367031097412,1.694647266958782e-06
5216000,1760,65200,-0.38759946823120117,2.890366792678833,3.2513605674466817e-06
5224000,1760,65300,-1.8074884414672852,2.890366315841675,3.650511644082144e-06
5232000,1760,65400,-0.9025479555130005,2.890367031097412,2.3399420570058282e-06
5240000,1760,65500,-0.6823875904083252,2.890366792678833,1.3687188129551942e-06
5248000,1760,65600,-0.027328968048095703,2.890366554260254,4.051448740938213e-06
5256000,1760,65700,-0.1579972505569458,2.8903660774230957,3.0665905796922743e-06
5264000,1760,65800,-0.19212496280670166,2.8903675079345703,3.368008492543595e-06
5272000,1759,65900,-0.1875925064086914,2.890367031097412,1.5469231584575027e-06
5280000,1759,66000,-0.14511001110076904,2.890367031097412,4.2431320252944715e-06
5288000,1759,66100,-1.7615115642547607,2.890366315841675,3.2966186154226307e-06
5296000,1759,66200,-0.5421609878540039,2.890366792678833,3.918775291822385e-06
5304000,1759,66300,-0.5434705018997192,2.890366792678833,3.1735748962091748e-06
5312000,1760,66400,-1.79844331741333,2.890366554260254,2.609883949844516e-06
5320000,1760,66500,-1.6452844142913818,2.890367031097412,3.040627461814438e-06
5328000,1760,66600,-0.8776274919509888,2.8903675079345703,3.4315744414925575e-06
5336000,1760,66700,-0.6561787128448486,2.8903656005859375,1.6912374576349976e-06
5344000,1760,66800,-3.202259063720703,2.8903656005859375,3.061855068153818e-06
5352000,1760,66900,-1.1636910438537598,2.8903660774230957,3.6633264244301245e-06
5360000,1760,67000,-1.1844415664672852,2.8903653621673584,2.3643942768103443e-06
5368000,1760,67100,-1.8543903827667236,2.8903660774230957,2.0026589027111186e-06
5376000,1760,67200,-0.8059719800949097,2.8903656005859375,2.0857191884715576e-06
5384000,1760,67300,-1.2128639221191406,2.8903660774230957,4.402601007313933e-06
5392000,1760,67400,0.1286938190460205,2.890366315841675,1.3020405731367646e-06
5400000,1760,67500,-1.595031976699829,2.8903653621673584,3.375428377694334e-06
5408000,1760,67600,-1.8087773323059082,2.8903660774230957,1.906836928355915e-06
5416000,1760,67700,-0.7698564529418945,2.8903660774230957,1.6910713611650863e-06
5424000,1760,67800,-0.8408709764480591,2.890366315841675,1.8288016008227714e-06
5432000,1760,67900,-0.07569968700408936,2.8903660774230957,1.112440372708079e-06
5440000,1760,68000,-2.6876518726348877,2.8903660774230957,1.6429748939117417e-06
5448000,1760,68100,-0.6057354211807251,2.8903651237487793,2.823591103151557e-06
5456000,1760,68200,-0.532213568687439,2.890366554260254,3.0888543278706493e-06
5464000,1760,68300,-0.1878986358642578,2.890366792678833,2.185639687013463e-06
5472000,1760,68400,-0.839329719543457,2.8903679847717285,2.3783343294780934e-06
5480000,1760,68500,-0.9679944515228271,2.890367031097412,1.8590166064313962e-06
5488000,1760,68600,-0.8039816617965698,2.890367031097412,3.1659888009016868e-06
5496000,1760,68700,-0.8906286954879761,2.8903675079345703,1.942527433129726e-06
5504000,1760,68800,-0.9119068384170532,2.8903677463531494,4.42572491010651e-06
5512000,1760,68900,-0.868938684463501,2.8903682231903076,2.686010247998638e-06
5520000,1760,69000,0.13758915662765503,2.8903679847717285,1.7776148979464779e-06
5528000,1760,69100,-0.4603567123413086,2.8903679847717285,2.2614101453655167e-06
5536000,1760,69200,-2.7507925033569336,2.8903677463531494,2.510583499315544e-06
5544000,1760,69300,-1.799332857131958,2.890367031097412,2.0195207071083132e-06
5552000,1760,69400,-0.6425559520721436,2.890367269515991,2.0396896616148297e-06
5560000,1760,69500,-1.1286828517913818,2.8903653621673584,3.1307251902035205e-06
5568000,1760,69600,-1.550645351409912,2.890366792678833,2.68368739853031e-06
5576000,1760,69700,-0.663691520690918,2.8903679847717285,3.305953669041628e-06
5584000,1760,69800,-1.6805453300476074,2.8903660774230957,1.7350623693346279e-06
5592000,1760,69900,-1.2488348484039307,2.8903675079345703,3.2302330055244965e-06
5600000,1760,70000,-1.5180659294128418,2.8903675079345703,2.8950369141966803e-06
5608000,1760,70100,-0.574252724647522,2.890366315841675,2.762807298495318e-06
5616000,1760,70200,0.046298444271087646,2.8903675079345703,2.83045392279746e-06
5624000,1760,70300,-1.2980091571807861,2.890366554260254,1.0238070444756886e-06
5632000,1760,70400,-0.3916589021682739,2.8903660774230957,2.464900262566516e-06
5640000,1760,70500,-0.6654235124588013,2.890364170074463,2.644571395649109e-06
5648000,1760,70600,-1.458242654800415,2.8903651237487793,2.030096311500529e-06
5656000,1760,70700,-0.4718806743621826,2.8903651237487793,2.5530316634103656e-06
5664000,1760,70800,0.23178821802139282,2.890357494354248,1.6544756817893358e-06
5672000,1760,70900,0.022302746772766113,2.8903603553771973,1.551641048536112e-06
5680000,1760,71000,-2.3474199771881104,2.8903610706329346,3.921448296750896e-06
5688000,1760,71100,-1.180851697921753,2.8903586864471436,2.3395955395244528e-06
5696000,1760,71200,-0.8920139074325562,2.8903629779815674,2.165131718356861e-06
5704000,1760,71300,-1.0913026332855225,2.8903629779815674,2.570494643805432e-06
5712000,1760,71400,-0.562868595123291,2.890363931655884,5.4825659390189685e-06
5720000,1760,71500,-1.2950944900512695,2.8903648853302,1.056021233125648e-06
5728000,1760,71600,-0.2392514944076538,2.890364170074463,2.4299672531924443e-06
5736000,1760,71700,-0.6735812425613403,2.8903648853302,2.304107056261273e-06
5744000,1760,71800,-0.16776931285858154,2.890364170074463,2.2886558781465283e-06
5752000,1760,71900,-1.441053867340088,2.8903660774230957,2.1343798835005146e-06
5760000,1760,72000,-0.8869813680648804,2.890366792678833,2.0909387785650324e-06
5768000,1760,72100,-1.3303778171539307,2.890366792678833,2.2454246391134802e-06
5776000,1760,72200,-0.7213655710220337,2.890367031097412,4.091153641638812e-06
5784000,1760,72300,-0.5407954454421997,2.890366792678833,2.0115028291911585e-06
5792000,1760,72400,-0.6909587383270264,2.890367031097412,2.2734166122972965e-06
5800000,1760,72500,-0.5650227069854736,2.8903491497039795,1.3084990087008919e-06
5808000,1760,72600,-0.8601891994476318,2.890352725982666,1.7556637885718374e-06
5816000,1760,72700,-2.363039493560791,2.8903541564941406,1.7978943560592597e-06
5824000,1761,72800,-0.7209954261779785,2.8903563022613525,1.7098722082664608e-06
5832000,1761,72900,-0.2878599166870117,2.8903567790985107,1.906125930872804e-06
5840000,1761,73000,-0.3831021785736084,2.8903584480285645,2.2587487364944536e-06
5848000,1761,73100,-0.04264628887176514,2.890359878540039,1.7284639852732653e-06
5856000,1761,73200,-1.1204779148101807,2.890324831008911,2.536767624405911e-06
5864000,1761,73300,-0.542594313621521,2.890331268310547,2.2216645447770134e-06
5872000,1761,73400,-0.775883674621582,2.8903374671936035,1.7472433455623104e-06
5880000,1761,73500,-0.48084545135498047,2.890341281890869,3.718349489645334e-06
5888000,1761,73600,-1.0622189044952393,2.8903439044952393,2.911004685302032e-06
5896000,1761,73700,-1.2066340446472168,2.8903465270996094,3.909729912265902e-06
5904000,1761,73800,0.0914841890335083,2.890347957611084,1.231258124789747e-06
5912000,1761,73900,-1.5711653232574463,2.8903496265411377,1.1450956662883982e-06
5920000,1761,74000,-0.47026777267456055,2.8903512954711914,1.2529948207884445e-06
5928000,1761,74100,-1.1645567417144775,2.8903539180755615,3.7393911043182015e-06
5936000,1761,74200,-0.25899195671081543,2.8903560638427734,1.2768343822244788e-06
5944000,1762,74300,-1.1327767372131348,2.8903567790985107,2.0088543806195958e-06
5952000,1761,74400,-0.28068625926971436,2.890359401702881,1.955001835085568e-06
5960000,1762,74500,-0.5071069002151489,2.890360116958618,1.3105407106195344e-06
5968000,1762,74600,0.0240095853805542,2.890361785888672,3.7592847093037562e-06
5976000,1762,74700,-3.4743528366088867,2.89036226272583,1.929539621414733e-06
5984000,1762,74800,-0.7696552276611328,2.89036226272583,2.641427727212431e-06
5992000,1762,74900,-0.41882872581481934,2.8903632164001465,2.118510792570305e-06
6000000,1761,75000,-0.7956876754760742,2.8903632164001465,4.2658225538616534e-06
6008000,1761,75100,-0.34631919860839844,2.890363931655884,1.8036960227618692e-06
6016000,1761,75200,-1.059077501296997,2.890364408493042,2.566173634477309e-06
6024000,1761,75300,-0.8967897891998291,2.890364408493042,5.66572998650372e-06
6032000,1761,75400,-0.30802690982818604,2.890364170074463,2.4835178464854835e-06
6040000,1761,75500,-0.9010511636734009,2.890364170074463,5.428636541182641e-06
6048000,1761,75600,-0.3670588731765747,2.8903656005859375,2.8619024305953644e-06
6056000,1761,75700,-0.984600305557251,2.8903658390045166,3.2886339340620907e-06
6064000,1761,75800,-1.9301538467407227,2.890367031097412,3.214313665012014e-06
6072000,1761,75900,-0.805553674697876,2.8903675079345703,2.8935914997418877e-06
6080000,1761,76000,-0.5251511335372925,2.8903679847717285,2.184914364988799e-06
6088000,1761,76100,-0.918610692024231,2.890366792678833,8.789485264060204e-07
6096000,1761,76200,-0.48802149295806885,2.8903682231903076,1.6156067204065039e-06
6104000,1761,76300,-0.8562175035476685,2.890368700027466,3.946644483221462e-06
6112000,1761,76400,-3.319851875305176,2.890369415283203,1.2842168644056073e-06
6120000,1761,76500,0.13641440868377686,2.8903679847717285,1.3532508091884665e-06
6128000,1761,76600,-0.8816289901733398,2.8903679847717285,2.397314801783068e-06
6136000,1761,76700,-0.7815395593643188,2.8903684616088867,2.0418749500095146e-06
6144000,1761,76800,-1.2566330432891846,2.8903684616088867,1.7274887795792893e-06
6152000,1761,76900,-0.2965855598449707,2.8903679847717285,1.8501975773688173e-06
6160000,1761,77000,-0.5898023843765259,2.8903679847717285,1.431280907127075e-06
6168000,1761,77100,-0.5007110834121704,2.890355348587036,3.34862784256984e-06
6176000,1761,77200,-1.677398920059204,2.890355348587036,1.483307869420969e-06
6184000,1761,77300,-1.9922282695770264,2.8903567790985107,3.373396566530573e-06
6192000,1761,77400,-0.12026739120483398,2.8903579711914062,2.2756526050216053e-06
6200000,1761,77500,-0.7779381275177002,2.8903589248657227,1.395803565173992e-06
6208000,1761,77600,-0.7302989959716797,2.890359401702881,2.531106702008401e-06
6216000,1761,77700,-0.24256420135498047,2.8903603553771973,3.4326105833315523e-06
6224000,1762,77800,-1.1936919689178467,2.8903629779815674,2.8047379601048306e-06
6232000,1762,77900,-3.195723056793213,2.890362501144409,3.2424438813905e-06
6240000,1762,78000,-0.30348336696624756,2.8903613090515137,2.4340333766303957e-06
6248000,1762,78100,-2.17653751373291,2.890362501144409,1.8079866777043208e-06
6256000,1762,78200,-1.1588356494903564,2.8903632164001465,2.3146844796428923e-06
6264000,1762,78300,-0.6570433378219604,2.8903636932373047,2.043855374722625e-06
6272000,1762,78400,-0.05416560173034668,2.890364408493042,1.1955405625485582e-06
6280000,1762,78500,-0.7562040090560913,2.8903648853302,1.5412140328407986e-06
6288000,1762,78600,-1.1577467918395996,2.890364408493042,3.0406827136175707e-06
6296000,1762,78700,-0.7175114154815674,2.890364646911621,1.7663405742496252e-06
6304000,1762,78800,-0.678658127784729,2.8903648853302,2.238575689261779e-06
6312000,1762,78900,-0.13983845710754395,2.8903651237487793,2.2396748136088718e-06
6320000,1762,79000,-1.101461410522461,2.8903651237487793,2.902101641666377e-06
6328000,1762,79100,-1.0757687091827393,2.890364646911621,1.4290610579337226e-06
6336000,1762,79200,-1.4491870403289795,2.8903648853302,4.309734322305303e-06
6344000,1762,79300,-0.4986851215362549,2.8903648853302,1.7621630377107067e-06
6352000,1762,79400,0.07628852128982544,2.8903651237487793,3.72719659935683e-06
6360000,1762,79500,-0.44348931312561035,2.8903632164001465,1.6137701095431112e-06
6368000,1762,79600,-1.2243142127990723,2.890364170074463,2.091984470098396e-06
6376000,1762,79700,-0.894680380821228,2.8903653621673584,2.243697736048489e-06
6384000,1762,79800,-0.804624080657959,2.8903653621673584,1.3042789532846655e-06
6392000,1762,79900,-1.6663670539855957,2.8903660774230957,3.580690190574387e-06
6400000,1762,80000,-1.0855937004089355,2.8903660774230957,2.3894058358564507e-06
6408000,1762,80100,-0.8578629493713379,2.8903658390045166,2.8134186322859023e-06
6416000,1762,80200,0.12141859531402588,2.8903660774230957,1.6172309642570326e-06
6424000,1762,80300,-1.8472225666046143,2.8903660774230957,2.5857239052129444e-06
6432000,1762,80400,-0.5544111728668213,2.8903651237487793,1.8608559457788942e-06
6440000,1762,80500,-1.03690505027771,2.8903660774230957,1.4456574035648373e-06
6448000,1762,80600,-1.5580885410308838,2.890367031097412,1.684758672126918e-06
6456000,1762,80700,-1.8562021255493164,2.890366792678833,2.899290393543197e-06
6464000,1762,80800,-1.4808893203735352,2.890367031097412,2.6688587695389288e-06
6472000,1762,80900,-2.0780367851257324,2.8903679847717285,1.7536440282128751e-06
6480000,1762,81000,-0.4529813528060913,2.8903675079345703,1.3564427945311763e-06
6488000,1762,81100,-1.26947021484375,2.8903684616088867,3.0264220640674466e-06
6496000,1762,81200,-1.548046588897705,2.8903677463531494,1.911130993903498e-06
6504000,1762,81300,-0.9023710489273071,2.890367031097412,2.307522436240106e-06
6512000,1762,81400,-0.6096515655517578,2.890366792678833,1.2541538580990164e-06
6520000,1762,81500,-0.9232277870178223,2.8903660774230957,2.107332647938165e-06
6528000,1762,81600,-1.370781660079956,2.890366315841675,3.4617053188412683e-06
6536000,1762,81700,-0.6200826168060303,2.890366554260254,2.8588885925273644e-06
6544000,1762,81800,-0.7103570699691772,2.890366792678833,2.354241587454453e-06
6552000,1762,81900,-3.8194127082824707,2.8903679847717285,2.2813842406321783e-06
6560000,1762,82000,-3.437264919281006,2.890367031097412,2.209713329648366e-06
6568000,1762,82100,-0.5927464962005615,2.8903675079345703,1.8983367908731452e-06
6576000,1761,82200,-1.4801363945007324,2.890367031097412,1.4944686199669377e-06
6584000,1761,82300,-1.2912721633911133,2.8903679847717285,1.5852783690206707e-06
