fps,policy_entropy,explained_variance,total_timesteps,nupdates,value_loss,avg reward
1969,1.4487147331237793,0.9696722254157066,6488000,81100,0.028536001220345497,2.9488602727651596
1969,1.3751165866851807,0.9783702380955219,6496000,81200,0.03843361884355545,3.711302931420505
1970,1.5391076803207397,0.9687354937195778,6504000,81300,0.031003346666693687,2.2645017372909932
1969,1.4621813297271729,0.9294988214969635,6512000,81400,0.07056363672018051,3.1633129857480524
1969,1.4526433944702148,0.9750659950077534,6520000,81500,0.035997141152620316,2.2952885403297842
1969,1.3746120929718018,0.9819451533257961,6528000,81600,0.031035372987389565,3.61934798322618
1969,1.376753568649292,0.9615824148058891,6536000,81700,0.042177703231573105,2.468204678595066
1970,1.4310882091522217,0.9748583100736141,6544000,81800,0.04130484536290169,2.870309067517519
1970,1.3932836055755615,0.9831662401556969,6552000,81900,0.020926544442772865,3.011541532538831
1970,1.376028060913086,0.9696038160473108,6560000,82000,0.04497036337852478,3.4005318481475113
1970,1.5294790267944336,0.9319107607007027,6568000,82100,0.10646221786737442,2.057446796470322
1970,1.5195295810699463,0.9801410790532827,6576000,82200,0.01578342914581299,2.737823347002268
1970,1.6170746088027954,0.9296318292617798,6584000,82300,0.056084148585796356,3.076819247752428
1970,1.611138105392456,0.8596905767917633,6592000,82400,0.051837675273418427,2.4877006128430366
1971,1.4224079847335815,0.9043749943375587,6600000,82500,0.1094544306397438,3.283053831756115
1971,1.4260990619659424,0.9728861730545759,6608000,82600,0.02810923382639885,3.0299495331943036
1971,1.411279559135437,0.9579252079129219,6616000,82700,0.044234346598386765,3.1736619964241983
1971,1.5620198249816895,0.9675100930035114,6624000,82800,0.025873351842164993,2.470597906410694
1971,1.4175833463668823,0.9625394605100155,6632000,82900,0.05282438546419144,3.092397129256278
1971,1.4147411584854126,0.969488000497222,6640000,83000,0.05355779454112053,2.7949176419992
1971,1.6289513111114502,0.8543940037488937,6648000,83100,0.14203079044818878,2.444871962396428
1972,1.5173494815826416,0.9595615938305855,6656000,83200,0.028893137350678444,1.9151356640271842
1972,1.4445953369140625,0.9178605899214745,6664000,83300,0.06786423921585083,2.646355802193284
1972,1.5031614303588867,0.9886378664523363,6672000,83400,0.017719373106956482,3.0032555405050516
1972,1.4059861898422241,0.9597495719790459,6680000,83500,0.05692731589078903,2.5720411371439695
1972,1.3595963716506958,0.9733611270785332,6688000,83600,0.03473828732967377,2.9901957377791404
1972,1.4109959602355957,0.9716379344463348,6696000,83700,0.05095680430531502,2.4008373360615223
1972,1.5686442852020264,0.962503757327795,6704000,83800,0.04058321192860603,2.5854093050584197
1972,1.514977216720581,0.9305528402328491,6712000,83900,0.06584255397319794,2.664674013853073
1972,1.4759052991867065,0.9753167647868395,6720000,84000,0.03190460056066513,2.3743741624057293
1972,1.511742353439331,0.976356128230691,6728000,84100,0.0209389366209507,2.6517512724967673
1973,1.4215766191482544,0.8996243551373482,6736000,84200,0.08392536640167236,2.941779855079949
1973,1.482869267463684,0.8999941423535347,6744000,84300,0.10059942305088043,2.5985758102702676
1973,1.4345612525939941,0.727897584438324,6752000,84400,0.14325061440467834,3.026140695810318
1973,1.4206314086914062,0.9484042339026928,6760000,84500,0.05727007985115051,2.6214030001312496
1973,1.4915138483047485,0.9742448143661022,6768000,84600,0.03505634143948555,3.386691428348422
1973,1.415191650390625,0.9456855431199074,6776000,84700,0.03811424598097801,2.6524021338671444
1973,1.452181100845337,0.9758214112371206,6784000,84800,0.02999340370297432,2.8620022486895325
1973,1.5203157663345337,0.9288209229707718,6792000,84900,0.054584991186857224,2.5747316467575727
1974,1.271844744682312,0.8653895258903503,6800000,85000,0.21252664923667908,2.9214429880492387
1974,1.4073617458343506,0.9631540402770042,6808000,85100,0.049947403371334076,3.1405025436310097
1974,1.4867286682128906,0.8085871338844299,6816000,85200,0.4778408110141754,2.65017358250916
1974,1.4832334518432617,0.9772521872073412,6824000,85300,0.027255263179540634,2.821410056296736
1974,1.4212698936462402,0.9584944844245911,6832000,85400,0.06876712292432785,2.299615388736129
1974,1.4358761310577393,0.9577536657452583,6840000,85500,0.06279956549406052,3.0303999610245227
1974,1.4769920110702515,0.9341449961066246,6848000,85600,0.07138193398714066,2.839499456807971
1974,1.4055519104003906,0.9828145727515221,6856000,85700,0.021167617291212082,2.3294330475036986
1974,1.4388548135757446,0.989030628465116,6864000,85800,0.021940601989626884,3.613454731926322
