fps,nupdates,avg reward,total_timesteps,value_loss,explained_variance,policy_entropy
1905,24000,1.4143859023228287,1920000,0.0709681585431099,0.873343288898468,1.7061017751693726
1905,24100,1.575764531083405,1928000,0.023543860763311386,0.9404032975435257,1.7131372690200806
1905,24200,1.1983476465567946,1936000,0.04559134691953659,0.7678690403699875,1.7694227695465088
1905,24300,1.15775925796479,1944000,0.016937565058469772,0.9684843346476555,1.71584951877594
1905,24400,1.3303878396283835,1952000,0.004874897189438343,0.9936198159120977,1.7180633544921875
1905,24500,1.689819799363613,1960000,0.005264930427074432,0.9912043418735266,1.6998968124389648
1905,24600,1.560589098650962,1968000,0.131119966506958,0.6955605149269104,1.6731774806976318
1905,24700,1.5624828524887562,1976000,0.015523585490882397,0.9609792232513428,1.737877607345581
1905,24800,1.6172196425497531,1984000,0.02920113131403923,0.9185276105999947,1.7432806491851807
1905,24900,1.274095019698143,1992000,0.025522705167531967,0.9369368553161621,1.756049394607544
1905,25000,1.6209127850830556,2000000,0.017149681225419044,0.9607549123466015,1.7527706623077393
1905,25100,1.4462456833571196,2008000,0.022897154092788696,0.8849830329418182,1.7468551397323608
1905,25200,1.3179797273129226,2016000,0.018396636471152306,0.9522047825157642,1.7548573017120361
1905,25300,1.6221988916397094,2024000,0.01128828153014183,0.9719441328197718,1.7064701318740845
1905,25400,1.3369642792269587,2032000,0.02783280238509178,0.9404798410832882,1.74761164188385
1905,25500,2.0457628846168516,2040000,0.03549817204475403,0.948266327381134,1.681633710861206
1905,25600,1.2623998895287514,2048000,0.009818920865654945,0.971192492172122,1.7399013042449951
