fps,avg reward,nupdates,explained_variance,learning rate,epsilonValue,value_loss,total_timesteps,policy_entropy
1781,3.170544258505106,42900,-4.004086494445801,0.001,0.0007272674363255627,12.099615097045898,3432000,1.459877371788025
1781,2.351096439734101,43000,0.9939602022059262,0.001,0.0007272674363255627,0.013552844524383545,3440000,1.6196686029434204
1782,5.852709758281708,43100,0.9920486081391573,0.001,0.0007272674363255627,0.26460176706314087,3448000,1.3661400079727173
1782,3.108937270566821,43200,0.9932486130855978,0.001,0.0007272674363255627,0.02309226617217064,3456000,1.5659523010253906
1782,2.367521930858493,43300,0.9808296747505665,0.001,0.0007272674363255627,0.0701189860701561,3464000,1.475562334060669
1783,1.7002996080555022,43400,0.9876899057999253,0.001,0.0007272674363255627,0.03744213283061981,3472000,1.4052140712738037
1783,1.0381406020373105,43500,0.9732440561056137,0.001,0.0007272674363255627,0.007515867240726948,3480000,1.6227699518203735
1783,2.119138664007187,43600,0.9823685232549906,0.001,0.0007272674363255627,0.03134249895811081,3488000,1.5366573333740234
1783,2.450371964275837,43700,0.9822938721626997,0.001,0.0007272674363255627,0.0490945503115654,3496000,1.6034629344940186
1784,3.267133481428027,43800,0.3811926245689392,0.001,0.0007272674363255627,2.2944111824035645,3504000,1.435516595840454
1784,1.5881107941269874,43900,0.9901219261810184,0.001,0.0007272674363255627,0.016909923404455185,3512000,1.592963457107544
1784,2.3744417153298856,44000,0.9929336667992175,0.001,0.0007272674363255627,0.02361871302127838,3520000,1.5449079275131226
1784,2.8869054218754173,44100,0.9059605076909065,0.001,0.0007272674363255627,0.34845465421676636,3528000,1.453485131263733
1785,2.8749832682311536,44200,0.9876244738698006,0.001,0.0007272674363255627,0.022065047174692154,3536000,1.3492400646209717
1785,2.4988649438135324,44300,0.9932975405827165,0.001,0.0007272674363255627,0.023640472441911697,3544000,1.4431970119476318
1785,3.6488108154386283,44400,0.8857486099004745,0.001,0.0007272674363255627,0.4607999324798584,3552000,1.4499742984771729
1785,3.9670948002487423,44500,0.9957440798170865,0.001,0.0007272674363255627,0.026389246806502342,3560000,1.4542083740234375
1785,1.4629151128232478,44600,0.9751733466982841,0.001,0.0007272674363255627,0.023747554048895836,3568000,1.6113693714141846
1785,2.521966367214918,44700,0.9604198075830936,0.001,0.0007272674363255627,0.0872962474822998,3576000,1.6215369701385498
1786,2.2128440169617534,44800,0.9756542164832354,0.001,0.0007272674363255627,0.055489588528871536,3584000,1.5089190006256104
1786,2.342524134553969,44900,0.9909016285091639,0.001,0.0007272674363255627,0.03344558924436569,3592000,1.494625449180603
1786,4.322793554142118,45000,0.9803315699100494,0.001,0.0007272674363255627,0.5211167335510254,3600000,1.513644814491272
1786,1.7482615429908037,45100,0.9822622779756784,0.001,0.0007272674363255627,0.03481914848089218,3608000,1.574995756149292
1786,3.0608051531016827,45200,0.9746249411255121,0.001,0.0007272674363255627,0.0740613341331482,3616000,1.5434318780899048
1787,2.395408410392702,45300,0.9948312509804964,0.001,0.0007272674363255627,0.011435714550316334,3624000,1.5565136671066284
1787,2.485661291331053,45400,0.9932664944790304,0.001,0.0007272674363255627,0.013223287649452686,3632000,1.5795273780822754
1788,2.5752741556614636,45500,0.9907157681882381,0.001,0.0007272674363255627,0.031360842287540436,3640000,1.5620174407958984
1788,2.9034894982352855,45600,0.9499830566346645,0.001,0.0007272674363255627,0.17165860533714294,3648000,1.5294535160064697
