nupdates,total_timesteps,fps,policy_entropy,explained_variance,value_loss,epsilonValue,avg reward
27500,2200000,1869,1.7049400806427002,0.9236832559108734,0.03917890042066574,0.0007272674597696427,1.6001458052080124
27600,2208000,1869,1.6599689722061157,0.9724089466035366,0.015009547583758831,0.0007272674597696427,1.3628168592229486
27700,2216000,1870,1.699353814125061,0.977975282818079,0.005574268754571676,0.0007272674597696427,1.1007703892886638
27800,2224000,1870,1.711285948753357,0.9090472534298897,0.025210881605744362,0.0007272674597696427,1.3658966258168221
27900,2232000,1869,1.675218939781189,0.9786736220121384,0.010437793098390102,0.0007272674597696427,1.624432966671884
28000,2240000,1869,1.6786377429962158,0.9173744544386864,0.03850926086306572,0.0007272674597696427,1.603581023029983
28100,2248000,1869,1.7024158239364624,0.9789822958409786,0.008309406228363514,0.0007272674597696427,0.9829572932445444
28200,2256000,1870,1.5967286825180054,0.9826532118022442,0.011751470156013966,0.0007272674597696427,1.334661122225225
28300,2264000,1870,1.677558183670044,0.9688772540539503,0.018532661721110344,0.0007272674597696427,1.3772247356828302
28400,2272000,1870,1.70574951171875,0.982216764241457,0.007834968157112598,0.0007272674597696427,1.224393143132329
28500,2280000,1870,1.5936033725738525,0.9526799097657204,0.024746697396039963,0.0007272674597696427,2.229015117511153
28600,2288000,1870,1.701046347618103,0.926857553422451,0.030867800116539,0.0007272674597696427,1.4408318932168185
28700,2296000,1871,1.7034995555877686,0.9310253635048866,0.020635267719626427,0.0007272674597696427,1.3523016735911368
28800,2304000,1871,1.6849349737167358,0.9650685004889965,0.012136027216911316,0.0007272674597696427,1.8134243643842638
28900,2312000,1871,1.5710169076919556,0.9353734254837036,0.035077814012765884,0.0007272674597696427,1.0885690721333958
29000,2320000,1871,1.5918381214141846,0.9743374641984701,0.02145608887076378,0.0007272674597696427,1.8556350668892265
29100,2328000,1871,1.7132444381713867,0.9554351195693016,0.011462406255304813,0.0007272674597696427,1.3681617595255375
29200,2336000,1871,1.7115932703018188,0.9416973181068897,0.010668186470866203,0.0007272674597696427,0.939531373931095
