fps,avg reward,nupdates,total_timesteps,policy_entropy,explained_variance,value_loss
1779,1.2188530455343425,5300,424000,1.6880340576171875,0.9233762100338936,0.028756584972143173
1783,1.2178042512852698,5400,432000,1.6636282205581665,0.9880067026242614,0.009033145383000374
1785,1.5197054969146848,5500,440000,1.6636238098144531,0.9630036279559135,0.01922062411904335
1787,1.6800245877355338,5600,448000,1.5121264457702637,0.966833271086216,0.02349095605313778
1788,1.2637202989310026,5700,456000,1.6130361557006836,0.9385536313056946,0.01213583629578352
1790,1.197718061087653,5800,464000,1.6330353021621704,0.9576986208558083,0.019488384947180748
1789,0.9349638439482078,5900,472000,1.7009687423706055,0.8878868892788887,0.042013783007860184
1790,1.0281038641929627,6000,480000,1.6966111660003662,0.996149810962379,0.0014170315116643906
1791,1.4225183727219701,6100,488000,1.624011754989624,0.9412188082933426,0.03715475648641586
1793,1.3171987291425467,6200,496000,1.644407868385315,0.9769103210419416,0.013253716751933098
1794,1.908899312466383,6300,504000,1.573436975479126,0.9839680530130863,0.009136851876974106
1794,1.101204970665276,6400,512000,1.6197826862335205,0.9188410341739655,0.04072221368551254
1795,1.272310931608081,6500,520000,1.658725380897522,0.9611332081258297,0.01329834945499897
1795,0.8827629527528188,6600,528000,1.6594269275665283,0.9671885669231415,0.013262125663459301
1796,1.6649854409508407,6700,536000,1.5725669860839844,0.9478665292263031,0.0386798232793808
1796,1.142709406465292,6800,544000,1.6513837575912476,0.9378814287483692,0.016554106026887894
1797,2.2201337952166798,6900,552000,1.5577828884124756,0.9837769269943237,0.0068983351811766624
1798,1.5120610365644098,7000,560000,1.5318238735198975,0.9381760843098164,0.021777557209134102
1798,1.1490135751664639,7100,568000,1.6579735279083252,0.9814350958913565,0.0068437145091593266
1799,1.068100430443883,7200,576000,1.6632788181304932,0.969366880133748,0.012194475159049034
1798,0.9721239713020623,7300,584000,1.6743786334991455,0.9913514526560903,0.003987632226198912
1799,1.4008295673294924,7400,592000,1.6339290142059326,0.9352279007434845,0.057105302810668945
1800,1.4955264354124664,7500,600000,1.636113166809082,0.9666263349354267,0.013427851721644402
1799,0.9965142894536256,7600,608000,1.6707077026367188,0.8730903416872025,0.019369639456272125
1800,1.1497721752151846,7700,616000,1.6665830612182617,0.9805174674838781,0.0062875994481146336
1800,2.4856089729815722,7800,624000,1.5055010318756104,0.977844163775444,0.02720399759709835
1800,1.1084879450500011,7900,632000,1.6467911005020142,0.9567283354699612,0.01402672566473484
1798,1.2292475807480514,8000,640000,1.673429250717163,0.9336606338620186,0.02095470204949379
1797,1.7208277862519026,8100,648000,1.6297626495361328,0.9910823684185743,0.006135635077953339
1795,0.9096808112924919,8200,656000,1.6775295734405518,0.9576417207717896,0.012853453867137432
1793,1.0618682030588389,8300,664000,1.6877018213272095,0.9835234899073839,0.004573156125843525
1790,1.1007375889457762,8400,672000,1.6505239009857178,0.9434133507311344,0.02412671595811844
1789,1.6941294828429818,8500,680000,1.6371738910675049,0.8419430106878281,0.040837399661540985
1790,1.2929454281926156,8600,688000,1.607356071472168,0.9810770340263844,0.0131297018378973
1790,1.8205908767879009,8700,696000,1.576384425163269,0.9156063422560692,0.01738240011036396
1789,0.8654755600728095,8800,704000,1.6905193328857422,0.9827171433717012,0.0024882014840841293
1788,1.5311572324484586,8900,712000,1.6504005193710327,0.9720280505716801,0.013525347225368023
1787,1.8487870324403048,9000,720000,1.627407431602478,0.9393988251686096,0.016240954399108887
1787,1.5782369528198614,9100,728000,1.5782665014266968,0.969590438529849,0.02102343924343586
1787,1.6180957016069442,9200,736000,1.582306146621704,0.9808298218995333,0.017114361748099327
1787,1.4821379932574927,9300,744000,1.6069246530532837,0.9573765695095062,0.029199933633208275
1787,1.6131991485599428,9400,752000,1.6088165044784546,0.9577168226242065,0.02182351052761078
1787,0.8676697631366551,9500,760000,1.6408398151397705,0.9965502137783915,0.0015537203289568424
1786,1.1297718128189445,9600,768000,1.622028112411499,0.9812610913068056,0.006999008357524872
1786,1.0420516405021771,9700,776000,1.6355693340301514,0.9882742976769805,0.004655524156987667
1786,1.3945736581459642,9800,784000,1.584268569946289,0.9855017308145761,0.008973227813839912
1786,1.3472675726719898,9900,792000,1.624071717262268,0.9819436315447092,0.008339418098330498
1787,1.2446145200636238,10000,800000,1.6149622201919556,0.972077963873744,0.014806894585490227
1788,1.3166769827716052,10100,808000,1.5756744146347046,0.9484087899327278,0.021631617099046707
1788,1.2542314546182751,10200,816000,1.5919125080108643,0.9951455448754132,0.0023441179655492306
1788,1.202102260151878,10300,824000,1.5726191997528076,0.9730354510247707,0.012138018384575844
1787,1.1577510364353656,10400,832000,1.6131811141967773,0.9764483515173197,0.006134261377155781
1788,1.162878619832918,10500,840000,1.6208817958831787,0.9524014815688133,0.02177109196782112
1789,1.580640103854239,10600,848000,1.5562140941619873,0.9898884817957878,0.008160070516169071
1789,1.804881040751934,10700,856000,1.5796856880187988,0.9845271436497569,0.007674448192119598
1789,1.2037640266120433,10800,864000,1.6090137958526611,0.9968040857929736,0.0016568178543820977
1790,1.0967651197686792,10900,872000,1.6095249652862549,0.9884318429976702,0.0075147440657019615
1789,1.9787796235643327,11000,880000,1.5626741647720337,0.9405491165816784,0.04652857780456543
1789,1.1813752718735486,11100,888000,1.6364713907241821,0.9575702622532845,0.01854853332042694
1789,0.9886741423979402,11200,896000,1.6350921392440796,0.9590670838952065,0.02779514715075493
1789,1.2342860798351467,11300,904000,1.649397611618042,0.968022096902132,0.01649913564324379
1789,1.8829182595014573,11400,912000,1.5350085496902466,0.983474425971508,0.01605788804590702
1788,1.662786361668259,11500,920000,1.603375792503357,0.9924401137977839,0.0035523187834769487
1788,1.1571566378697753,11600,928000,1.6363950967788696,0.9543602950870991,0.014317655935883522
1788,1.4079089295119047,11700,936000,1.6105009317398071,0.982802988961339,0.008357827551662922
1788,1.162418534606695,11800,944000,1.6617555618286133,0.9774698335677385,0.00994443241506815
1789,1.4948591945692897,11900,952000,1.5928834676742554,0.9912670329213142,0.0061650509014725685
1789,1.5184255586005748,12000,960000,1.6423267126083374,0.8717353343963623,0.06854064017534256
1789,0.82768112719059,12100,968000,1.7209417819976807,0.9879040773957968,0.003269720124080777
1790,1.1831285362131894,12200,976000,1.7045519351959229,0.8515371382236481,0.03912992402911186
1790,1.1781829949468374,12300,984000,1.6746076345443726,0.9723680298775434,0.009871919639408588
1790,1.4840851011686027,12400,992000,1.670132040977478,0.972344446927309,0.010233109816908836
1791,1.513419611006975,12500,1000000,1.6424146890640259,0.9741396382451057,0.010460634715855122
1791,1.087881365371868,12600,1008000,1.6459022760391235,0.9856137903407216,0.0036271989811211824
