fps,explained_variance,total_timesteps,value_loss,avg reward,policy_entropy,nupdates
1997,-0.6577043533325195,3160000,4.296948645787779e-06,-6.806994169892278e-05,2.1972222328186035,39500
1998,-0.17764508724212646,3168000,1.3058668628218584e-05,-0.00042263205541530623,2.197219133377075,39600
1998,0.3161044716835022,3176000,1.6487368839079863e-06,0.0006392021210558596,2.1972203254699707,39700
1998,-0.29188013076782227,3184000,1.1268879461567849e-05,-0.0013221686447650427,2.1972193717956543,39800
1997,-0.10415768623352051,3192000,3.27116367770941e-06,0.002212609951857303,2.1972222328186035,39900
1997,-1.6421911716461182,3200000,3.885141723003471e-06,0.000490983300642256,2.197221279144287,40000
1997,0.00288236141204834,3208000,4.834679657506058e-06,-0.00025066856851481135,2.197211742401123,40100
1997,-0.2857097387313843,3216000,3.624943246904877e-06,-0.0002478070919551101,2.197221279144287,40200
1998,-0.44457006454467773,3224000,1.2748132576234639e-05,-8.512493441230618e-05,2.197221040725708,40300
1998,0.1721554398536682,3232000,1.7264740108657861e-06,-0.002344821486622095,2.1972198486328125,40400
1998,-1.5636906623840332,3240000,2.098296863550786e-05,0.004727353104681242,2.197216510772705,40500
1997,0.07819104194641113,3248000,3.8053353819123004e-06,-0.0009169676219244139,2.197221279144287,40600
1997,-0.6160004138946533,3256000,4.736588380183093e-06,-0.00013510431444956338,2.197211265563965,40700
1997,-0.26106512546539307,3264000,4.0686163629288785e-06,0.0010647835003055662,2.1972217559814453,40800
1997,-1.5011141300201416,3272000,1.9900004190276377e-05,0.0018420708058329183,2.1972174644470215,40900
1997,0.1273479461669922,3280000,1.1778145108110039e-06,0.0004224981270454009,2.197221517562866,41000
1998,-2.23520565032959,3288000,1.4677591025247239e-05,-0.0009710229502161383,2.1972193717956543,41100
1997,-0.6979196071624756,3296000,1.0741886399046052e-05,0.0005100110738567309,2.197221279144287,41200
1997,-0.5905653238296509,3304000,3.3773176255635917e-06,0.0013165435097107548,2.1972217559814453,41300
