total_timesteps,explained_variance,learning rate,value_loss,nupdates,avg reward,fps,policy_entropy
4368000,0.9396095387637615,0.001,0.0448058620095253,54600,2.195000723004341,1947,1.5742268562316895
4376000,0.9256531447172165,0.001,0.08168130367994308,54700,1.8746787958953064,1947,1.6314531564712524
4384000,0.9502616710960865,0.001,0.0424174889922142,54800,2.459201377630234,1947,1.6382436752319336
4392000,0.9672617763280869,0.001,0.019686486572027206,54900,1.7497930637560786,1947,1.598547339439392
4400000,0.9027184620499611,0.001,0.06909307092428207,55000,1.8401295445859431,1947,1.6229490041732788
4408000,0.9010358527302742,0.001,0.06846237182617188,55100,2.03071211501956,1948,1.67831289768219
4416000,0.922844409942627,0.001,0.038620300590991974,55200,1.9757511537522077,1948,1.6065399646759033
4424000,0.9470273517072201,0.001,0.04044752195477486,55300,2.7070858443155883,1948,1.5330212116241455
4432000,0.9426211081445217,0.001,0.04701392352581024,55400,2.5327274449169637,1948,1.5514881610870361
4440000,0.9549565091729164,0.001,0.03697552904486656,55500,2.5129074750468137,1948,1.5455513000488281
4448000,0.7609863430261612,0.001,0.19393108785152435,55600,2.361978114582598,1948,1.496312141418457
4456000,0.9619628638029099,0.001,0.044513046741485596,55700,3.4394058749079703,1948,1.547772765159607
4464000,0.9380404576659203,0.001,0.06339765340089798,55800,1.5360482662916184,1948,1.5726840496063232
4472000,0.9642858766019344,0.001,0.031092321500182152,55900,3.0727733194828035,1948,1.5641345977783203
4480000,0.9028678312897682,0.001,0.06402090936899185,56000,2.5746564981527627,1948,1.6242878437042236
4488000,0.9552691392600536,0.001,0.03382256254553795,56100,2.733317040652037,1948,1.604909896850586
4496000,0.9723250772804022,0.001,0.013520839624106884,56200,2.0109101574867965,1949,1.6808345317840576
4504000,0.9661632254719734,0.001,0.024101879447698593,56300,2.0733627153385896,1949,1.6264736652374268
4512000,0.9312741160392761,0.001,0.04419850930571556,56400,2.5579976379871368,1949,1.5551371574401855
4520000,0.9579073339700699,0.001,0.02112356387078762,56500,2.6642062559723856,1949,1.5116537809371948
4528000,0.9497688412666321,0.001,0.03018643893301487,56600,2.9367973528802396,1949,1.6242644786834717
4536000,0.7430701553821564,0.001,0.14162540435791016,56700,3.535244345664978,1949,1.5580888986587524
4544000,0.946905754506588,0.001,0.06063985824584961,56800,2.771392050385475,1950,1.4916553497314453
4552000,0.9519123286008835,0.001,0.025539744645357132,56900,2.028911164496094,1950,1.6392536163330078
4560000,0.9648681990802288,0.001,0.023499060422182083,57000,2.5325855502393098,1950,1.4678884744644165
4568000,0.8743986189365387,0.001,0.09861457347869873,57100,1.8684579007327557,1950,1.6198574304580688
4576000,0.8115300983190536,0.001,0.0925394594669342,57200,2.206664131581783,1950,1.496313452720642
4584000,0.9438058026134968,0.001,0.0412493497133255,57300,2.8209224823862313,1951,1.5402567386627197
4592000,0.8027554005384445,0.001,0.11717294156551361,57400,2.3384924152866007,1951,1.5870380401611328
4600000,0.9272458255290985,0.001,0.03351215645670891,57500,1.9192022807896136,1951,1.6155122518539429
4608000,0.35373902320861816,0.001,0.18178440630435944,57600,1.470628562849015,1951,1.5664194822311401
4616000,0.9118626266717911,0.001,0.05829969048500061,57700,1.9704088475555182,1951,1.4985392093658447
4624000,0.8226053267717361,0.001,0.03149733319878578,57800,2.0678631216287613,1951,1.6509758234024048
4632000,0.9241462647914886,0.001,0.038721539080142975,57900,1.9940895633772016,1951,1.5956180095672607
4640000,0.9429046772420406,0.001,0.027796190232038498,58000,1.0764807466417552,1951,1.6496162414550781
4648000,0.9397278092801571,0.001,0.025684889405965805,58100,2.423449794203043,1951,1.5669175386428833
4656000,0.9276395291090012,0.001,0.02895091101527214,58200,2.3053528463467954,1951,1.609276533126831
4664000,0.8989552035927773,0.001,0.05670163035392761,58300,2.4384004650637507,1951,1.594008445739746
4672000,0.9681707955896854,0.001,0.026840273290872574,58400,1.8064905599690975,1952,1.6583648920059204
4680000,0.9796632286161184,0.001,0.017885856330394745,58500,2.5538179339841007,1952,1.4822850227355957
4688000,0.8926681727170944,0.001,0.09054393321275711,58600,2.388524432852864,1952,1.5506205558776855
4696000,0.938509963452816,0.001,0.052598290145397186,58700,2.002185326628387,1952,1.490687370300293
4704000,0.8955790773034096,0.001,0.07658945024013519,58800,2.095525474846363,1952,1.6057828664779663
4712000,0.8679795563220978,0.001,0.037042975425720215,58900,2.9291672959923742,1952,1.559079885482788
4720000,0.9023688659071922,0.001,0.05146939679980278,59000,2.159782137721777,1952,1.6075074672698975
4728000,0.8425096422433853,0.001,0.1703619658946991,59100,3.3804856285452844,1952,1.446502685546875
4736000,0.9562639631330967,0.001,0.029001865535974503,59200,2.509608122264035,1952,1.4443687200546265
4744000,0.9665848314762115,0.001,0.017364973202347755,59300,1.9624731218907983,1952,1.5663294792175293
4752000,0.8412182927131653,0.001,0.05809181183576584,59400,2.8316749963909387,1952,1.4963099956512451
4760000,0.9624270461499691,0.001,0.021833227947354317,59500,2.1368069138377903,1952,1.461343765258789
4768000,0.9580800905823708,0.001,0.026094740256667137,59600,2.7152699925005437,1952,1.4766618013381958
4776000,0.8592125922441483,0.001,0.07923271507024765,59700,2.8944990925490854,1953,1.5446206331253052
4784000,0.9555518887937069,0.001,0.04229459911584854,59800,2.432126227021217,1953,1.5402716398239136
4792000,0.9475115574896336,0.001,0.04088665172457695,59900,2.0971847469336353,1953,1.5129754543304443
4800000,0.9484790191054344,0.001,0.05461934953927994,60000,2.4661527099087834,1953,1.60556960105896
4808000,0.9166237637400627,0.001,0.0705098956823349,60100,3.275775796175003,1953,1.4735832214355469
4816000,0.9344342350959778,0.001,0.03675603121519089,60200,2.75502949655056,1953,1.5411927700042725
4824000,0.9634554572403431,0.001,0.039435386657714844,60300,3.1572126208338886,1954,1.4993908405303955
4832000,0.9530415013432503,0.001,0.07013373076915741,60400,1.8165698303841054,1953,1.604959487915039
4840000,0.9195763617753983,0.001,0.08053813129663467,60500,2.649194513820112,1954,1.5526798963546753
4848000,0.950610801577568,0.001,0.08477888256311417,60600,2.350596587988548,1954,1.4967139959335327
4856000,0.9387546516954899,0.001,0.061379946768283844,60700,1.843510494939983,1954,1.603797197341919
4864000,0.9449047669768333,0.001,0.05234712362289429,60800,2.4408237408846616,1954,1.5153590440750122
4872000,0.8381974548101425,0.001,0.0794626921415329,60900,2.9110020354390143,1954,1.510713815689087
4880000,0.9493568167090416,0.001,0.041968680918216705,61000,2.6761012621223927,1954,1.4853726625442505
4888000,0.9580676630139351,0.001,0.029971981421113014,61100,1.84061422906816,1955,1.5830532312393188
4896000,0.9463409408926964,0.001,0.043530069291591644,61200,2.56510923281312,1955,1.3603668212890625
4904000,0.9660261794924736,0.001,0.031021282076835632,61300,2.556217607855797,1955,1.5556700229644775
4912000,0.9327316358685493,0.001,0.03316265344619751,61400,2.841243422217667,1955,1.503846526145935
4920000,0.7969554215669632,0.001,0.14286768436431885,61500,2.142667996697128,1955,1.4828245639801025
4928000,0.9746881164610386,0.001,0.02750379964709282,61600,2.4028613291680814,1955,1.5000648498535156
4936000,0.9635716341435909,0.001,0.034963980317115784,61700,2.55704500451684,1956,1.4909980297088623
4944000,0.9292690828442574,0.001,0.11210739612579346,61800,2.511173245171085,1956,1.5513709783554077
4952000,0.8578063994646072,0.001,0.07351057976484299,61900,2.3568544797599316,1956,1.4889862537384033
4960000,0.8281905651092529,0.001,0.11440235376358032,62000,2.584336727950722,1956,1.512239694595337
4968000,0.9809030499309301,0.001,0.02350124530494213,62100,2.6406683219596743,1956,1.504791498184204
4976000,0.9211194515228271,0.001,0.028638619929552078,62200,2.6040252089500426,1956,1.4998935461044312
4984000,0.9617059864103794,0.001,0.02550797164440155,62300,2.494160623848438,1956,1.4456361532211304
4992000,0.8918386921286583,0.001,0.07256177812814713,62400,2.686124128848314,1957,1.4515066146850586
5000000,0.9886822253465652,0.001,0.011255944147706032,62500,2.366564759146422,1957,1.503571629524231
5008000,0.7517676949501038,0.001,0.14852656424045563,62600,2.1811253384454177,1957,1.4567276239395142
5016000,0.9770900048315525,0.001,0.01987716555595398,62700,1.9105795896612108,1957,1.5219173431396484
5024000,0.9822349436581135,0.001,0.022643566131591797,62800,2.633169459924102,1957,1.4781901836395264
5032000,0.9285721033811569,0.001,0.04040556028485298,62900,2.5126844476908445,1957,1.5630781650543213
5040000,0.9271038323640823,0.001,0.051386576145887375,63000,2.1605932831356767,1957,1.5044057369232178
5048000,0.9174695163965225,0.001,0.04192671924829483,63100,2.545214771479368,1957,1.5391969680786133
5056000,0.8930282443761826,0.001,0.14957763254642487,63200,2.9135898280888797,1958,1.565542459487915
5064000,0.9370480328798294,0.001,0.0749865248799324,63300,2.713015409000218,1958,1.4879553318023682
5072000,0.9671564102172852,0.001,0.044831953942775726,63400,2.292916396819055,1958,1.5325682163238525
5080000,0.8492984026670456,0.001,0.04965076595544815,63500,2.6190630316734316,1958,1.445376992225647
5088000,0.9579596221446991,0.001,0.03757514804601669,63600,2.926875327527523,1958,1.5499992370605469
5096000,0.9493057727813721,0.001,0.027134135365486145,63700,2.5255688220262527,1958,1.4876813888549805
5104000,0.9600205160677433,0.001,0.042598336935043335,63800,3.2487144842743874,1958,1.414751410484314
5112000,0.8819732591509819,0.001,0.045988310128450394,63900,2.2167920261621474,1958,1.4469584226608276
5120000,0.9636789672076702,0.001,0.05445528030395508,64000,3.1938996303826572,1959,1.442307710647583
5128000,0.8808972761034966,0.001,0.047211430966854095,64100,1.811456592567265,1959,1.5079013109207153
5136000,0.8775493204593658,0.001,0.03912630304694176,64200,2.6978866919875144,1959,1.4066106081008911
5144000,0.9338625445961952,0.001,0.044454507529735565,64300,2.3486870430409907,1959,1.5795825719833374
5152000,0.7859180718660355,0.001,0.2548346221446991,64400,2.315725344233215,1960,1.4582374095916748
5160000,0.9536125250160694,0.001,0.024255309253931046,64500,2.110399052873254,1960,1.4779486656188965
5168000,0.8774661347270012,0.001,0.10567837953567505,64600,2.302544216066599,1960,1.6034634113311768
5176000,0.8907011076807976,0.001,0.05462869256734848,64700,3.3513773933053015,1960,1.3804811239242554
5184000,0.877520814538002,0.001,0.05008985474705696,64800,2.5205022037029265,1960,1.3469159603118896
5192000,0.9460216723382473,0.001,0.02942158281803131,64900,3.6144920244812964,1960,1.4543821811676025
5200000,0.9669555239379406,0.001,0.029699167236685753,65000,2.392623643018305,1960,1.5146440267562866
5208000,0.8342162668704987,0.001,0.06639984995126724,65100,2.6402083590626715,1960,1.5808013677597046
5216000,0.9428855739533901,0.001,0.044050898402929306,65200,2.6713450253009796,1961,1.5526851415634155
5224000,0.9409747533500195,0.001,0.03435971960425377,65300,2.168493027985096,1961,1.6014143228530884
5232000,0.9503589533269405,0.001,0.025842225179076195,65400,2.3389370056800542,1961,1.5737450122833252
5240000,0.9477820433676243,0.001,0.062100183218717575,65500,2.7112264364957808,1961,1.583595871925354
5248000,0.8824985101819038,0.001,0.0932503417134285,65600,2.427659195289016,1961,1.5536682605743408
5256000,0.991185606457293,0.001,0.014211493544280529,65700,2.3734666254371404,1961,1.4678223133087158
5264000,0.9532056003808975,0.001,0.024995774030685425,65800,2.7476046815514565,1962,1.5533273220062256
5272000,0.9267389178276062,0.001,0.055499523878097534,65900,2.3125743379816415,1962,1.5606176853179932
