policy_entropy,explained_variance,avg reward,nupdates,learning rate,total_timesteps,value_loss,fps
1.7872846126556396,0.8052622675895691,-1.9652439683675766,18800,0.001,1504000,0.01558280922472477,2070
1.788787841796875,0.9282787591218948,-2.0883861601352693,18900,0.001,1512000,0.006036749575287104,2070
1.7895221710205078,0.8640685379505157,-1.756199625134468,19000,0.001,1520000,0.019471827894449234,2070
1.7827411890029907,0.7485336363315582,-2.473331445455551,19100,0.001,1528000,0.030841607600450516,2070
1.78572678565979,0.8371517658233643,-1.5486183628439902,19200,0.001,1536000,0.01716001331806183,2070
1.7838414907455444,0.8915188759565353,-1.8580225482583046,19300,0.001,1544000,0.006682343780994415,2070
1.7858562469482422,0.9672311544418335,-1.9432550005614757,19400,0.001,1552000,0.006006424780935049,2070
1.7827789783477783,0.8487720489501953,-1.98937499076128,19500,0.001,1560000,0.0119793014600873,2070
1.7873973846435547,0.9324217289686203,-1.661695335805416,19600,0.001,1568000,0.004875852260738611,2070
1.7855905294418335,0.8035442233085632,-1.927957072854042,19700,0.001,1576000,0.011156887747347355,2070
1.7874597311019897,0.9154779836535454,-1.8016611233353614,19800,0.001,1584000,0.008597793988883495,2070
1.7890675067901611,0.7183421552181244,-1.9502397567033767,19900,0.001,1592000,0.014515692368149757,2070
1.78717839717865,0.8458124250173569,-1.4611444398760796,20000,0.001,1600000,0.010913300327956676,2070
1.7849467992782593,0.958596121519804,-1.8508536770939827,20100,0.001,1608000,0.0072194598615169525,2070
1.7842744588851929,0.9035149440169334,-2.0420934900641443,20200,0.001,1616000,0.008293643593788147,2070
1.78464674949646,0.9678030721843243,-1.8216497428715228,20300,0.001,1624000,0.0056318012066185474,2070
1.7822450399398804,0.8627005070447922,-2.268669345974922,20400,0.001,1632000,0.015372738242149353,2070
1.78610360622406,0.9229943677783012,-1.9603069558739663,20500,0.001,1640000,0.010449569672346115,2071
1.7887929677963257,0.7725268304347992,-1.8324540644884109,20600,0.001,1648000,0.017445189878344536,2071
1.7874534130096436,0.8525052666664124,-1.7800605349242686,20700,0.001,1656000,0.013308433815836906,2070
1.7872247695922852,0.8973495066165924,-1.9136194631457328,20800,0.001,1664000,0.021795179694890976,2070
1.786658525466919,0.8953256905078888,-2.0475938476622106,20900,0.001,1672000,0.00882907584309578,2071
1.7838165760040283,0.9288256987929344,-1.997149570286274,21000,0.001,1680000,0.008963383734226227,2071
1.7771708965301514,0.7502869218587875,-1.8741986811161042,21100,0.001,1688000,0.019381726160645485,2070
1.7833486795425415,0.8974729478359222,-1.7883326396346093,21200,0.001,1696000,0.0086243636906147,2071
1.7825019359588623,0.8971550911664963,-2.039055009186268,21300,0.001,1704000,0.013845769688487053,2070
1.78253972530365,0.9741834457963705,-1.761349506676197,21400,0.001,1712000,0.0028903360944241285,2070
1.7818872928619385,0.9704711306840181,-1.7251794658601285,21500,0.001,1720000,0.003717926098033786,2070
1.7860606908798218,0.9305610284209251,-1.5936104953289032,21600,0.001,1728000,0.007400827016681433,2070
1.7790416479110718,0.8788443431258202,-1.8473423629999162,21700,0.001,1736000,0.017293540760874748,2070
1.7827174663543701,0.8479635715484619,-2.03419855684042,21800,0.001,1744000,0.01548264641314745,2070
1.7864021062850952,0.8808596730232239,-1.8573397804051637,21900,0.001,1752000,0.01697082631289959,2070
1.7823102474212646,0.9595764763653278,-1.8143877193331719,22000,0.001,1760000,0.004057756625115871,2071
1.774226427078247,0.945212360471487,-2.169840957224369,22100,0.001,1768000,0.007136079482734203,2071
1.783233404159546,0.9656683430075645,-2.0625845313072206,22200,0.001,1776000,0.005941605661064386,2070
1.7822773456573486,0.9553024880588055,-1.903544156253338,22300,0.001,1784000,0.008031453937292099,2071
1.7845017910003662,0.6299898624420166,-1.2094494484364986,22400,0.001,1792000,0.014874482527375221,2071
1.7885847091674805,0.9139775037765503,-1.4580773752182723,22500,0.001,1800000,0.01607542857527733,2071
1.7780053615570068,0.7408430874347687,-1.8555384248495101,22600,0.001,1808000,0.02478734962642193,2071
1.7884979248046875,0.87425097823143,-1.684604988247156,22700,0.001,1816000,0.013221288099884987,2071
1.786780595779419,0.8134409040212631,-1.12805902287364,22800,0.001,1824000,0.008486388251185417,2071
1.7852894067764282,0.8355552554130554,-1.9019195541739464,22900,0.001,1832000,0.008182115852832794,2071
1.7873175144195557,0.8774233460426331,-1.5880866169929504,23000,0.001,1840000,0.012017898261547089,2072
1.7789952754974365,0.9216179996728897,-2.2968102946877478,23100,0.001,1848000,0.0072350213304162025,2072
1.7841804027557373,0.9358467906713486,-1.4404504299163818,23200,0.001,1856000,0.008369470946490765,2072
1.7840074300765991,0.6846008598804474,-1.5226295225322246,23300,0.001,1864000,0.026338715106248856,2072
1.782105803489685,0.9767202120274305,-1.6009785741567613,23400,0.001,1872000,0.00538118090480566,2072
1.773309350013733,0.903708279132843,-1.8376516535878182,23500,0.001,1880000,0.011097503826022148,2072
1.7826745510101318,0.6345943212509155,-1.5811945226043462,23600,0.001,1888000,0.03637368604540825,2072
1.7860952615737915,0.86968594789505,-1.7303911715745925,23700,0.001,1896000,0.006075878627598286,2072
1.782570242881775,0.9625095538794994,-1.7784410282969474,23800,0.001,1904000,0.007341665681451559,2072
1.7870715856552124,0.8748098313808441,-1.602789644896984,23900,0.001,1912000,0.010924531146883965,2072
1.7773962020874023,0.8958746194839478,-2.4119944885373115,24000,0.001,1920000,0.011250236071646214,2072
1.780902624130249,0.9531209766864777,-2.0527033172547817,24100,0.001,1928000,0.00765489274635911,2072
1.7721058130264282,0.7211947739124298,-1.8381308645009995,24200,0.001,1936000,0.009556478820741177,2072
1.773403525352478,0.6278221607208252,-2.2296599194407465,24300,0.001,1944000,0.01618633233010769,2072
1.7743003368377686,0.8059686720371246,-2.0254095792770386,24400,0.001,1952000,0.020329168066382408,2072
1.7826545238494873,0.9096199721097946,-1.6099849291145802,24500,0.001,1960000,0.0075422837398946285,2072
1.7723972797393799,0.7895010709762573,-1.9994146510958672,24600,0.001,1968000,0.01738610677421093,2072
1.7716867923736572,0.9200108349323273,-2.0157607033848763,24700,0.001,1976000,0.011640692129731178,2072
1.7745611667633057,0.9584964290261269,-1.9188442774116994,24800,0.001,1984000,0.009247141890227795,2071
1.7743167877197266,0.8590286672115326,-2.0501163631677626,24900,0.001,1992000,0.011444983072578907,2071
1.7732658386230469,0.9549795910716057,-1.8162021100521089,25000,0.001,2000000,0.005841672886162996,2072
1.7762523889541626,0.961778562515974,-2.0667791426181794,25100,0.001,2008000,0.002948130015283823,2072
1.7769110202789307,0.8833159804344177,-1.6815515518188477,25200,0.001,2016000,0.010441722348332405,2072
1.7738382816314697,0.9223858565092087,-1.8320785284042358,25300,0.001,2024000,0.00561606977134943,2072
1.7703449726104736,0.9071890264749527,-1.6080776467919349,25400,0.001,2032000,0.008962283842265606,2072
1.782820463180542,0.7968848347663879,-1.6458058431744576,25500,0.001,2040000,0.012376191094517708,2072
1.7827495336532593,0.8705836981534958,-1.6086572349071502,25600,0.001,2048000,0.013741490431129932,2072
1.7710154056549072,0.8482704907655716,-1.8869183197617532,25700,0.001,2056000,0.011296899989247322,2073
1.7773748636245728,0.9509303234517574,-1.3728681847453117,25800,0.001,2064000,0.0050567276775836945,2073
1.769913911819458,0.8993215039372444,-1.8426791965961455,25900,0.001,2072000,0.009293003007769585,2073
1.7651313543319702,0.8205250352621078,-1.7622610837221147,26000,0.001,2080000,0.012330327183008194,2073
1.7799911499023438,0.8839521110057831,-1.7673942223191261,26100,0.001,2088000,0.015050655230879784,2073
1.7799049615859985,0.8339547365903854,-2.0107199594378473,26200,0.001,2096000,0.01614503376185894,2073
1.776453971862793,0.8905366584658623,-1.9641687363386153,26300,0.001,2104000,0.008453171700239182,2073
1.7774431705474854,0.9283550009131432,-1.8605329781770705,26400,0.001,2112000,0.006898745894432068,2073
1.7840954065322876,0.9163649305701256,-1.8523143865168095,26500,0.001,2120000,0.01031732652336359,2073
1.783133864402771,0.9197142943739891,-1.7486201226711273,26600,0.001,2128000,0.008240354247391224,2073
1.7692787647247314,0.8416568040847778,-1.8740019887685775,26700,0.001,2136000,0.010753514245152473,2073
