fps,explained_variance,nupdates,value_loss,total_timesteps,avg reward,policy_entropy
1837,0.9992741785245016,98600,0.019576193764805794,7888000,5.1444361338857565,1.4868495464324951
1837,0.9989610218908638,98700,0.07295271754264832,7896000,13.2749173309654,1.0833988189697266
1837,0.9982788555789739,98800,0.04809471219778061,7904000,6.912085150438361,1.3733857870101929
1837,0.9984238853212446,98900,0.08027096092700958,7912000,6.445705803018063,1.4127461910247803
1837,0.9984994939295575,99000,0.047208525240421295,7920000,9.901027734298259,1.1790099143981934
1837,0.9977380076888949,99100,0.03310808166861534,7928000,2.645512339822017,1.5734248161315918
1837,0.9916834877803922,99200,0.09010522812604904,7936000,6.135292677208781,1.3436222076416016
1837,0.9873528964817524,99300,0.4044182300567627,7944000,7.980750080384314,1.3170981407165527
1837,0.9981147821526974,99400,0.09134843945503235,7952000,7.028587028943003,1.439089059829712
1837,0.9950684271752834,99500,0.15508098900318146,7960000,8.061106292274781,1.2938587665557861
1838,0.999265214020852,99600,0.031092923134565353,7968000,8.204030328430235,1.3032073974609375
1838,0.998916472424753,99700,0.02143951691687107,7976000,5.55029870653525,1.3672268390655518
1838,0.9967559999786317,99800,0.09007208794355392,7984000,8.066864851443096,1.2569162845611572
1838,0.9975991216488183,99900,0.03396496921777725,7992000,4.769741439865902,1.3578546047210693
1838,0.9973683347925544,100000,0.04137897491455078,8000000,5.302351954090409,1.425595760345459
1838,0.9940325934439898,100100,0.06240715831518173,8008000,4.571409622207284,1.4189536571502686
1838,0.9825948812067509,100200,0.5306563973426819,8016000,8.159743618965148,1.263543725013733
1839,0.9912807894870639,100300,0.09325613081455231,8024000,3.891828576894477,1.4363667964935303
1839,0.988350092433393,100400,0.2461133450269699,8032000,7.8737077789381145,1.2863173484802246
1839,0.9987227137899026,100500,0.04608345404267311,8040000,8.401754977554083,1.3118479251861572
1839,0.9930189833976328,100600,0.05545620992779732,8048000,2.756338469311595,1.3659226894378662
1839,0.9975722418166697,100700,0.054328661412000656,8056000,4.589102864079178,1.5162395238876343
1839,0.9980009971186519,100800,0.05623980611562729,8064000,9.757533410098404,1.1661722660064697
1839,0.9989280084846541,100900,0.025992590934038162,8072000,4.093465273268521,1.4635053873062134
1839,0.9981831241166219,101000,0.07770257443189621,8080000,11.612909683957696,1.137187123298645
1839,0.9992886807303876,101100,0.015427099540829659,8088000,6.215590193867683,1.395408272743225
1839,0.9990414986968972,101200,0.03069666586816311,8096000,5.824870336055755,1.3452417850494385
1840,0.9973885149229318,101300,0.08331747353076935,8104000,7.687624455057085,1.304487943649292
1840,0.8323830515146255,101400,3.8019890785217285,8112000,5.555837586894631,1.3451188802719116
1840,0.9990111265797168,101500,0.055519960820674896,8120000,8.070429185242393,1.134809136390686
1840,0.9979779655113816,101600,0.05668744444847107,8128000,7.783715865225531,1.289520502090454
1840,0.9980560509720817,101700,0.0778719037771225,8136000,6.433397710695862,1.414509654045105
1840,0.9989648188930005,101800,0.07253886759281158,8144000,9.939604252949357,1.362721562385559
