nupdates,avg reward,policy_entropy,policy_loss,total_timesteps,learning rate,fps,explained_variance,value_loss
13500,-1.763211365044117,1.7842766046524048,0.02095348760485649,1080000,0.001,2098,0.9233647361397743,0.00533574353903532
13600,-1.7452821895480155,1.7876670360565186,0.021057963371276855,1088000,0.001,2098,0.9284762069582939,0.01137266680598259
13700,-2.0662365809082983,1.7844072580337524,0.09124749153852463,1096000,0.001,2098,0.8865898922085762,0.01527334749698639
13800,-2.1108087584376336,1.7850509881973267,0.012896999716758728,1104000,0.001,2098,0.9196893870830536,0.016599634662270546
13900,-1.8371851608157157,1.7874568700790405,0.04935752600431442,1112000,0.001,2097,0.9330498278141022,0.003455760423094034
14000,-2.1175789684057236,1.7862508296966553,0.0624825544655323,1120000,0.001,2097,0.7069433033466339,0.02083333022892475
14100,-2.083363503217697,1.785003423690796,0.15507039427757263,1128000,0.001,2098,0.6132241487503052,0.03751078248023987
14200,-1.9099837705492972,1.7883214950561523,0.13554055988788605,1136000,0.001,2098,0.6262248754501343,0.03402915969491005
14300,-2.3432863883674147,1.7879626750946045,0.0027072192169725895,1144000,0.001,2098,0.8965483531355858,0.015278282575309277
14400,-2.3746942654252052,1.7891123294830322,0.009404195472598076,1152000,0.001,2098,0.9726169686764479,0.0027273225132375956
14500,-2.0739522367715835,1.789933443069458,0.09945743530988693,1160000,0.001,2099,0.8379102200269699,0.011147952638566494
14600,-2.3007069446146486,1.7880527973175049,0.03667779639363289,1168000,0.001,2098,0.9004822298884392,0.01255346555262804
14700,-1.6371730357408523,1.7880866527557373,0.06565140187740326,1176000,0.001,2098,0.9003553241491318,0.012746105901896954
14800,-2.0264004111289977,1.788875937461853,-0.0427013635635376,1184000,0.001,2099,0.8722712397575378,0.008741136640310287
14900,-1.729776907339692,1.7886531352996826,-0.027987927198410034,1192000,0.001,2099,0.9694187361747026,0.006674306932836771
15000,-2.445245760679245,1.7839349508285522,-0.012252497486770153,1200000,0.001,2099,0.7674780786037445,0.021380096673965454
15100,-1.67450363188982,1.787842035293579,0.04834785312414169,1208000,0.001,2100,0.9307442009449005,0.017910659313201904
15200,-2.0982974991202354,1.7855122089385986,-0.09575627744197845,1216000,0.001,2100,0.8955017030239105,0.009509901516139507
15300,-2.0081364929676058,1.7858970165252686,-0.021046340465545654,1224000,0.001,2100,0.9335374161601067,0.007755860686302185
15400,-1.9928249835968017,1.7858333587646484,-0.01434528548270464,1232000,0.001,2100,0.9534973427653313,0.0049646394327282906
15500,-1.5449784047901631,1.7883249521255493,0.043484531342983246,1240000,0.001,2100,0.9470955915749073,0.008779280818998814
15600,-1.7787527590990067,1.787467360496521,-0.016090743243694305,1248000,0.001,2100,0.9380240179598331,0.004751149564981461
15700,-2.1172678153961897,1.7864344120025635,-0.014386790804564953,1256000,0.001,2100,0.9775763228535652,0.0060505555011332035
15800,-2.016040971875191,1.788865327835083,-0.0023676485288888216,1264000,0.001,2100,0.919171117246151,0.006459736730903387
15900,-2.3034461595118048,1.789423942565918,-0.05699058249592781,1272000,0.001,2100,0.9470052011311054,0.007746150251477957
16000,-1.922554612159729,1.7893222570419312,0.08656686544418335,1280000,0.001,2101,0.8939307332038879,0.013025234453380108
16100,-2.3975976556539536,1.7898775339126587,-0.01172133069485426,1288000,0.001,2101,0.803512454032898,0.015258178114891052
16200,-2.375581881403923,1.7897332906723022,-0.04960067197680473,1296000,0.001,2101,0.5401367545127869,0.03620250150561333
16300,-1.794876227527857,1.7911781072616577,0.03451342508196831,1304000,0.001,2101,0.7119987607002258,0.024407142773270607
16400,-1.717448679357767,1.7900091409683228,-0.08087598532438278,1312000,0.001,2102,0.9766080603003502,0.00484586413949728
16500,-1.8368637397885323,1.7859588861465454,0.046174727380275726,1320000,0.001,2102,0.7153510749340057,0.02260909602046013
16600,-2.3032454907894135,1.7862727642059326,-0.017367711290717125,1328000,0.001,2102,0.6836996972560883,0.02616385743021965
16700,-1.7588443711400032,1.7875226736068726,-0.056100040674209595,1336000,0.001,2102,0.961212832480669,0.005941476672887802
16800,-2.296276742219925,1.786638617515564,0.05123375728726387,1344000,0.001,2102,0.8647721856832504,0.010916772298514843
16900,-1.9800961539149284,1.7895758152008057,0.08939827233552933,1352000,0.001,2103,0.8313590288162231,0.009479161351919174
17000,-1.862994235754013,1.788187026977539,0.12180538475513458,1360000,0.001,2103,0.8482965230941772,0.02127125672996044
17100,-2.1057485707104204,1.7877811193466187,0.0455157570540905,1368000,0.001,2102,0.8640818148851395,0.016003595665097237
17200,-1.590404112637043,1.7891504764556885,0.006960010621696711,1376000,0.001,2102,0.9459917396306992,0.0045880284160375595
17300,-2.0059567861258985,1.7848113775253296,-0.06002507358789444,1384000,0.001,2102,0.9511796683073044,0.008476433344185352
17400,-1.3957058183848858,1.7878971099853516,-0.06711920350790024,1392000,0.001,2102,0.8975854441523552,0.009722408838570118
17500,-1.8187088876962663,1.7886028289794922,-0.011678345501422882,1400000,0.001,2102,0.9735257085412741,0.001992536708712578
17600,-2.0814188539981844,1.7848365306854248,0.02083856426179409,1408000,0.001,2103,0.9465922489762306,0.005230173468589783
17700,-2.030489269644022,1.7822977304458618,0.06123976781964302,1416000,0.001,2103,0.9842225275933743,0.0033398971427232027
17800,-2.3906307220458984,1.7758945226669312,-0.016423650085926056,1424000,0.001,2102,0.9483066163957119,0.010017960332334042
17900,-2.425843450427055,1.780463457107544,-0.0923878401517868,1432000,0.001,2103,0.9333826377987862,0.005764930509030819
18000,-2.3328340403735637,1.7838413715362549,-0.03023361600935459,1440000,0.001,2103,0.9581180177628994,0.007084940560162067
18100,-1.8128783851861954,1.7866712808609009,-0.009859996847808361,1448000,0.001,2103,0.9216655343770981,0.004616529680788517
18200,-1.620045829564333,1.7837203741073608,-0.035152800381183624,1456000,0.001,2102,0.9680599234998226,0.0031794682145118713
18300,-1.834473617374897,1.7823102474212646,0.08413173258304596,1464000,0.001,2102,0.9339009448885918,0.01259097270667553
18400,-2.2527447804808616,1.779062271118164,0.04925305023789406,1472000,0.001,2103,0.9524380601942539,0.0063170865178108215
18500,-1.9641977727413178,1.7817363739013672,0.07360278069972992,1480000,0.001,2103,0.8565514087677002,0.008895893581211567
18600,-2.418076956272125,1.7750663757324219,-0.02040764130651951,1488000,0.001,2103,0.9205279871821404,0.005173647776246071
18700,-1.8110648065805435,1.782111406326294,0.027353014796972275,1496000,0.001,2103,0.9160265251994133,0.008620502427220345
18800,-1.6338406890630721,1.7825857400894165,-0.010551080107688904,1504000,0.001,2103,0.8635329157114029,0.007734882645308971
18900,-2.5437255680561064,1.777496337890625,-0.029224734753370285,1512000,0.001,2103,0.8817531317472458,0.006565614603459835
19000,-2.1336590737104415,1.7828220129013062,-0.01289045624434948,1520000,0.001,2103,0.9731178618967533,0.002606899943202734
19100,-2.374811151623726,1.7818886041641235,-0.059902410954236984,1528000,0.001,2104,0.9731105957180262,0.006108460947871208
19200,-1.7998514227569102,1.7900348901748657,-0.004203632473945618,1536000,0.001,2104,0.9405397213995457,0.006016986910253763
19300,-2.034906540811062,1.7901151180267334,0.04665891453623772,1544000,0.001,2104,0.8479539752006531,0.01606440544128418
19400,-1.919104340672493,1.7891299724578857,0.01206386648118496,1552000,0.001,2104,0.8928022980690002,0.00959847029298544
19500,-1.9748019337654115,1.788867712020874,0.027294784784317017,1560000,0.001,2105,0.9537122398614883,0.00498481560498476
19600,-2.055029684305191,1.783779501914978,0.01718241162598133,1568000,0.001,2104,0.9228719919919968,0.006433907896280289
19700,-1.6455291971564292,1.786224365234375,-0.03939252346754074,1576000,0.001,2104,0.9791067000478506,0.003537318902090192
19800,-2.727674089372158,1.7866884469985962,-0.0029196112882345915,1584000,0.001,2104,0.9534883238375187,0.0031932094134390354
19900,-2.108486570045352,1.788124442100525,0.11786071956157684,1592000,0.001,2104,0.9159569442272186,0.02846403978765011
20000,-1.8206447798758745,1.788063406944275,0.0583069808781147,1600000,0.001,2105,0.9179277941584587,0.022343378514051437
20100,-1.906472298502922,1.7882953882217407,0.030278149992227554,1608000,0.001,2105,0.8702151775360107,0.007348943501710892
20200,-2.666857308149338,1.7888123989105225,0.022358302026987076,1616000,0.001,2105,0.9607192315161228,0.003644943702965975
20300,-2.008118544518948,1.7888038158416748,-0.06129198521375656,1624000,0.001,2105,0.9643591195344925,0.00378435174934566
20400,-2.267824423313141,1.7883837223052979,0.05025995895266533,1632000,0.001,2105,0.9395152144134045,0.007231931202113628
20500,-1.8948781505227088,1.7896159887313843,0.004828698933124542,1640000,0.001,2105,0.8995710164308548,0.003987995442003012
20600,-1.815829024463892,1.7886396646499634,-0.005194963421672583,1648000,0.001,2106,0.9576372466981411,0.005738156847655773
20700,-1.4086882129311562,1.7893425226211548,0.03622184321284294,1656000,0.001,2105,0.871755987405777,0.015092154033482075
20800,-2.0229059364646673,1.788296103477478,-0.024369876831769943,1664000,0.001,2105,0.9533584639430046,0.006445811130106449
20900,-2.40599924325943,1.7812271118164062,0.012458080425858498,1672000,0.001,2104,0.7304392457008362,0.011287301778793335
21000,-1.7416451558470727,1.7882544994354248,-0.07446767389774323,1680000,0.001,2104,0.9696915335953236,0.00450203288346529
21100,-1.7518923588097095,1.7847782373428345,0.019577374681830406,1688000,0.001,2104,0.8020863085985184,0.014594282023608685
21200,-2.0897451460361482,1.7876077890396118,0.050320833921432495,1696000,0.001,2105,0.9874742953106761,0.0034317546524107456
21300,-2.3071341052651406,1.787501573562622,0.0032017030753195286,1704000,0.001,2105,0.8877434656023979,0.007581463549286127
21400,-1.6703558713197708,1.7881977558135986,0.0010841966141015291,1712000,0.001,2105,0.9135607033967972,0.009097816422581673
21500,-1.844229666888714,1.7878774404525757,0.07999162375926971,1720000,0.001,2105,0.8794232234358788,0.009637899696826935
21600,-1.9011435762047768,1.7870867252349854,-0.007741972804069519,1728000,0.001,2105,0.8955906704068184,0.010040491819381714
21700,-1.8963275291025639,1.7892948389053345,0.0012582434574142098,1736000,0.001,2105,0.9338364079594612,0.009508278220891953
21800,-1.7501540072262287,1.786487340927124,-0.009281247854232788,1744000,0.001,2106,0.8875072225928307,0.013421398587524891
21900,-2.149722070246935,1.7850910425186157,-0.004011772572994232,1752000,0.001,2106,0.9637132212519646,0.0045233359560370445
22000,-1.8908737428486346,1.7897173166275024,-0.03579925745725632,1760000,0.001,2106,0.9455677978694439,0.006692285183817148
22100,-2.1497685596346856,1.786730170249939,-0.04287658631801605,1768000,0.001,2106,0.9387065395712852,0.006047121249139309
22200,-2.1419954642653467,1.7852859497070312,-0.04404379799962044,1776000,0.001,2106,0.9709213152527809,0.005025198683142662
22300,-1.8492474272847175,1.7861223220825195,0.025056133046746254,1784000,0.001,2106,0.8815786689519882,0.014109432697296143
22400,-2.247445322573185,1.7850303649902344,0.019145390018820763,1792000,0.001,2106,0.7571966350078583,0.017893262207508087
22500,-2.2824074387550355,1.7856242656707764,0.03448369726538658,1800000,0.001,2106,0.9418402872979641,0.007424734532833099
22600,-1.841879428178072,1.7886598110198975,-0.017276233062148094,1808000,0.001,2106,0.9640414044260979,0.005122004542499781
22700,-2.1737643390893937,1.7831699848175049,-0.0023507089354097843,1816000,0.001,2106,0.9467471800744534,0.0059715984389185905
22800,-1.4715134419500828,1.7892860174179077,-0.03994008153676987,1824000,0.001,2107,0.9772619195282459,0.004130844958126545
22900,-2.36289087831974,1.7775663137435913,-0.046254031360149384,1832000,0.001,2107,0.8277880400419235,0.008125628344714642
23000,-1.773654182255268,1.785784363746643,-0.06531304121017456,1840000,0.001,2106,0.9731876831501722,0.004172237124294043
23100,-2.0133721813559533,1.786360502243042,0.0010511986911296844,1848000,0.001,2106,0.956698264926672,0.0031869630329310894
23200,-1.8387662164866925,1.7852360010147095,0.0011687889927998185,1856000,0.001,2106,0.9173028692603111,0.008509784005582333
23300,-2.0395305335521696,1.7825477123260498,-0.0027555942069739103,1864000,0.001,2106,0.9330120086669922,0.006035735365003347
23400,-1.836215177923441,1.7854032516479492,0.007655164692550898,1872000,0.001,2106,0.8264295905828476,0.013751646503806114
23500,-1.9929583296179771,1.7879867553710938,-0.012047291733324528,1880000,0.001,2106,0.9409996271133423,0.005805944092571735
23600,-1.6512982159852982,1.7861284017562866,0.04665183275938034,1888000,0.001,2107,0.8851984441280365,0.009188042022287846
23700,-1.674998751282692,1.78511643409729,0.013294683769345284,1896000,0.001,2107,0.941529106348753,0.003990539815276861
23800,-2.3107152402400972,1.7851852178573608,0.01420583762228489,1904000,0.001,2107,0.9075485393404961,0.0059391772374510765
23900,-1.7924299389123917,1.7851955890655518,-0.003386171068996191,1912000,0.001,2108,0.9709400422871113,0.004644709639251232
24000,-1.7845751024782657,1.7849924564361572,-0.025253664702177048,1920000,0.001,2107,0.9287588223814964,0.007638393901288509
24100,-2.047020085155964,1.7843024730682373,-0.04754813387989998,1928000,0.001,2108,0.9122906178236008,0.008328359574079514
