total_timesteps,explained_variance,value_loss,fps,avg reward,policy_entropy,nupdates,learning rate
4576000,0.0,0.038640014827251434,2098,-2.1648582458496093,1.767431616783142,57200,0.01
4584000,0.0,0.012669171206653118,2098,-2.257003238797188,1.762719750404358,57300,0.01
4592000,0.0,0.03356822580099106,2098,-2.0837267890572546,1.7493339776992798,57400,0.01
4600000,-1.1920928955078125e-07,0.043130505830049515,2098,-2.027319037914276,1.7608951330184937,57500,0.01
4608000,0.0,0.012170461937785149,2098,-1.8233485475182534,1.7611373662948608,57600,0.01
4616000,0.0,0.012220920994877815,2098,-1.87730992436409,1.757408857345581,57700,0.01
4624000,0.0,0.028047922998666763,2098,-1.9398605570197105,1.761948823928833,57800,0.01
4632000,0.0,0.028585249558091164,2098,-2.06669492572546,1.7555370330810547,57900,0.01
4640000,0.0,0.007606130093336105,2098,-2.2146801948547363,1.7696874141693115,58000,0.01
4648000,0.0,0.06487437337636948,2098,-2.0966290339827536,1.7732141017913818,58100,0.01
4656000,0.0,0.0022758920677006245,2098,-2.004689574241638,1.7686777114868164,58200,0.01
4664000,0.0002716183662414551,0.048872631043195724,2098,-1.8521379761397838,1.7644145488739014,58300,0.01
4672000,-1.1920928955078125e-07,0.02301694080233574,2098,-2.0055867597460746,1.7643935680389404,58400,0.01
4680000,-1.1920928955078125e-07,0.028048012405633926,2098,-1.9395127281546594,1.7829978466033936,58500,0.01
4688000,0.0,0.04485776275396347,2098,-1.7638757452368736,1.7751786708831787,58600,0.01
4696000,0.0,0.043860822916030884,2098,-1.7420399099588395,1.7670457363128662,58700,0.01
4704000,-1.1920928955078125e-07,0.001431369804777205,2098,-1.5898176670074462,1.7633758783340454,58800,0.01
4712000,0.0016732215881347656,0.049412842839956284,2099,-1.792817285656929,1.7725286483764648,58900,0.01
4720000,5.960464477539063e-08,0.022529015317559242,2099,-1.7747145742177963,1.7772865295410156,59000,0.01
4728000,0.0,0.0016926219686865807,2099,-1.7288259744644165,1.768991470336914,59100,0.01
4736000,0.0,0.08101608604192734,2099,-2.0048589408397675,1.7787597179412842,59200,0.01
4744000,0.0,0.08136676251888275,2099,-2.1392627865076066,1.7837584018707275,59300,0.01
4752000,0.0,0.017649531364440918,2099,-2.0534726843237876,1.7785381078720093,59400,0.01
4760000,0.0,0.06000468134880066,2099,-2.079801532626152,1.776158094406128,59500,0.01
4768000,0.0,0.002453527180477977,2099,-2.081454610824585,1.7699718475341797,59600,0.01
4776000,-1.1920928955078125e-07,0.04370084032416344,2099,-2.1933314323425295,1.761074423789978,59700,0.01
4784000,0.0,0.030603235587477684,2099,-2.093514586985111,1.7743803262710571,59800,0.01
4792000,1.7881393432617188e-07,0.01233659591525793,2099,-1.989707162976265,1.784559965133667,59900,0.01
4800000,0.0,0.0021547898650169373,2099,-1.9506249904632569,1.7721168994903564,60000,0.01
4808000,5.960464477539063e-08,0.006839714013040066,2099,-1.732643961906433,1.7799265384674072,60100,0.01
4816000,0.0,0.03901420906186104,2099,-1.7379090040922165,1.7735159397125244,60200,0.01
4824000,5.960464477539063e-08,0.02295376919209957,2099,-1.837257719039917,1.7602523565292358,60300,0.01
4832000,0.0,0.05978866666555405,2099,-2.0087092876434327,1.7698853015899658,60400,0.01
4840000,0.0,0.04337027668952942,2099,-2.1283243060112,1.764864206314087,60500,0.01
4848000,0.0,0.012075647711753845,2099,-1.8421978980302811,1.764835000038147,60600,0.01
4856000,-1.1920928955078125e-07,0.012192906811833382,2099,-1.8477871701121331,1.7809025049209595,60700,0.01
4864000,0.0,0.033225830644369125,2099,-1.8279311507940292,1.7818830013275146,60800,0.01
4872000,0.0,0.08129361271858215,2099,-1.968041256070137,1.7799623012542725,60900,0.01
4880000,5.960464477539063e-08,0.05955735966563225,2099,-2.002348777651787,1.783953309059143,61000,0.01
4888000,0.0,0.04399000108242035,2099,-2.0666627824306487,1.7772252559661865,61100,0.01
4896000,0.0,0.03318198770284653,2099,-2.022797204554081,1.7686399221420288,61200,0.01
4904000,0.0,0.002318111015483737,2099,-2.0231996297836305,1.779245138168335,61300,0.01
4912000,0.0,0.0071663386188447475,2099,-1.9586865887045861,1.7825500965118408,61400,0.01
4920000,0.0,0.0443180613219738,2099,-1.9581811420619488,1.7705528736114502,61500,0.01
4928000,0.0019558072090148926,0.04320800304412842,2099,-2.0976986274123193,1.7732646465301514,61600,0.01
4936000,-1.1920928955078125e-07,0.022501371800899506,2099,-1.8859842807054519,1.7744855880737305,61700,0.01
4944000,-1.1920928955078125e-07,0.021303711459040642,2099,-1.7642579771578313,1.7750393152236938,61800,0.01
4952000,-1.1920928955078125e-07,0.04960598051548004,2099,-1.936539763212204,1.7776219844818115,61900,0.01
4960000,0.0,0.012060148641467094,2099,-1.8224453896284103,1.7808787822723389,62000,0.01
4968000,-1.1920928955078125e-07,0.012288818135857582,2099,-1.9449539437890053,1.7839291095733643,62100,0.01
4976000,-1.1920928955078125e-07,0.06374948471784592,2099,-2.1150593355298044,1.7887080907821655,62200,0.01
4984000,0.0,0.017604252323508263,2099,-1.9927472546696663,1.7819669246673584,62300,0.01
4992000,0.0005082488059997559,0.062168288975954056,2099,-1.9425147362053394,1.7836745977401733,62400,0.01
5000000,5.960464477539063e-08,0.022518128156661987,2099,-1.812230759859085,1.7896820306777954,62500,0.01
5008000,-1.1920928955078125e-07,0.012237362563610077,2099,-1.894176509976387,1.7848217487335205,62600,0.01
5016000,0.0,0.0387345515191555,2099,-2.0317102149128914,1.7846447229385376,62700,0.01
5024000,1.1920928955078125e-07,0.06997165083885193,2099,-2.21154363155365,1.7770226001739502,62800,0.01
5032000,-1.1920928955078125e-07,0.04361316189169884,2099,-2.14968204498291,1.7649033069610596,62900,0.01
5040000,0.0,0.022639544680714607,2099,-2.1350176304578783,1.780045509338379,63000,0.01
5048000,0.0,0.05687102675437927,2099,-2.0249870300292967,1.778497338294983,63100,0.01
5056000,-1.1920928955078125e-07,0.04937445744872093,2099,-2.097033205628395,1.7820165157318115,63200,0.01
5064000,0.0,0.0698789432644844,2099,-2.242390313744545,1.7774150371551514,63300,0.01
5072000,0.0,0.023101521655917168,2099,-2.157508799433708,1.7790815830230713,63400,0.01
5080000,0.0,0.05846399813890457,2099,-2.235702079534531,1.7786754369735718,63500,0.01
5088000,-1.1920928955078125e-07,0.03311191126704216,2099,-2.1386121988296507,1.7695562839508057,63600,0.01
5096000,0.0,0.019852202385663986,2099,-1.9917444966733455,1.7782703638076782,63700,0.01
5104000,0.0,0.04871572181582451,2099,-2.159250572323799,1.7831356525421143,63800,0.01
5112000,-1.1920928955078125e-07,0.03867840766906738,2099,-2.1073185950517654,1.7800257205963135,63900,0.01
5120000,-1.1920928955078125e-07,0.044102199375629425,2099,-1.9719492837786674,1.7777233123779297,64000,0.01
5128000,0.0,0.01747838594019413,2099,-1.7795657575130464,1.7747042179107666,64100,0.01
5136000,0.0,0.0553135871887207,2099,-1.8674381479620934,1.778540849685669,64200,0.01
5144000,-1.1920928955078125e-07,0.05400639772415161,2099,-2.035051976144314,1.7835743427276611,64300,0.01
5152000,-1.1920928955078125e-07,0.07346083968877792,2099,-2.0857600159943104,1.7825756072998047,64400,0.01
5160000,0.0,0.002095051808282733,2099,-1.9233962774276734,1.7822866439819336,64500,0.01
5168000,0.0008400678634643555,0.13659687340259552,2099,-2.0957201920449733,1.7879095077514648,64600,0.01
5176000,0.0,0.02304733730852604,2099,-2.065791867673397,1.7843682765960693,64700,0.01
5184000,0.0,0.002366999164223671,2099,-2.0444204330444338,1.7788584232330322,64800,0.01
5192000,0.0,0.02249063178896904,2099,-1.9612204611301423,1.7710838317871094,64900,0.01
5200000,-1.1920928955078125e-07,0.012407678179442883,2099,-2.0526936799287796,1.7808561325073242,65000,0.01
5208000,0.0,0.017729420214891434,2099,-2.149247258901596,1.7725839614868164,65100,0.01
5216000,0.0,0.023123012855648994,2099,-2.1900091648101805,1.7684519290924072,65200,0.01
5224000,0.0,0.0021258159540593624,2099,-1.9374662399291993,1.7620713710784912,65300,0.01
5232000,0.0,0.02249753661453724,2099,-1.908205085992813,1.7664849758148193,65400,0.01
5240000,0.0,0.0024189080577343702,2099,-2.0667190551757812,1.7820813655853271,65500,0.01
5248000,0.0,0.0023534903302788734,2099,-2.038579535484314,1.782375693321228,65600,0.01
5256000,0.004031062126159668,0.05357212945818901,2099,-2.1672401309013365,1.7845981121063232,65700,0.01
