avg reward,nupdates,total_timesteps,fps,value_loss,policy_entropy,explained_variance
114.55417206287385,20300,1624000,1607,977.25732421875,7.690968634422809e-16,0.13729065656661987
58.71908740997314,20400,1632000,1608,158.92193603515625,1.9228788700198507e-11,-4.784491539001465
92.59054479598998,20500,1640000,1607,782.5594482421875,2.1980674387838545e-13,-1.6567513942718506
-55.866898477077484,20600,1648000,1607,212.25558471679688,0.0,-0.12642621994018555
-42.164006328582765,20700,1656000,1608,72.02349853515625,0.0,-0.027571916580200195
-95.7246925354004,20800,1664000,1608,6.467629432678223,0.0,0.4755985736846924
204.05408535003662,20900,1672000,1609,1292.0225830078125,1.3034463111246232e-17,-1.3357717990875244
120.12739286422729,21000,1680000,1610,270.363525390625,1.1109626059326673e-36,-38.9429931640625
-101.40382022857666,21100,1688000,1610,234.50979614257812,0.0,-2.483320474624634
167.6801103591919,21200,1696000,1609,661.4793701171875,2.2715399236616397e-14,-2.4583730697631836
7.882552111521363,21300,1704000,1610,3.003072500228882,0.001393643906340003,0.511478990316391
33.06473755836487,21400,1712000,1609,82.4864501953125,1.856923529613756e-17,-0.4153178930282593
70.87794055938721,21500,1720000,1610,383.66754150390625,2.012928490557897e-08,-1.8264985084533691
-61.78988738059998,21600,1728000,1610,2.7820162773132324,0.0,0.5935640037059784
-7.8311747252941135,21700,1736000,1611,4.767106533050537,3.925097971873462e-22,-0.7342787981033325
-62.10221405029297,21800,1744000,1610,41.63567352294922,1.841549482350935e-12,-24.427936553955078
-54.35396635606885,21900,1752000,1610,415.03179931640625,8.173376802515295e-19,0.003145754337310791
29.461911220103502,22000,1760000,1610,22.645496368408203,1.1022081025657826e-07,0.354610800743103
-47.072356653213504,22100,1768000,1610,85.97978973388672,0.0,-0.016993999481201172
62.073467350006105,22200,1776000,1611,216.05441284179688,0.0054192254319787025,-6.830632209777832
61.043450927734376,22300,1784000,1611,127.47557067871094,0.0,0.12257504463195801
50.957532501220705,22400,1792000,1611,2.2352218627929688,0.0,0.6889294981956482
41.6206600189209,22500,1800000,1611,12.133556365966797,6.250221260689637e-12,-5.574172019958496
-4.367302988469601,22600,1808000,1611,0.7197303771972656,0.0016613336047157645,0.20991206169128418
47.964171066880226,22700,1816000,1611,50.21866226196289,0.001386837218888104,0.4191861152648926
57.47567114830017,22800,1824000,1610,2.1900761127471924,0.0,0.8813116028904915
85.67081127166747,22900,1832000,1611,3.7617745399475098,0.0,0.8573809564113617
-48.403657615184784,23000,1840000,1611,150.30746459960938,1.3784451766696293e-05,0.009906291961669922
89.22652225494384,23100,1848000,1611,4.195786476135254,0.0,0.8103354275226593
