total_timesteps,fps,policy_entropy,explained_variance,nupdates,value_loss,avgReward
3976000,850,1.1576285362243652,0.859943300485611,49700,0.019951235502958298,1.1984363481402398
3984000,850,1.1699955463409424,0.6578797101974487,49800,0.041422583162784576,1.0278239503502846
3992000,850,1.270336627960205,0.7035350203514099,49900,0.03912199288606644,0.8803230725228787
4000000,850,1.118687629699707,0.9368939101696014,50000,0.01016116514801979,1.3654632743448019
4008000,850,1.1007473468780518,0.8390614241361618,50100,0.018297037109732628,1.3889567129313947
4016000,850,1.1639657020568848,0.7480263411998749,50200,0.01733773946762085,1.0042586281895638
4024000,851,1.1312679052352905,0.9295386895537376,50300,0.00911665242165327,1.4900241304188966
4032000,851,1.187752366065979,0.6291078925132751,50400,0.050149451941251755,1.2316905915737153
4040000,851,1.065805196762085,0.5349547564983368,50500,0.030418410897254944,1.203603734076023
4048000,851,1.170143723487854,0.8450462520122528,50600,0.011024138890206814,1.3017961129546165
4056000,851,1.1283254623413086,0.8878147900104523,50700,0.01109363418072462,0.8606397710274905
4064000,851,1.117892861366272,0.8975117951631546,50800,0.00880107656121254,1.2014169327914714
4072000,851,1.1159229278564453,0.7039143741130829,50900,0.023025861009955406,1.1038760954514146
4080000,851,0.9902453422546387,0.8128250241279602,51000,0.021573254838585854,1.0407024364918471
4088000,851,1.1023513078689575,0.7007258534431458,51100,0.02544581890106201,1.0001775663346053
4096000,851,1.0948524475097656,0.8465004563331604,51200,0.016323158517479897,1.3379308812320232
4104000,852,1.099265456199646,0.7352025210857391,51300,0.039754051715135574,1.3473065227270127
4112000,852,1.0457572937011719,0.7453248202800751,51400,0.014632214792072773,1.5388486206531524
4120000,852,1.106985330581665,0.8074069619178772,51500,0.026969444006681442,1.1107866119593381
4128000,852,1.1604814529418945,0.8342223465442657,51600,0.01622360199689865,1.2140683844685554
4136000,852,1.1378209590911865,0.8369466662406921,51700,0.01567305251955986,0.9849516717717052
4144000,852,1.0805599689483643,0.5681335926055908,51800,0.050553131848573685,0.9968364536762238
4152000,852,1.0858854055404663,0.7821705937385559,51900,0.025097202509641647,1.3192618694156408
4160000,852,1.0123889446258545,0.639207273721695,52000,0.03538212552666664,1.194442952144891
4168000,852,1.1483228206634521,0.8268691450357437,52100,0.01645425334572792,1.1098624244332314
4176000,853,1.1229727268218994,0.7300818562507629,52200,0.01872905343770981,1.336873997747898
4184000,853,1.1121312379837036,0.6124644577503204,52300,0.02264300361275673,1.4711260423064232
4192000,853,1.1176071166992188,0.6564815044403076,52400,0.04003913328051567,1.0947249859571457
4200000,853,1.023392915725708,0.7965255975723267,52500,0.018407758325338364,1.2798729866743088
4208000,853,1.1296403408050537,0.9156664311885834,52600,0.007999870926141739,1.1315165016800166
4216000,853,1.1552358865737915,0.759341686964035,52700,0.027989601716399193,1.3086516313254832
4224000,853,0.967803955078125,0.7269662022590637,52800,0.01679695025086403,1.2268550470471382
4232000,853,1.0233162641525269,0.6773067712783813,52900,0.03134586662054062,1.502102644741535
4240000,853,1.0545684099197388,0.5487813949584961,53000,0.09544612467288971,1.5316682696342467
